,.CAL FILES,.XML FILES,.QCT FILES
CGINS-CTDBPC-06841,"['CTDBP-C_SBE_16PlusV2_SN_16P64183-6841_Calibration_Files_2017-03-22.zip', 'CTDBP-C_SBE_16PlusV2_SN_16P64183-6841_Calibration_Files_2017-12-30.zip']",[],()
CGINS-CTDBPC-07208,[],['CTDBP-C_SBE_16PlusV2_SN_7208_Calibration_Files_2015-02-19.zip'],()
CGINS-CTDBPC-50002,"['CTDBP-C_SBE_16PlusV2_SN_16-50002_Calibration_Files_2014-03-10.zip', 'CTDBP-C_SBE_16PlusV2_SN_16-50002_Calibration_Files_2017-12-09.zip']",['CTDBP-C_SBE_16PlusV2_SN_16-50002_Calibration_Files_2016-06-22.zip'],()
CGINS-CTDBPC-50003,"['CTDBP-C_SBE_16PlusV2_SN_16-50003_Calibration_Files_2014-03-10.zip', 'CTDBP-C_SBE_16PlusV2_SN_16-50003_Calibration_Files_2017-03-22.zip', 'CTDBP-C_SBE_16PlusV2_SN_16-50003_Calibration_Files_2017-12-12.zip']",['CTDBP-C_SBE_16PlusV2_SN_16-50003_Calibration_Files_2017-03-22.zip'],()
CGINS-CTDBPC-50056,"['CTDBP-C_SBE_16PlusV2_SN_16-50056_Calibration_Files_2017-07-24.zip', 'CTDBP-C_SBE_16PlusV2_SN_16-50056_Calibration_Files_2017-10-09.zip']",[],()
CGINS-CTDBPC-50108,['CTDBP-C_SBE_16PlusV2_SN_16-50108_Calibration_Files_2017-07-21.zip'],[],()
CGINS-CTDBPC-50109,['CTDBP-C_SBE_16PlusV2_SN_16-50109_Calibration_Files_2017-07-21.zip'],[],()
