       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
      6.057     9.1898     9.2238   3.718638   3.721602     3.4631     1.7744     1.1362     0.6792    84.3786    34.8523 5.0070e+02 9.5400e-02      6.000    34.8523    34.8500     6.8778    1486.81
      7.067     9.2363     9.2223   3.722697   3.721194     3.4628     1.9171     1.1075     0.7250    83.4325    34.8487 5.0009e+02 9.5400e-02      7.000    34.8487    34.8467     6.8706    1487.00
      8.076     9.2459     9.2662   3.723464   3.724982     3.4641     1.9597     1.0979     0.7009    83.9266    34.8468 5.0086e+02 9.5400e-02      8.000    34.8468    34.8428     6.8733    1487.05
      9.086     9.2454     9.2451   3.723366   3.724192     3.4650     1.9332     1.0992     0.6831    84.3017    34.8458 5.0174e+02 9.5400e-02      9.000    34.8458    34.8547     6.8763    1487.06
     10.095     8.9023     8.9304   3.692069   3.695200     3.4566     2.1424     1.1019     0.6905    84.1461    34.8539 5.0006e+02 9.5400e-02     10.000    34.8539    34.8592     6.9116    1485.83
     11.105     8.7830     8.7799   3.680849   3.680497     3.4627     2.7702     1.1486     0.7457    82.9908    34.8526 5.0008e+02 9.5400e-02     11.000    34.8526    34.8520     6.9466    1485.40
     12.115     8.7319     8.7320   3.676038   3.676097     3.4758     2.8225     1.1497     0.7610    82.6760    34.8518 5.0032e+02 9.5400e-02     12.000    34.8518    34.8523     6.9873    1485.23
     13.124     8.6707     8.6715   3.670344   3.670330     3.4765     2.8795     1.1213     0.7589    82.7177    34.8515 5.0004e+02 9.5400e-02     13.000    34.8515    34.8506     7.0000    1485.02
     14.134     8.6443     8.6446   3.667828   3.667711     3.4635     3.0143     1.1213     0.7480    82.9476    34.8504 4.9880e+02 9.5400e-02     14.000    34.8504    34.8489     6.9739    1484.93
     15.143     8.6248     8.6248   3.666010   3.665871     3.4493     3.1246     1.1214     0.7180    83.5694    34.8500 4.9904e+02 9.5400e-02     15.000    34.8500    34.8485     6.9436    1484.88
