       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
   2510.762     2.9049     2.9048   3.258328   3.257944     2.1606     0.0459     0.9270     0.1264    96.8901    34.9248 1.8925e+03 9.5400e-02   2474.000    34.9248    34.9203     6.1222    1503.65
   2509.741     2.9046     2.9043   3.258214   3.257826     2.1607     0.0402     0.9226     0.1264    96.8902    34.9242 1.8967e+03 9.5400e-02   2473.000    34.9242    34.9199     6.1222    1503.64
   2508.720     2.9049     2.9046   3.258180   3.257790     2.1606     0.0373     0.9200     0.1264    96.8902    34.9239 1.9005e+03 9.5400e-02   2472.000    34.9239    34.9196     6.1206    1503.62
   2507.699     2.9050     2.9048   3.258161   3.257753     2.1608     0.0587     0.9203     0.1264    96.8902    34.9241 1.9044e+03 9.5400e-02   2471.000    34.9241    34.9194     6.1208    1503.60
   2506.679     2.9051     2.9052   3.258121   3.257741     2.1610     0.0540     0.9230     0.1266    96.8844    34.9240 1.9034e+03 9.5400e-02   2470.000    34.9240    34.9194     6.1206    1503.59
   2505.658     2.9053     2.9053   3.258082   3.257722     2.1613     0.0471     0.9260     0.1265    96.8859    34.9238 1.8955e+03 9.5400e-02   2469.000    34.9238    34.9194     6.1209    1503.57
   2504.637     2.9054     2.9052   3.258060   3.257682     2.1617     0.0385     0.9244     0.1265    96.8877    34.9239 1.9029e+03 9.5400e-02   2468.000    34.9239    34.9196     6.1218    1503.55
   2503.616     2.9053     2.9053   3.257992   3.257638     2.1625     0.0482     0.9218     0.1264    96.8904    34.9236 1.9441e+03 9.5400e-02   2467.000    34.9236    34.9194     6.1238    1503.53
   2502.595     2.9059     2.9057   3.257991   3.257611     2.1628     0.0470     0.9200     0.1264    96.8888    34.9235 1.9661e+03 9.5400e-02   2466.000    34.9235    34.9192     6.1242    1503.52
   2501.575     2.9064     2.9065   3.258016   3.257653     2.1627     0.0388     0.9247     0.1264    96.8901    34.9237 1.9907e+03 9.5400e-02   2465.000    34.9237    34.9193     6.1228    1503.50
   2500.554     2.9069     2.9068   3.258014   3.257647     2.1631     0.0348     0.9270     0.1265    96.8873    34.9236 2.0112e+03 9.5400e-02   2464.000    34.9236    34.9194     6.1235    1503.49
   2499.533     2.9070     2.9069   3.257978   3.257612     2.1633     0.0348     0.9268     0.1264    96.8902    34.9236 2.0148e+03 9.5400e-02   2463.000    34.9236    34.9193     6.1237    1503.47
   2498.512     2.9071     2.9071   3.257944   3.257585     2.1634     0.0384     0.9245     0.1265    96.8868    34.9235 2.0012e+03 9.5400e-02   2462.000    34.9235    34.9193     6.1230    1503.46
   2497.492     2.9079     2.9074   3.257987   3.257581     2.1636     0.0446     0.9200     0.1263    96.8926    34.9237 1.9686e+03 9.5400e-02   2461.000    34.9237    34.9194     6.1228    1503.44
   2496.471     2.9086     2.9082   3.257990   3.257605     2.1638     0.0350     0.9200     0.1264    96.8902    34.9235 1.9306e+03 9.5400e-02   2460.000    34.9235    34.9193     6.1228    1503.43
   2495.450     2.9086     2.9086   3.257972   3.257609     2.1642     0.0237     0.9262     0.1262    96.8947    34.9237 1.9088e+03 9.5400e-02   2459.000    34.9237    34.9193     6.1234    1503.41
