       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
    120.965    13.0390    13.0473   4.165164   4.165832     2.3689     0.0321     0.9025     0.2471    94.0088    35.5677 1.3786e+03 9.5897e-02    120.000    35.5677    35.5663     3.9590    1503.00
    119.956    13.0598    13.0765   4.167339   4.168634     2.3758     0.0300     0.8922     0.2373    94.2393    35.5694 1.3827e+03 9.5907e-02    119.000    35.5694    35.5661     3.9721    1503.05
    118.948    13.1217    13.1180   4.173553   4.172941     2.3818     0.0355     0.9092     0.2349    94.2971    35.5710 1.3927e+03 9.5907e-02    118.000    35.5710    35.5687     3.9796    1503.24
    117.940    13.1572    13.1728   4.176942   4.178144     2.3989     0.0291     0.8889     0.2328    94.3451    35.5704 1.3933e+03 9.5908e-02    117.000    35.5704    35.5673     4.0141    1503.34
    116.931    13.1726    13.1941   4.178572   4.180118     2.4253     0.0309     0.8839     0.2349    94.2961    35.5720 1.3625e+03 9.5912e-02    116.000    35.5720    35.5666     4.0704    1503.38
    115.923    13.2122    13.2042   4.182058   4.181139     2.4343     0.0208     0.8811     0.2270    94.4824    35.5684 1.3252e+03 9.5923e-02    115.000    35.5684    35.5672     4.0865    1503.49
    114.915    13.2523    13.2597   4.185952   4.186078     2.4482     0.0187     0.8803     0.2171    94.7171    35.5684 1.3147e+03 9.5904e-02    114.000    35.5684    35.5627     4.1133    1503.60
    113.906    13.2696    13.2466   4.188182   4.185447     2.4735     0.0331     0.8749     0.2155    94.7542    35.5738 1.3285e+03 9.5908e-02    113.000    35.5738    35.5694     4.1669    1503.65
    112.898    13.2753    13.2518   4.188641   4.185840     2.4931     0.0266     0.8709     0.2099    94.8873    35.5733 1.3686e+03 9.5907e-02    112.000    35.5733    35.5687     4.2091    1503.65
    111.890    13.3004    13.2866   4.191113   4.189363     2.5042     0.0259     0.8653     0.2108    94.8670    35.5737 1.4045e+03 9.5897e-02    111.000    35.5737    35.5701     4.2307    1503.72
    110.881    13.3132    13.3026   4.192017   4.190877     2.5176     0.0330     0.8676     0.2162    94.7381    35.5708 1.4214e+03 9.5890e-02    110.000    35.5708    35.5699     4.2587    1503.74
    109.873    13.3174    13.3088   4.192026   4.191405     2.5282     0.0333     0.8671     0.2242    94.5493    35.5673 1.4329e+03 9.5931e-02    109.000    35.5673    35.5695     4.2813    1503.73
    108.865    13.3047    13.3072   4.189726   4.190219     2.5365     0.0327     0.8639     0.2320    94.3660    35.5578 1.4288e+03 9.6055e-02    108.000    35.5578    35.5602     4.3002    1503.66
    107.857    13.3018    13.3039   4.189508   4.189856     2.5361     0.0366     0.8613     0.2351    94.2924    35.5589 1.4183e+03 9.5953e-02    107.000    35.5589    35.5603     4.2991    1503.64
    106.848    13.2998    13.2943   4.188827   4.187083     2.5358     0.0225     0.8679     0.2369    94.2497    35.5547 1.4444e+03 9.6925e-02    106.000    35.5547    35.5433     4.2982    1503.61
    105.840    13.2877    13.2887   4.184965   4.185318     2.5367     0.0214     0.8788     0.2371    94.2437    35.5298 1.4988e+03 1.0415e-01    105.000    35.5298    35.5323     4.3013    1503.52
    104.832    13.2848    13.2875   4.184192   4.184957     2.5383     0.0202     0.8753     0.2402    94.1709    35.5256 1.5123e+03 1.1160e-01    104.000    35.5256    35.5304     4.3048    1503.49
    103.824    13.2768    13.2797   4.182539   4.183122     2.5396     0.0228     0.8818     0.2395    94.1893    35.5178 1.4922e+03 1.1857e-01    103.000    35.5178    35.5206     4.3080    1503.44
    102.815    13.2609    13.2615   4.179282   4.179445     2.5398     0.0230     0.8776     0.2336    94.3269    35.5022 1.4581e+03 1.2271e-01    102.000    35.5022    35.5032     4.3096    1503.35
    101.807    13.2596    13.2658   4.178827   4.180045     2.5412     0.0292     0.8856     0.2314    94.3793    35.4995 1.4228e+03 1.2826e-01    101.000    35.4995    35.5053     4.3123    1503.33
    100.799    13.2594    13.2595   4.178483   4.178270     2.5448     0.0320     0.8871     0.2311    94.3868    35.4969 1.4045e+03 1.3847e-01    100.000    35.4969    35.4947     4.3198    1503.31
     99.791    13.2545    13.2542   4.176526   4.176353     2.5481     0.0334     0.8859     0.2321    94.3623    35.4833 1.4375e+03 1.4735e-01     99.000    35.4833    35.4819     4.3274    1503.26
     98.782    13.2534    13.2536   4.175990   4.175812     2.5560     0.0310     0.8802     0.2276    94.4699    35.4796 1.4888e+03 1.5661e-01     98.000    35.4796    35.4777     4.3445    1503.23
     97.774    13.2528    13.2527   4.175519   4.175325     2.5665     0.0372     0.8855     0.2235    94.5668    35.4761 1.5164e+03 1.5999e-01     97.000    35.4761    35.4744     4.3671    1503.21
     96.766    13.2520    13.2517   4.174902   4.174571     2.5713     0.0303     0.8815     0.2219    94.6030    35.4714 1.4794e+03 1.6460e-01     96.000    35.4714    35.4685     4.3773    1503.19
     95.758    13.2458    13.2479   4.172374   4.172685     2.5776     0.0293     0.8740     0.2284    94.4490    35.4537 1.4266e+03 1.7146e-01     95.000    35.4537    35.4547     4.3916    1503.13
     94.750    13.2374    13.2447   4.169513   4.171416     2.5917     0.0290     0.8782     0.2336    94.3265    35.4347 1.4067e+03 1.8707e-01     94.000    35.4347    35.4460     4.4235    1503.06
     93.741    13.2377    13.2402   4.169612   4.170459     2.6058     0.0316     0.8709     0.2339    94.3205    35.4358 1.4317e+03 1.9943e-01     93.000    35.4358    35.4416     4.4539    1503.05
     92.733    13.2307    13.2299   4.167664   4.167208     2.6081     0.0311     0.8754     0.2371    94.2437    35.4243 1.4566e+03 2.1575e-01     92.000    35.4243    35.4207     4.4594    1502.99
     91.725    13.2291    13.2252   4.167081   4.165914     2.6122     0.0391     0.8827     0.2411    94.1497    35.4206 1.4517e+03 2.2862e-01     91.000    35.4206    35.4131     4.4681    1502.97
     90.717    13.2262    13.2266   4.166327   4.166191     2.6116     0.0311     0.8799     0.2440    94.0832    35.4166 1.4331e+03 2.3978e-01     90.000    35.4166    35.4149     4.4666    1502.94
     89.709    13.2258    13.2240   4.166183   4.165541     2.6105     0.0395     0.8856     0.2457    94.0434    35.4161 1.4160e+03 2.5275e-01     89.000    35.4161    35.4116     4.4636    1502.92
     88.700    13.2235    13.2223   4.165604   4.165143     2.6102     0.0381     0.8895     0.2481    93.9853    35.4131 1.4113e+03 2.6278e-01     88.000    35.4131    35.4098     4.4628    1502.89
     87.692    13.2229    13.2216   4.165432   4.164842     2.6067     0.0333     0.8968     0.2499    93.9433    35.4124 1.3548e+03 2.6098e-01     87.000    35.4124    35.4081     4.4545    1502.87
     86.684    13.2185    13.2157   4.164283   4.163370     2.6064     0.0276     0.8981     0.2562    93.7975    35.4061 1.2128e+03 2.5821e-01     86.000    35.4061    35.4000     4.4539    1502.83
     85.676    13.2049    13.2063   4.160318   4.160628     2.6074     0.0277     0.8908     0.2412    94.1480    35.3815 1.2312e+03 2.8388e-01     85.000    35.3815    35.3831     4.4574    1502.74
     84.668    13.2026    13.1818   4.159480   4.154038     2.6279     0.0466     0.8901     0.2295    94.4233    35.3760 1.3101e+03 3.1371e-01     84.000    35.3760    35.3437     4.5024    1502.71
     83.660    13.1941    13.1849   4.157393   4.154262     2.6322     0.0376     0.8897     0.2145    94.7789    35.3646 1.3405e+03 3.3484e-01     83.000    35.3646    35.3434     4.5125    1502.65
