       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
   2542.408     2.8885     2.8880   3.258101   3.257679     2.1527     0.0346     0.9272     0.1264    96.8883    34.9247 9.2275e+02 9.5400e-02   2505.000    34.9247    34.9202     6.1198    1504.12
   2541.387     2.8890     2.8886   3.258107   3.257697     2.1525     0.0348     0.9265     0.1264    96.8901    34.9248 9.2048e+02 9.5400e-02   2504.000    34.9248    34.9202     6.1181    1504.10
   2540.366     2.8891     2.8891   3.258083   3.257691     2.1526     0.0348     0.9255     0.1264    96.8902    34.9248 9.1678e+02 9.5400e-02   2503.000    34.9248    34.9202     6.1178    1504.09
   2539.345     2.8891     2.8889   3.258045   3.257653     2.1528     0.0348     0.9201     0.1272    96.8695    34.9249 9.1286e+02 9.5400e-02   2502.000    34.9249    34.9203     6.1175    1504.07
   2538.324     2.8889     2.8888   3.257970   3.257603     2.1528     0.0348     0.9200     0.1275    96.8634    34.9246 9.1003e+02 9.5400e-02   2501.000    34.9246    34.9204     6.1168    1504.05
   2537.304     2.8887     2.8886   3.257895   3.257538     2.1529     0.0348     0.9138     0.1270    96.8739    34.9244 9.0717e+02 9.5400e-02   2500.000    34.9244    34.9202     6.1165    1504.03
   2536.283     2.8851     2.8847   3.257547   3.257157     2.1538     0.0363     0.9220     0.1264    96.8898    34.9246 1.2242e+03 9.5400e-02   2499.000    34.9246    34.9203     6.1197    1504.00
   2535.262     2.8830     2.8827   3.257238   3.256851     2.1563     0.0444     0.9230     0.1264    96.8904    34.9235 1.2694e+03 9.5400e-02   2498.000    34.9235    34.9192     6.1293    1503.97
   2534.241     2.8893     2.8893   3.257734   3.257364     2.1575     0.0483     0.9262     0.1262    96.8943    34.9232 9.9198e+02 9.5400e-02   2497.000    34.9232    34.9189     6.1318    1503.98
   2533.220     2.8901     2.8899   3.257755   3.257371     2.1577     0.0470     0.9263     0.1261    96.8955    34.9231 9.8459e+02 9.5400e-02   2496.000    34.9231    34.9188     6.1318    1503.97
   2532.199     2.8914     2.8904   3.257849   3.257361     2.1578     0.0354     0.9264     0.1264    96.8901    34.9234 9.8564e+02 9.5400e-02   2495.000    34.9234    34.9186     6.1313    1503.96
   2531.178     2.8918     2.8916   3.257830   3.257433     2.1582     0.0411     0.9301     0.1264    96.8902    34.9233 9.8528e+02 9.5400e-02   2494.000    34.9233    34.9186     6.1318    1503.94
   2530.157     2.8926     2.8924   3.257861   3.257468     2.1582     0.0472     0.9322     0.1264    96.8902    34.9232 9.8244e+02 9.5400e-02   2493.000    34.9232    34.9187     6.1310    1503.93
   2529.136     2.8933     2.8933   3.257888   3.257510     2.1583     0.0386     0.9289     0.1264    96.8902    34.9233 9.7975e+02 9.5400e-02   2492.000    34.9233    34.9187     6.1304    1503.91
   2528.115     2.8950     2.8954   3.257988   3.257649     2.1587     0.0350     0.9267     0.1264    96.8902    34.9231 9.7601e+02 9.5400e-02   2491.000    34.9231    34.9186     6.1307    1503.90
   2527.094     2.8954     2.8953   3.257982   3.257626     2.1588     0.0447     0.9261     0.1265    96.8880    34.9231 9.7984e+02 9.5400e-02   2490.000    34.9231    34.9190     6.1303    1503.89
   2526.073     2.8955     2.8957   3.257957   3.257593     2.1589     0.0470     0.9275     0.1264    96.8902    34.9232 9.8523e+02 9.5400e-02   2489.000    34.9232    34.9186     6.1297    1503.87
   2525.053     2.8966     2.8963   3.258038   3.257656     2.1594     0.0386     0.9282     0.1264    96.8902    34.9235 9.9044e+02 9.5400e-02   2488.000    34.9235    34.9192     6.1308    1503.86
   2524.032     2.8968     2.8968   3.258018   3.257620     2.1595     0.0350     0.9202     0.1264    96.8902    34.9235 9.8412e+02 9.5400e-02   2487.000    34.9235    34.9188     6.1300    1503.84
   2523.011     2.8972     2.8974   3.257997   3.257622     2.1590     0.0348     0.9200     0.1264    96.8902    34.9232 9.8538e+02 9.5400e-02   2486.000    34.9232    34.9186     6.1273    1503.83
   2521.990     2.8977     2.8977   3.258005   3.257627     2.1590     0.0348     0.9314     0.1264    96.8902    34.9233 9.8783e+02 9.5400e-02   2485.000    34.9233    34.9188     6.1264    1503.81
   2520.969     2.8984     2.8987   3.258037   3.257649     2.1593     0.0348     0.9321     0.1264    96.8902    34.9234 9.8912e+02 9.5400e-02   2484.000    34.9234    34.9185     6.1266    1503.80
   2519.948     2.9000     2.9008   3.258092   3.257770     2.1596     0.0348     0.9329     0.1264    96.8902    34.9229 9.9133e+02 9.5400e-02   2483.000    34.9229    34.9182     6.1268    1503.79
   2518.927     2.9018     2.9008   3.258235   3.257786     2.1600     0.0348     0.9262     0.1264    96.8902    34.9231 9.9306e+02 9.5400e-02   2482.000    34.9231    34.9188     6.1270    1503.78
   2517.906     2.9030     2.9030   3.258291   3.257905     2.1600     0.0348     0.9266     0.1264    96.8902    34.9230 9.9309e+02 9.5400e-02   2481.000    34.9230    34.9185     6.1260    1503.77
   2516.886     2.9022     2.9030   3.258202   3.257898     2.1605     0.0422     0.9224     0.1269    96.8762    34.9233 9.9736e+02 9.5400e-02   2480.000    34.9233    34.9189     6.1275    1503.74
   2515.865     2.9032     2.9027   3.258253   3.257847     2.1614     0.0452     0.9201     0.1264    96.8891    34.9234 1.0038e+03 9.5400e-02   2479.000    34.9234    34.9190     6.1298    1503.73
   2514.844     2.9012     2.9009   3.258018   3.257634     2.1623     0.0364     0.9267     0.1264    96.8902    34.9231 1.0056e+03 9.5400e-02   2478.000    34.9231    34.9188     6.1328    1503.71
   2513.823     2.9017     2.9018   3.258029   3.257655     2.1621     0.0348     0.9268     0.1264    96.8902    34.9231 1.0094e+03 9.5400e-02   2477.000    34.9231    34.9186     6.1314    1503.69
   2512.802     2.9027     2.9027   3.258091   3.257681     2.1618     0.0348     0.9276     0.1264    96.8902    34.9234 1.0128e+03 9.5400e-02   2476.000    34.9234    34.9184     6.1292    1503.68
   2511.781     2.9034     2.9040   3.258083   3.257776     2.1623     0.0348     0.9203     0.1264    96.8902    34.9230 1.0161e+03 9.5400e-02   2475.000    34.9230    34.9186     6.1302    1503.66
   2510.761     2.9058     2.9060   3.258284   3.257879     2.1626     0.0348     0.9200     0.1264    96.8902    34.9233 1.0180e+03 9.5400e-02   2474.000    34.9233    34.9183     6.1300    1503.66
   2509.740     2.9084     2.9065   3.258467   3.257946     2.1626     0.0394     0.9245     0.1264    96.8902    34.9232 1.0211e+03 9.5400e-02   2473.000    34.9232    34.9190     6.1287    1503.65
