       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
      3.023    18.0585    18.0964   4.437943   4.440892     3.5876     0.2072     0.8597     0.4133    90.1842    33.6561 1.9896e+03 1.6986e+03      3.000    33.6561    33.6499     6.0160    1514.48
      4.031    18.1361    18.1417   4.466258   4.465840     3.5935     0.2303     0.8768     0.4131    90.1875    33.8317 1.9945e+03 1.3586e+03      4.000    33.8317    33.8235     6.0137    1514.93
      5.039    18.3109    18.3413   4.495315   4.498365     3.5886     0.2381     0.8701     0.3910    90.6869    33.9328 1.9901e+03 1.1979e+03      5.000    33.9328    33.9334     5.9815    1515.57
      6.047    18.5773    18.5813   4.539478   4.538970     3.5728     0.2423     0.8917     0.3762    91.0245    34.0843 1.9804e+03 1.0282e+03      6.000    34.0843    34.0767     5.9165    1516.53
      7.054    18.7038    18.7068   4.563191   4.563472     3.5394     0.2528     0.8715     0.3698    91.1695    34.1784 1.9656e+03 8.4720e+02      7.000    34.1784    34.1783     5.8343    1517.01
      8.062    18.2574    18.2436   4.515713   4.514969     3.5009     0.2404     0.8590     0.3582    91.4343    34.1488 1.9250e+03 7.5501e+02      8.000    34.1488    34.1540     5.8075    1515.71
      9.070    17.7802    17.7557   4.456961   4.458313     3.5183     0.2611     0.8634     0.3650    91.2800    34.0462 1.8996e+03 6.5201e+02      9.000    34.0462    34.0782     5.8987    1514.21
     10.078    17.6462    17.6511   4.454197   4.453881     3.5460     0.2784     0.8599     0.3702    91.1603    34.1350 1.8336e+03 5.5799e+02     10.000    34.1350    34.1281     5.9666    1513.93
     11.085    18.1618    18.1767   4.540222   4.539299     3.5773     0.2784     0.8652     0.3658    91.2599    34.4354 1.7134e+03 4.6403e+02     11.000    34.4354    34.4150     5.9620    1515.80
     12.093    18.5285    18.5313   4.605573   4.603981     3.5720     0.2969     0.8542     0.3515    91.5885    34.6797 1.6413e+03 3.9051e+02     12.000    34.6797    34.6638     5.9035    1517.16
     13.101    18.6004    18.6003   4.625198   4.624672     3.5299     0.3106     0.8532     0.3372    91.9158    34.7842 1.5884e+03 3.4798e+02     13.000    34.7842    34.7798     5.8097    1517.50
     14.109    18.3763    18.3738   4.607794   4.610023     3.5119     0.3330     0.8579     0.3325    92.0246    34.8261 1.5272e+03 2.9894e+02     14.000    34.8261    34.8471     5.7974    1516.92
     15.117    16.3258    16.3274   4.357130   4.370430     3.4764     0.3862     0.8569     0.3517    91.5825    34.4096 1.5014e+03 2.6760e+02     15.000    34.4096    34.5247     5.9691    1510.34
     16.125    15.6996    15.7004   4.282504   4.282564     3.4365     0.5975     0.8827     0.3837    90.8523    34.2919 1.4941e+03 2.3850e+02     16.000    34.2919    34.2916     5.9629    1508.31
     17.132    13.8911    13.9066   4.066039   4.075511     3.4363     0.7243     0.8769     0.4040    90.3942    33.8972 1.5153e+03 2.2453e+02     17.000    33.8972    33.9709     6.1984    1502.09
     18.140    13.4384    13.3943   4.011872   4.007663     3.3946     1.0158     0.9044     0.4445    89.4828    33.7940 1.6230e+03 2.1187e+02     18.000    33.7940    33.7936     6.1691    1500.52
     19.148    11.4285    11.3868   3.790389   3.794275     3.3589     1.1272     0.9056     0.4506    89.3457    33.4635 1.6436e+03 1.8113e+02     19.000    33.4635    33.5397     6.3712    1493.32
     20.156    10.7195    10.6981   3.713433   3.715468     3.2920     1.1960     0.9266     0.4621    89.0889    33.3448 1.6373e+03 1.6010e+02     20.000    33.3448    33.3848     6.3213    1490.70
     21.164     9.4811     9.4064   3.581241   3.574656     3.2282     1.1404     0.9371     0.4511    89.3361    33.1441 1.7297e+03 1.4918e+02     21.000    33.1441    33.1456     6.3561    1486.04
     22.172     9.1984     9.1990   3.549979   3.551570     3.1735     0.9073     0.9441     0.4329    89.7421    33.0825 1.7924e+03 1.3168e+02     22.000    33.0825    33.0984     6.2689    1484.94
