       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
     35.335     4.5185     4.5181   3.297690   3.297467     3.1177     0.2391     0.9043     0.1781    95.6447    34.9300 1.2349e+03 9.5406e-02     35.000    34.9300    34.9278     6.8167    1469.26
     36.345     4.5135     4.5133   3.297253   3.296996     3.1030     0.3134     0.8987     0.1764    95.6849    34.9297 1.2401e+03 9.5414e-02     36.000    34.9297    34.9268     6.7791    1469.25
     37.355     4.5229     4.5228   3.298187   3.297920     3.0981     0.1916     0.9110     0.1703    95.8311    34.9301 1.2466e+03 9.5407e-02     37.000    34.9301    34.9271     6.7651    1469.31
     38.364     4.5269     4.5265   3.298718   3.298453     3.0969     0.1617     0.9024     0.1703    95.8312    34.9316 1.2525e+03 9.5426e-02     38.000    34.9316    34.9289     6.7621    1469.34
     39.374     4.5250     4.5250   3.298545   3.298317     3.0959     0.1458     0.9031     0.1637    95.9901    34.9310 1.2602e+03 9.5400e-02     39.000    34.9310    34.9284     6.7607    1469.35
     40.384     4.5241     4.5239   3.298507   3.298231     3.0937     0.1656     0.9018     0.1623    96.0237    34.9309 1.2636e+03 9.5429e-02     40.000    34.9309    34.9280     6.7556    1469.36
     41.393     4.5209     4.5204   3.298480   3.298254     3.0928     0.1417     0.8985     0.1602    96.0747    34.9335 1.2657e+03 9.5405e-02     41.000    34.9335    34.9314     6.7545    1469.37
     42.403     4.5093     4.5081   3.297352   3.297030     3.0907     0.1162     0.8986     0.1588    96.1066    34.9320 1.2655e+03 9.5413e-02     42.000    34.9320    34.9295     6.7521    1469.34
     43.413     4.4997     4.4982   3.296467   3.296117     3.0890     0.1084     0.9063     0.1634    95.9966    34.9312 1.2734e+03 9.5400e-02     43.000    34.9312    34.9287     6.7500    1469.31
     44.423     4.4963     4.4963   3.296212   3.295978     3.0871     0.1171     0.9107     0.1560    96.1742    34.9312 1.2786e+03 9.5412e-02     44.000    34.9312    34.9285     6.7464    1469.31
     45.432     4.4943     4.4935   3.296200   3.295912     3.0862     0.1140     0.8966     0.1578    96.1326    34.9327 1.2780e+03 9.5412e-02     45.000    34.9327    34.9301     6.7452    1469.32
     46.442     4.4239     4.4217   3.289556   3.289552     3.0839     0.1055     0.9031     0.1558    96.1801    34.9285 1.2828e+03 9.5424e-02     46.000    34.9285    34.9308     6.7526    1469.05
     47.452     4.3814     4.3808   3.285643   3.285460     3.0791     0.0789     0.8984     0.1534    96.2380    34.9268 1.2911e+03 9.5418e-02     47.000    34.9268    34.9253     6.7483    1468.89
     48.461     4.3739     4.3735   3.284950   3.284649     3.0720     0.0956     0.9023     0.1503    96.3134    34.9260 1.2901e+03 9.5408e-02     48.000    34.9260    34.9229     6.7312    1468.87
     49.471     4.3835     4.3836   3.286063   3.285699     3.0692     0.0737     0.8951     0.1484    96.3583    34.9285 1.2870e+03 9.5417e-02     49.000    34.9285    34.9241     6.7229    1468.93
     50.481     4.4068     4.4061   3.288661   3.288291     3.0682     0.0627     0.8899     0.1489    96.3470    34.9339 1.2880e+03 9.5437e-02     50.000    34.9339    34.9302     6.7166    1469.05
     51.491     4.4160     4.4180   3.289637   3.289577     3.0602     0.0656     0.8927     0.1486    96.3535    34.9351 1.2902e+03 9.5425e-02     51.000    34.9351    34.9322     6.6941    1469.10
     52.500     4.4267     4.4256   3.290762   3.290440     3.0429     0.0551     0.8901     0.1476    96.3779    34.9364 1.2936e+03 9.5429e-02     52.000    34.9364    34.9338     6.6464    1469.17
     53.510     4.4396     4.4404   3.292183   3.292027     3.0339     0.0598     0.8925     0.1459    96.4193    34.9389 1.2961e+03 9.5407e-02     53.000    34.9389    34.9363     6.6205    1469.24
     54.520     4.4144     4.4136   3.289862   3.289617     3.0267     0.0581     0.8863     0.1451    96.4379    34.9378 1.3007e+03 9.5436e-02     54.000    34.9378    34.9358     6.6064    1469.15
     55.530     4.4066     4.4065   3.289201   3.288976     3.0193     0.0469     0.8818     0.1440    96.4642    34.9376 1.2972e+03 9.5411e-02     55.000    34.9376    34.9351     6.5887    1469.14
     56.539     4.4076     4.4072   3.289338   3.289086     3.0155     0.0570     0.8873     0.1450    96.4403    34.9377 1.2949e+03 9.5432e-02     56.000    34.9377    34.9351     6.5789    1469.16
     57.549     4.4071     4.4067   3.289351   3.289103     3.0137     0.0511     0.8887     0.1445    96.4520    34.9379 1.2945e+03 9.5416e-02     57.000    34.9379    34.9353     6.5751    1469.17
     58.559     4.4043     4.4038   3.289148   3.288897     3.0131     0.0564     0.8885     0.1423    96.5043    34.9379 1.2952e+03 9.5411e-02     58.000    34.9379    34.9354     6.5748    1469.18
     59.569     4.3977     4.3978   3.288556   3.288396     3.0111     0.0555     0.8947     0.1457    96.4241    34.9373 1.2898e+03 9.5407e-02     59.000    34.9373    34.9353     6.5716    1469.16
     60.579     4.3894     4.3893   3.287790   3.287598     3.0100     0.0532     0.8940     0.1449    96.4431    34.9365 1.2864e+03 9.5417e-02     60.000    34.9365    34.9344     6.5709    1469.15
     61.588     4.3631     4.3630   3.285304   3.285162     3.0096     0.0563     0.8838     0.1471    96.3886    34.9346 1.2881e+03 9.5409e-02     61.000    34.9346    34.9330     6.5753    1469.05
     62.598     4.3425     4.3426   3.283347   3.283271     3.0103     0.0487     0.9033     0.1432    96.4845    34.9328 1.2839e+03 9.5413e-02     62.000    34.9328    34.9318     6.5817    1468.98
     63.608     4.3131     4.3128   3.280577   3.280419     3.0111     0.0562     0.8892     0.1446    96.4499    34.9307 1.2811e+03 9.5435e-02     63.000    34.9307    34.9292     6.5901    1468.87
     64.618     4.3000     4.2989   3.279331   3.279084     3.0129     0.0526     0.8970     0.1428    96.4939    34.9294 1.2760e+03 9.5406e-02     64.000    34.9294    34.9276     6.5981    1468.83
     65.628     4.2675     4.2659   3.276230   3.275992     3.0146     0.0538     0.9138     0.1464    96.4070    34.9267 1.2699e+03 9.5400e-02     65.000    34.9267    34.9255     6.6096    1468.71
     66.637     4.2345     4.2335   3.273108   3.272895     3.0162     0.0446     0.8915     0.1416    96.5217    34.9242 1.2746e+03 9.5414e-02     66.000    34.9242    34.9227     6.6206    1468.59
     67.647     4.2140     4.2138   3.271190   3.271015     3.0199     0.0461     0.8901     0.1406    96.5471    34.9228 1.2784e+03 9.5413e-02     67.000    34.9228    34.9209     6.6353    1468.52
     68.657     4.2052     4.2056   3.270390   3.270218     3.0240     0.0520     0.8928     0.1442    96.4584    34.9220 1.2787e+03 9.5405e-02     68.000    34.9220    34.9197     6.6487    1468.50
     69.667     4.2009     4.2009   3.270024   3.269821     3.0251     0.0313     0.8873     0.1407    96.5431    34.9218 1.2780e+03 9.5407e-02     69.000    34.9218    34.9194     6.6536    1468.50
     70.677     4.1989     4.1986   3.269870   3.269642     3.0260     0.0409     0.9003     0.1422    96.5085    34.9215 1.2856e+03 9.5413e-02     70.000    34.9215    34.9192     6.6572    1468.50
     71.687     4.1972     4.1969   3.269738   3.269495     3.0271     0.0501     0.8969     0.1405    96.5490    34.9212 1.2961e+03 9.5413e-02     71.000    34.9212    34.9186     6.6615    1468.51
     72.696     4.1966     4.1962   3.269727   3.269477     3.0271     0.0439     0.8951     0.1428    96.4929    34.9212 1.3056e+03 9.5406e-02     72.000    34.9212    34.9187     6.6624    1468.53
     73.706     4.1938     4.1928   3.269509   3.269225     3.0267     0.0443     0.8910     0.1422    96.5064    34.9210 1.3143e+03 9.5407e-02     73.000    34.9210    34.9187     6.6626    1468.53
     74.716     4.1919     4.1914   3.269381   3.269120     3.0261     0.0362     0.8849     0.1445    96.4527    34.9209 1.3219e+03 9.5406e-02     74.000    34.9209    34.9184     6.6623    1468.54
     75.726     4.1901     4.1898   3.269244   3.269014     3.0257     0.0346     0.8856     0.1420    96.5131    34.9207 1.3295e+03 9.5408e-02     75.000    34.9207    34.9183     6.6622    1468.55
     76.736     4.1885     4.1884   3.269143   3.268938     3.0257     0.0460     0.8895     0.1417    96.5201    34.9207 1.3285e+03 9.5406e-02     76.000    34.9207    34.9184     6.6634    1468.56
     77.746     4.1837     4.1830   3.268775   3.268576     3.0256     0.0448     0.8998     0.1414    96.5267    34.9208 1.3284e+03 9.5408e-02     77.000    34.9208    34.9193     6.6649    1468.56
     78.756     4.1619     4.1621   3.266809   3.266697     3.0244     0.0303     0.8871     0.1414    96.5259    34.9201 1.3248e+03 9.5406e-02     78.000    34.9201    34.9187     6.6664    1468.48
     79.766     4.1351     4.1351   3.264340   3.264183     3.0225     0.0330     0.8863     0.1415    96.5247    34.9188 1.3138e+03 9.5413e-02     79.000    34.9188    34.9170     6.6670    1468.38
