       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
      3.029     8.9805     9.0011   3.698073   3.699744     3.5286     1.7822     1.1087     0.7971    81.9324    34.8436 7.0868e+02 9.5400e-02      3.000    34.8436    34.8409     7.0660    1485.98
      4.038     8.9520     8.9490   3.695530   3.695466     3.5263     1.6969     1.0967     0.7925    82.0279    34.8444 7.1232e+02 9.5400e-02      4.000    34.8444    34.8466     7.0659    1485.90
      5.048     8.9047     8.8769   3.691182   3.688955     3.5250     1.7716     1.1184     0.7994    81.8859    34.8446 7.1194e+02 9.5400e-02      5.000    34.8446    34.8486     7.0715    1485.74
      6.057     8.7719     8.7703   3.678862   3.679072     3.5263     1.8931     1.1231     0.8096    81.6772    34.8451 7.1319e+02 9.5400e-02      6.000    34.8451    34.8489     7.0977    1485.27
      7.067     8.4494     8.4840   3.649591   3.654178     3.5285     2.0466     1.1118     0.8156    81.5552    34.8531 7.1676e+02 9.5400e-02      7.000    34.8531    34.8675     7.1575    1484.09
      8.076     8.3616     8.3623   3.641475   3.641488     3.5307     2.3312     1.1168     0.8504    80.8484    34.8532 7.1813e+02 9.5400e-02      8.000    34.8532    34.8527     7.1786    1483.78
      9.086     8.3318     8.3324   3.638627   3.638576     3.5239     3.2929     1.1458     0.8769    80.3152    34.8519 7.1639e+02 9.5400e-02      9.000    34.8519    34.8507     7.1680    1483.69
     10.095     8.3082     8.3079   3.636357   3.636162     3.5001     3.8939     1.1610     0.8643    80.5685    34.8506 7.1724e+02 9.5400e-02     10.000    34.8506    34.8488     7.1151    1483.61
     11.105     8.2964     8.2963   3.635259   3.635075     3.4819     4.0192     1.1441     0.8164    81.5388    34.8501 7.1881e+02 9.5400e-02     11.000    34.8501    34.8482     7.0735    1483.59
     12.114     8.2870     8.2868   3.634389   3.634173     3.4692     3.9649     1.1488     0.7609    82.6772    34.8496 7.2059e+02 9.5400e-02     12.000    34.8496    34.8476     7.0450    1483.57
     13.124     8.2782     8.2778   3.633582   3.633345     3.4540     3.6588     1.1372     0.7093    83.7524    34.8493 7.2368e+02 9.5400e-02     13.000    34.8493    34.8471     7.0103    1483.55
     14.133     8.2669     8.2663   3.632529   3.632279     3.4361     3.5182     1.1171     0.6458    85.0911    34.8488 7.2080e+02 9.5400e-02     14.000    34.8488    34.8467     6.9696    1483.52
     15.143     8.2428     8.2423   3.630311   3.630177     3.4233     3.0926     1.1073     0.5938    86.2047    34.8486 7.2653e+02 9.5400e-02     15.000    34.8486    34.8476     6.9431    1483.45
     16.153     8.1921     8.1915   3.625708   3.625600     3.4148     2.7306     1.1043     0.5744    86.6243    34.8493 7.2885e+02 9.5400e-02     16.000    34.8493    34.8486     6.9314    1483.28
     17.162     8.1351     8.1337   3.620439   3.620367     3.3934     2.6753     1.1102     0.5539    87.0683    34.8490 7.2605e+02 9.5400e-02     17.000    34.8490    34.8496     6.8894    1483.08
     18.172     8.0454     8.0442   3.612213   3.612214     3.3728     2.7195     1.1626     0.5241    87.7187    34.8496 7.2736e+02 9.5400e-02     18.000    34.8496    34.8508     6.8545    1482.76
     19.181     7.9757     7.9757   3.605736   3.605706     3.3555     2.4655     1.1324     0.5014    88.2185    34.8489 7.2901e+02 9.5400e-02     19.000    34.8489    34.8487     6.8243    1482.51
     20.191     7.9031     7.9022   3.598903   3.598828     3.3305     2.2709     1.1048     0.4702    88.9098    34.8474 7.3094e+02 9.5400e-02     20.000    34.8474    34.8475     6.7753    1482.25
     21.201     7.8592     7.8583   3.594913   3.594720     3.3215     2.0187     1.1113     0.4459    89.4525    34.8477 7.3129e+02 9.5400e-02     21.000    34.8477    34.8466     6.7611    1482.10
     22.210     7.8454     7.8450   3.593806   3.593544     3.3148     1.7433     1.0882     0.4322    89.7582    34.8491 7.3142e+02 9.5400e-02     22.000    34.8491    34.8466     6.7477    1482.07
     23.220     7.8413     7.8406   3.593769   3.593521     3.3063     1.7961     1.1139     0.4114    90.2272    34.8523 7.3305e+02 9.5400e-02     23.000    34.8523    34.8503     6.7280    1482.07
     24.229     7.8055     7.8042   3.590469   3.590235     3.2901     1.3561     1.1019     0.3497    91.6284    34.8520 7.3462e+02 9.5400e-02     24.000    34.8520    34.8507     6.6947    1481.95
     25.239     7.7825     7.7821   3.588378   3.588125     3.2789     1.0432     1.0556     0.3391    91.8731    34.8518 7.3570e+02 9.5400e-02     25.000    34.8518    34.8495     6.6715    1481.88
     26.249     7.7700     7.7692   3.587206   3.587018     3.2740     1.0161     1.0807     0.3318    92.0402    34.8513 7.3673e+02 9.5400e-02     26.000    34.8513    34.8500     6.6624    1481.85
     27.258     7.7352     7.7342   3.584040   3.583921     3.2721     0.9477     1.0587     0.3261    92.1705    34.8514 7.3675e+02 9.5400e-02     27.000    34.8514    34.8510     6.6640    1481.74
     28.268     7.6971     7.6956   3.580562   3.580265     3.2683     0.9628     1.0503     0.3205    92.3009    34.8513 7.3904e+02 9.5400e-02     28.000    34.8513    34.8496     6.6616    1481.61
     29.278     7.6434     7.6425   3.575614   3.575515     3.2667     0.9405     1.0358     0.3252    92.1913    34.8510 7.4162e+02 9.5400e-02     29.000    34.8510    34.8508     6.6671    1481.42
     30.287     7.5701     7.5686   3.568917   3.569230     3.2654     0.8253     1.0802     0.3138    92.4557    34.8514 7.4082e+02 9.5400e-02     30.000    34.8514    34.8563     6.6767    1481.16
     31.297     7.4262     7.4226   3.556001   3.556113     3.2612     0.8131     1.0419     0.3186    92.3449    34.8549 7.4341e+02 9.5400e-02     31.000    34.8549    34.8598     6.6903    1480.63
     32.307     7.1574     7.1446   3.532058   3.530909     3.2537     0.8151     1.0438     0.3106    92.5295    34.8637 7.4870e+02 9.5400e-02     32.000    34.8637    34.8640     6.7160    1479.63
     33.316     7.0252     7.0246   3.519638   3.520214     3.2497     0.7305     1.0428     0.3081    92.5860    34.8604 7.4716e+02 9.5400e-02     33.000    34.8604    34.8673     6.7287    1479.13
     34.326     6.7862     6.7870   3.498618   3.499211     3.2450     0.6632     1.0380     0.3008    92.7563    34.8703 7.5080e+02 9.5400e-02     34.000    34.8703    34.8760     6.7571    1478.23
     35.336     6.6762     6.6748   3.488774   3.488736     3.2370     0.6491     1.0390     0.2949    92.8918    34.8726 7.5368e+02 9.5400e-02     35.000    34.8726    34.8737     6.7560    1477.82
     36.345     6.5479     6.5477   3.477193   3.477241     3.2290     0.6624     1.0331     0.2933    92.9293    34.8741 7.5348e+02 9.5400e-02     36.000    34.8741    34.8748     6.7580    1477.34
     37.355     6.4737     6.4718   3.470352   3.470509     3.2228     0.6444     1.0226     0.2970    92.8436    34.8731 7.5668e+02 9.5400e-02     37.000    34.8731    34.8768     6.7555    1477.06
     38.365     6.2358     6.2325   3.449057   3.449661     3.2160     0.6494     1.0125     0.2911    92.9808    34.8778 7.5832e+02 9.5400e-02     38.000    34.8778    34.8880     6.7791    1476.15
     39.374     6.0808     6.0792   3.435111   3.435026     3.2045     0.6403     1.0077     0.2889    93.0318    34.8796 7.5651e+02 9.5400e-02     39.000    34.8796    34.8803     6.7768    1475.56
     40.384     5.9486     5.9478   3.422981   3.423302     3.1959     0.6642     1.0309     0.2852    93.1186    34.8783 7.5720e+02 9.5400e-02     40.000    34.8783    34.8827     6.7782    1475.05
     41.394     5.7653     5.7621   3.406680   3.407489     3.1904     0.6156     1.0294     0.2909    92.9855    34.8821 7.5826e+02 9.5400e-02     41.000    34.8821    34.8946     6.7962    1474.34
     42.403     5.4414     5.4341   3.378109   3.378427     3.1800     0.5984     1.0088     0.2871    93.0742    34.8913 7.5790e+02 9.5400e-02     42.000    34.8913    34.9026     6.8260    1473.07
     43.413     5.2555     5.2544   3.361347   3.361227     3.1657     0.5942     1.0182     0.2755    93.3435    34.8919 7.5939e+02 9.5400e-02     43.000    34.8919    34.8917     6.8221    1472.34
     44.423     4.8622     4.8600   3.326448   3.327542     3.1544     0.5916     0.9842     0.2669    93.5460    34.8990 7.6096e+02 9.5400e-02     44.000    34.8990    34.9141     6.8628    1470.77
     45.432     4.6652     4.6638   3.308893   3.308860     3.1395     0.5555     1.0564     0.2589    93.7330    34.9010 7.5933e+02 9.5400e-02     45.000    34.9010    34.9021     6.8591    1469.99
     46.442     4.5583     4.5566   3.299383   3.299546     3.1348     0.4620     0.9743     0.2379    94.2259    34.9018 7.6106e+02 9.5400e-02     46.000    34.9018    34.9056     6.8667    1469.56
     47.452     4.4911     4.4896   3.293614   3.293450     3.1280     0.3792     0.9539     0.2201    94.6468    34.9045 7.6447e+02 9.5400e-02     47.000    34.9045    34.9042     6.8615    1469.31
     48.462     4.4617     4.4618   3.290816   3.290639     3.1181     0.3647     0.9539     0.2106    94.8719    34.9022 7.6295e+02 9.5400e-02     48.000    34.9022    34.9000     6.8410    1469.20
     49.471     4.4263     4.4257   3.287621   3.287568     3.1122     0.3028     0.9465     0.2007    95.1057    34.9015 7.5967e+02 9.5400e-02     49.000    34.9015    34.9015     6.8324    1469.07
     50.481     4.3735     4.3723   3.283028   3.282868     3.1072     0.2570     0.9380     0.2028    95.0581    34.9028 7.5970e+02 9.5400e-02     50.000    34.9028    34.9021     6.8293    1468.87
     51.491     4.3439     4.3435   3.280421   3.280244     3.1015     0.1958     0.9294     0.1902    95.3559    34.9028 7.6021e+02 9.5400e-02     51.000    34.9028    34.9012     6.8204    1468.77
     52.501     4.3229     4.3227   3.278605   3.278396     3.0989     0.2047     0.9260     0.1853    95.4720    34.9031 7.5757e+02 9.5400e-02     52.000    34.9031    34.9008     6.8178    1468.70
     53.510     4.3027     4.3021   3.276894   3.276671     3.0961     0.1624     0.9217     0.1840    95.5040    34.9037 7.5753e+02 9.5400e-02     53.000    34.9037    34.9017     6.8148    1468.63
     54.520     4.2636     4.2630   3.273417   3.273231     3.0914     0.1947     0.9245     0.1880    95.4087    34.9035 7.5779e+02 9.5400e-02     54.000    34.9035    34.9020     6.8102    1468.48
     55.530     4.2373     4.2368   3.271307   3.271038     3.0880     0.1126     0.9203     0.1682    95.8833    34.9060 7.5637e+02 9.5400e-02     55.000    34.9060    34.9034     6.8063    1468.40
     56.540     4.2177     4.2167   3.269507   3.269340     3.0860     0.1066     0.9123     0.1661    95.9323    34.9049 7.5857e+02 9.5400e-02     56.000    34.9049    34.9040     6.8056    1468.33
     57.549     4.1964     4.1953   3.267540   3.267239     3.0820     0.0984     0.9080     0.1625    96.0197    34.9037 7.5895e+02 9.5400e-02     57.000    34.9037    34.9013     6.7995    1468.26
     58.559     4.1820     4.1817   3.266378   3.266126     3.0795     0.1029     0.9210     0.1598    96.0832    34.9047 7.5882e+02 9.5400e-02     58.000    34.9047    34.9020     6.7960    1468.21
     59.569     4.1769     4.1766   3.265969   3.265725     3.0785     0.0920     0.9065     0.1570    96.1499    34.9047 7.6000e+02 9.5400e-02     59.000    34.9047    34.9022     6.7953    1468.21
     60.579     4.1722     4.1719   3.265572   3.265316     3.0761     0.0843     0.9066     0.1574    96.1426    34.9044 7.5961e+02 9.5400e-02     60.000    34.9044    34.9018     6.7905    1468.21
     61.589     4.1675     4.1671   3.265193   3.264940     3.0731     0.0931     0.9148     0.1586    96.1119    34.9044 7.5970e+02 9.5400e-02     61.000    34.9044    34.9018     6.7840    1468.20
     62.598     4.1648     4.1646   3.264981   3.264750     3.0716     0.0815     0.9294     0.1561    96.1724    34.9043 7.5949e+02 9.5400e-02     62.000    34.9043    34.9017     6.7814    1468.21
     63.608     4.1591     4.1590   3.264613   3.264391     3.0705     0.0793     0.9240     0.1594    96.0941    34.9053 7.6047e+02 9.5400e-02     63.000    34.9053    34.9029     6.7802    1468.20
     64.618     4.1572     4.1568   3.264679   3.264388     3.0687     0.0904     0.9037     0.1557    96.1817    34.9076 7.6197e+02 9.5400e-02     64.000    34.9076    34.9046     6.7763    1468.21
     65.628     4.1606     4.1602   3.265251   3.264992     3.0669     0.0774     0.9108     0.1550    96.2001    34.9102 7.5913e+02 9.5400e-02     65.000    34.9102    34.9076     6.7716    1468.25
     66.638     4.1572     4.1569   3.265012   3.264797     3.0647     0.0764     0.9158     0.1559    96.1774    34.9105 7.6041e+02 9.5400e-02     66.000    34.9105    34.9083     6.7671    1468.25
     67.648     4.1576     4.1546   3.265031   3.264554     3.0603     0.0615     0.9086     0.1557    96.1826    34.9097 7.6223e+02 9.5400e-02     67.000    34.9097    34.9072     6.7559    1468.27
     68.657     4.1469     4.1478   3.264166   3.264180     3.0567     0.0705     0.9041     0.1561    96.1734    34.9103 7.6429e+02 9.5400e-02     68.000    34.9103    34.9095     6.7491    1468.24
     69.667     4.1226     4.1226   3.261995   3.261778     3.0550     0.0595     0.8984     0.1521    96.2693    34.9098 7.6346e+02 9.5400e-02     69.000    34.9098    34.9073     6.7495    1468.16
     70.677     4.1246     4.1244   3.262213   3.261965     3.0534     0.0616     0.9092     0.1528    96.2509    34.9097 7.6202e+02 9.5400e-02     70.000    34.9097    34.9071     6.7458    1468.18
     71.687     4.1276     4.1291   3.262480   3.262355     3.0534     0.0597     0.9036     0.1556    96.1853    34.9092 7.6591e+02 9.5400e-02     71.000    34.9092    34.9061     6.7461    1468.21
     72.697     4.1374     4.1372   3.263632   3.263353     3.0526     0.0685     0.9164     0.1545    96.2107    34.9118 7.6406e+02 9.5400e-02     72.000    34.9118    34.9087     6.7428    1468.27
     73.707     4.1380     4.1373   3.263726   3.263438     3.0517     0.0658     0.9202     0.1535    96.2358    34.9118 7.6054e+02 9.5400e-02     73.000    34.9118    34.9092     6.7414    1468.29
     74.716     4.1362     4.1363   3.263584   3.263361     3.0487     0.0628     0.9135     0.1551    96.1961    34.9114 7.5858e+02 9.5400e-02     74.000    34.9114    34.9087     6.7343    1468.30
     75.726     4.1336     4.1334   3.263417   3.263194     3.0474     0.0544     0.9076     0.1526    96.2561    34.9117 7.5345e+02 9.5400e-02     75.000    34.9117    34.9092     6.7320    1468.30
     76.736     4.1176     4.1168   3.261975   3.261775     3.0461     0.0696     0.9104     0.1568    96.1565    34.9110 7.5025e+02 9.5400e-02     76.000    34.9110    34.9095     6.7323    1468.25
