,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50137,16-50137,3,,2019-08-15 01:06:11.693,CGINS-CTDBPP-50137__20150529.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50137__20150529.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50137,16-50137,4,,2019-08-15 01:06:43.476,CGINS-CTDBPP-50137__20171010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50137__20171010.csv,No errors found,2018-12-04 17:10:40,,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50138,16-50138,3,,2019-08-15 01:05:47.642,CGINS-CTDBPP-50138__20150529.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50138__20150529.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50138,16-50138,4,,2019-08-15 01:06:21.390,CGINS-CTDBPP-50138__20170915.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50138__20170915.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,CTD Pumped: CTDBP Series P,GA01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50156,16-50156,3,,2019-08-15 01:06:24.554,CGINS-CTDBPP-50156__20150812.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50156__20150812.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Argentine Basin,GA01SUMO,RII11,CTD Pumped: CTDBP Series P,GA01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50157,16-50157,3,,2019-08-15 01:05:25.108,CGINS-CTDBPP-50157__20150814.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50157__20150814.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Argentine Basin,GA01SUMO,RII11,CTD Pumped: CTDBP Series P,GA01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50158,16-50158,3,,2019-08-15 01:05:06.844,CGINS-CTDBPP-50158__20180331.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50158__20180331.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50159,16-50159,3,,2019-08-15 01:06:20.709,CGINS-CTDBPP-50159__20150814.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50159__20150814.csv,No errors found,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50160,16-50160,3,,2019-08-15 01:04:49.309,CGINS-CTDBPP-50160__20150814.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50160__20150814.csv,No errors found,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50161,16-50161,3,,2019-08-15 01:06:44.979,CGINS-CTDBPP-50161__20150815.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50161__20150815.csv,No errors found,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50198,16-50198,4,,2019-08-15 01:06:20.867,CGINS-CTDBPP-50198__20161109.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50198__20161109.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
