,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Argentine Basin,GA01SUMO,RID16,Nitrate: NUTNR Series B,GA01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00272,272,1,#43,2019-08-23 21:04:33.323,CGINS-NUTNRB-00272__20141103.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00272__20141103.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Argentine Basin,GA01SUMO,RID16,Nitrate: NUTNR Series B,GA01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00272,272,3,#43,2019-08-23 21:05:14.834,CGINS-NUTNRB-00272__20161022.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00272__20161022.csv,File renamed with correct date Calibration coefficients were modified,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Argentine Basin,GA01SUMO,SBD11,Nitrate: NUTNR Series B,GA01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00273,273,1,,2019-08-23 21:06:01.088,CGINS-NUTNRB-00273__20161122.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00273__20161122.csv,No errors found,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Coastal Pioneer,CP03ISSM,RID26,Nitrate: NUTNR Series B,CP03ISSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00273,273,7,,2019-08-23 21:06:01.088,CGINS-NUTNRB-00273__20161122.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00273__20161122.csv,No errors found,2017-11-01 12:22:00,2018-03-28 16:56:00,
0,Global Irminger Sea,GI01SUMO,SBD11,Nitrate: NUTNR Series B,GI01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00274,274,2,#43,2019-08-23 21:05:16.215,CGINS-NUTNRB-00274__20150723.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00274__20150723.csv,File renamed with correct date Calibration coefficients were modified,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Global Irminger Sea,GI01SUMO,RID16,Nitrate: NUTNR Series B,GI01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00274,274,4,,2019-08-23 21:05:10.606,CGINS-NUTNRB-00274__20161108.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00274__20161108.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Argentine Basin,GA01SUMO,RID16,Nitrate: NUTNR Series B,GA01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00275,275,2,#43,2019-08-23 21:04:47.835,CGINS-NUTNRB-00275__20150608.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00275__20150608.csv,File renamed with correct date Calibration coefficients were modified,2015-11-14 21:06:00,2016-11-08 10:10:00,
0,Global Southern Ocean,GS01SUMO,RID16,Nitrate: NUTNR Series B,GS01SUMO-RID16-08-SPKIRB000,CGINS-NUTNRB-00276,276,1,#43,2019-08-23 21:06:04.223,CGINS-NUTNRB-00276__20170602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00276__20170602.csv,File renamed with correct date ,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Global Argentine Basin,GA01SUMO,SBD11,Nitrate: NUTNR Series B,GA01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00276,276,2,#43,2019-08-23 21:06:04.223,CGINS-NUTNRB-00276__20170602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00276__20170602.csv,File renamed with correct date ,2015-11-14 21:06:00,2016-11-08 10:10:00,
2,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00276,276,7,#43,2019-08-23 21:06:04.223,CGINS-NUTNRB-00276__20170602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00276__20170602.csv,File renamed with correct date ,2017-10-28 14:24:00,2018-03-29 12:42:00,
