,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0099,P0099,1,659,2019-08-23 21:04:42.048,CGINS-PHSEND-P0099__20130909.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0099__20130909.csv,File renamed with correct date ,2014-12-12 21:47:00,2015-05-10 00:00:00,
1,Coastal Pioneer,CP03ISSM,RID26,Seawater pH: PHSEN Series D,CP03ISSM-RID26-06-PHSEND000,CGINS-PHSEND-P0099,P0099,4,659,2019-08-23 21:04:32.196,CGINS-PHSEND-P0099__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0099__20190110.csv,Missing file added,2016-05-28 14:43:00,2016-10-15 12:14:00,
2,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0099,P0099,7,659,2019-08-23 21:04:32.196,CGINS-PHSEND-P0099__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0099__20190110.csv,Missing file added,2017-06-09 14:24:00,2017-11-01 20:33:00,
3,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0099,P0099,8,659,2019-08-23 21:04:32.196,CGINS-PHSEND-P0099__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0099__20190110.csv,Missing file added,2018-03-25 15:27:00,2018-10-26 19:52:00,
4,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0099,P0099,11,659,2019-08-23 21:04:32.196,CGINS-PHSEND-P0099__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0099__20190110.csv,Missing file added,2019-04-06 14:35:00,,
0,Coastal Pioneer,CP03ISSM,RID26,Seawater pH: PHSEN Series D,CP03ISSM-RID26-06-PHSEND000,CGINS-PHSEND-P0100,P0100,2,659,2019-08-23 21:04:40.963,CGINS-PHSEND-P0100__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0100__20160203.csv,File renamed with correct date ,2015-05-09 00:57:00,2015-10-21 18:50:00,
1,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0100,P0100,5,659,2019-08-23 21:04:40.963,CGINS-PHSEND-P0100__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0100__20160203.csv,File renamed with correct date ,2016-05-13 13:50:00,2016-10-13 19:34:00,
2,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0100,P0100,6,659,2019-08-23 21:06:38.678,CGINS-PHSEND-P0100__20190125.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0100__20190125.csv,Missing file added,2017-06-06 14:51:00,2017-11-02 14:15:00,
3,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0100,P0100,8,659,2019-08-23 21:06:38.678,CGINS-PHSEND-P0100__20190125.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0100__20190125.csv,Missing file added,2018-03-24 14:37:00,2018-10-30 14:30:00,
4,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0100,P0100,10,659,2019-08-23 21:06:38.678,CGINS-PHSEND-P0100__20190125.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0100__20190125.csv,Missing file added,2019-04-07 14:42:00,,
0,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0155,P0155,2,,2019-08-23 21:04:23.304,CGINS-PHSEND-P0155__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0155__20160203.csv,No errors found,2015-05-09 01:04:00,2015-10-23 00:00:00,
1,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0155,P0155,6,,2019-08-23 21:04:23.304,CGINS-PHSEND-P0155__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0155__20160203.csv,No errors found,2017-06-06 14:51:00,2017-11-02 14:15:00,
2,Coastal Pioneer,CP03ISSM,RID26,Seawater pH: PHSEN Series D,CP03ISSM-RID26-06-PHSEND000,CGINS-PHSEND-P0155,P0155,8,659,2019-08-23 21:04:32.856,CGINS-PHSEND-P0155__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0155__20190110.csv,Missing file added,2018-03-25 15:27:00,2018-10-26 19:52:00,
3,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0155,P0155,10,659,2019-08-23 21:04:32.856,CGINS-PHSEND-P0155__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0155__20190110.csv,Missing file added,2019-04-05 14:55:00,,
0,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0156,P0156,2,659,2019-08-23 21:05:52.122,CGINS-PHSEND-P0156__20150326.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0156__20150326.csv,File renamed with correct date ,2015-05-09 01:04:00,2015-10-23 00:00:00,
1,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0156,P0156,5,,2019-08-23 21:06:40.350,CGINS-PHSEND-P0156__20180206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0156__20180206.csv,No errors found,2016-05-13 13:50:00,2016-10-13 19:34:00,
2,Coastal Pioneer,CP03ISSM,RID26,Seawater pH: PHSEN Series D,CP03ISSM-RID26-06-PHSEND000,CGINS-PHSEND-P0156,P0156,6,,2019-08-23 21:06:40.350,CGINS-PHSEND-P0156__20180206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0156__20180206.csv,No errors found,2017-06-15 13:43:00,2017-11-01 14:17:00,
3,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0156,P0156,9,,2019-08-23 21:06:40.350,CGINS-PHSEND-P0156__20180206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0156__20180206.csv,No errors found,2018-10-29 03:43:00,2019-04-06 18:51:00,
0,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0157,P0157,3,659,2019-08-23 21:04:32.269,CGINS-PHSEND-P0157__20150428.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0157__20150428.csv,File renamed with correct date ,2015-10-21 17:44:00,2016-05-14 13:45:00,
0,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0158,P0158,3,659,2019-08-23 21:06:43.154,CGINS-PHSEND-P0158__20150428.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0158__20150428.csv,File renamed with correct date ,2015-10-22 19:38:00,2016-05-13 17:18:00,
1,Coastal Pioneer,CP04OSSM,MFD35,Seawater pH: PHSEN Series D,CP04OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0158,P0158,5,659,2019-08-23 21:06:40.084,CGINS-PHSEND-P0158__20160614.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0158__20160614.csv,File renamed with correct date ,2016-10-12 14:26:00,2017-06-08 12:05:00,
2,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0158,P0158,7,,2019-08-23 21:05:51.577,CGINS-PHSEND-P0158__20180730.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0158__20180730.csv,No errors found,2017-11-01 12:22:00,2018-03-28 16:56:00,
3,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0158,P0158,10,,2019-08-23 21:05:51.577,CGINS-PHSEND-P0158__20180730.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0158__20180730.csv,No errors found,2019-04-05 14:55:00,,
