,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0122,C0122,2,,2019-08-23 21:06:32.717,CGINS-PCO2WC-C0122__20170516.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0122__20170516.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
0,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0128,C0128,2,659,2019-08-23 21:07:06.460,CGINS-PCO2WC-C0128__20150908.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0128__20150908.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0128,C0128,4,,2019-08-23 21:05:01.572,CGINS-PCO2WC-C0128__20170516.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0128__20170516.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0129,C0129,2,659,2019-08-23 21:04:30.173,CGINS-PCO2WC-C0129__20150908.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0129__20150908.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0129,C0129,4,,2019-08-23 21:06:20.710,CGINS-PCO2WC-C0129__20170509.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0129__20170509.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0130,C0130,2,,2019-08-23 21:04:50.447,CGINS-PCO2WC-C0130__20170509.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0130__20170509.csv,No errors found,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0130,C0130,4,,2019-08-23 21:04:50.447,CGINS-PCO2WC-C0130__20170509.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0130__20170509.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0136,C0136,3,,2019-08-23 21:05:22.955,CGINS-PCO2WC-C0136__20171206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0136__20171206.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
0,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0137,C0137,3,,2019-08-23 21:05:27.762,CGINS-PCO2WC-C0137__20171206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0137__20171206.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0137,C0137,4,,2019-08-23 21:05:27.762,CGINS-PCO2WC-C0137__20171206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0137__20171206.csv,No errors found,2018-12-04 17:10:40,,
0,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0138,C0138,3,659,2019-08-23 21:04:23.912,CGINS-PCO2WC-C0138__20151209.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0138__20151209.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0138,C0138,4,,2019-08-23 21:05:05.530,CGINS-PCO2WC-C0138__20180212.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0138__20180212.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0139,C0139,3,,2019-08-23 21:06:46.268,CGINS-PCO2WC-C0139__20170622.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0139__20170622.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
1,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0139,C0139,4,,2019-08-23 21:06:46.268,CGINS-PCO2WC-C0139__20170622.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0139__20170622.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0140,C0140,3,,2019-08-23 21:04:40.577,CGINS-PCO2WC-C0140__20180501.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0140__20180501.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0141,C0141,3,,2019-08-23 21:07:06.754,CGINS-PCO2WC-C0141__20180424.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0141__20180424.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
