,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
2,Global Irminger Sea,GI01SUMO,SBD11,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-SBD11-04-DOSTAD000,CGINS-DOSTAD-00211,211,3,#37,2019-08-15 01:05:17.844,CGINS-DOSTAD-00211__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00211__20151206.csv,File renamed with correct date Calibration coefficients were modified,2016-07-10 17:44:00,2017-08-14 09:33:00,
0,Global Irminger Sea,GI01SUMO,RID16,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RID16-06-DOSTAD000,CGINS-DOSTAD-00212,212,5,#37,2019-08-15 01:06:00.464,CGINS-DOSTAD-00212__20170918.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00212__20170918.csv,Calibration coefficients were modified,2018-06-08 17:21:00,2019-08-09 08:04:00,
1,Global Irminger Sea,GI01SUMO,RID16,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RID16-06-DOSTAD000,CGINS-DOSTAD-00212,212,3,#37,2019-08-15 01:05:21.330,CGINS-DOSTAD-00212__20160226.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00212__20160226.csv,File renamed with correct date Calibration coefficients were modified,2016-07-10 17:44:00,2017-08-14 09:33:00,
2,Global Irminger Sea,GI01SUMO,RID16,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RID16-06-DOSTAD000,CGINS-DOSTAD-00212,212,1,#37,2019-08-15 01:07:05.851,CGINS-DOSTAD-00212__20130704.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00212__20130704.csv,File renamed with correct date ,2014-09-10 18:50:00,2015-08-22 11:00:00,
0,Global Irminger Sea,GI03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GI03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00224,224,6,,2019-08-15 01:06:24.722,CGINS-DOSTAD-00224__20170918.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00224__20170918.csv,No errors found,2019-08-08 13:20:00,,
1,Global Station Papa,GP03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00224,224,2,#37,2019-08-15 01:06:38.406,CGINS-DOSTAD-00224__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00224__20151206.csv,File renamed with correct date ,2014-06-20 02:00:00,2015-06-07 00:00:00,
2,Global Irminger Sea,GI01SUMO,RII11,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RII11-02-DOSTAD031,CGINS-DOSTAD-00224,224,3,#37,2019-08-15 01:06:38.406,CGINS-DOSTAD-00224__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00224__20151206.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
0,Coastal Pioneer,CP03ISSM,MFD37,Dissolved Oxygen Stable Response: DOSTA Series D,CP03ISSM-MFD37-04-DOSTAD000,CGINS-DOSTAD-00225,225,2,,2019-08-15 01:06:48.507,CGINS-DOSTAD-00225__20171204.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00225__20171204.csv,No errors found,2015-05-09 00:57:00,2015-10-21 18:50:00,
1,Global Irminger Sea,GI01SUMO,RII11,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RII11-02-DOSTAD032,CGINS-DOSTAD-00225,225,3,,2019-08-15 01:06:48.507,CGINS-DOSTAD-00225__20171204.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00225__20171204.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
0,Global Argentine Basin,GA01SUMO,SBD11,Dissolved Oxygen Stable Response: DOSTA Series D,GA01SUMO-SBD11-04-DOSTAD000,CGINS-DOSTAD-00226,226,1,#37,2019-08-15 01:05:20.864,CGINS-DOSTAD-00226__20160514.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00226__20160514.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Argentine Basin,GA03FLMA,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GA03FLMA-RIS01-03-DOSTAD000,CGINS-DOSTAD-00226,226,3,#37,2019-08-15 01:05:20.864,CGINS-DOSTAD-00226__20160514.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00226__20160514.csv,File renamed with correct date ,2016-10-30 23:17:00,2018-01-09 12:15:00,
0,Global Southern Ocean,GS01SUMO,RID16,Dissolved Oxygen Stable Response: DOSTA Series D,GS01SUMO-RID16-06-DOSTAD000,CGINS-DOSTAD-00227,227,2,#37,2019-08-15 01:05:26.062,CGINS-DOSTAD-00227__20130804.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00227__20130804.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
0,Global Irminger Sea,GI01SUMO,RII11,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-RII11-02-DOSTAD033,CGINS-DOSTAD-00228,228,3,,2019-08-15 01:05:14.686,CGINS-DOSTAD-00228__20170918.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00228__20170918.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Station Papa,GP03FLMA,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMA-RIS01-03-DOSTAD000,CGINS-DOSTAD-00228,228,6,,2019-08-15 01:05:14.686,CGINS-DOSTAD-00228__20170918.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00228__20170918.csv,No errors found,2018-07-23 22:54:00,,
2,Global Irminger Sea,GI03FLMA,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GI03FLMA-RIS01-03-DOSTAD000,CGINS-DOSTAD-00228,228,1,#37,2019-08-15 01:05:27.716,CGINS-DOSTAD-00228__20160226.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00228__20160226.csv,File renamed with correct date ,2014-09-12 20:11:00,2015-08-18 10:41:00,
0,Coastal Pioneer,CP04OSSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP04OSSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00375,375,10,#37,2019-08-15 01:07:01.206,CGINS-DOSTAD-00375__20180411.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00375__20180411.csv,Calibration coefficients were modified,2019-04-05 14:55:00,,
1,Coastal Pioneer,CP04OSSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP04OSSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00375,375,1,#37,2019-08-15 01:05:02.908,CGINS-DOSTAD-00375__20151001.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00375__20151001.csv,File renamed with correct date Calibration coefficients were modified,2014-12-12 21:47:00,2015-05-10 00:00:00,
2,Global Argentine Basin,GA01SUMO,SBD11,Dissolved Oxygen Stable Response: DOSTA Series D,GA01SUMO-SBD11-04-DOSTAD000,CGINS-DOSTAD-00375,375,3,#37,2019-08-15 01:05:02.908,CGINS-DOSTAD-00375__20151001.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00375__20151001.csv,File renamed with correct date Calibration coefficients were modified,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Coastal Pioneer,CP04OSSM,MFD37,Dissolved Oxygen Stable Response: DOSTA Series D,CP04OSSM-MFD37-04-DOSTAD000,CGINS-DOSTAD-00376,376,1,#37,2019-08-15 01:07:41.581,CGINS-DOSTAD-00376__20151001.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00376__20151001.csv,File renamed with correct date Calibration coefficients were modified,2014-12-12 21:47:00,2015-05-10 00:00:00,
1,Global Argentine Basin,GA01SUMO,RID16,Dissolved Oxygen Stable Response: DOSTA Series D,GA01SUMO-RID16-06-DOSTAD000,CGINS-DOSTAD-00376,376,3,#37,2019-08-15 01:07:41.581,CGINS-DOSTAD-00376__20151001.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00376__20151001.csv,File renamed with correct date Calibration coefficients were modified,2016-10-27 01:47:00,2018-01-14 10:24:00,
2,Coastal Pioneer,CP04OSSM,MFD37,Dissolved Oxygen Stable Response: DOSTA Series D,CP04OSSM-MFD37-04-DOSTAD000,CGINS-DOSTAD-00376,376,10,#37,2019-08-15 01:07:10.527,CGINS-DOSTAD-00376__20180411.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00376__20180411.csv,Calibration coefficients were modified,2019-04-05 14:55:00,,
0,Global Southern Ocean,GS01SUMO,RII11,Dissolved Oxygen Stable Response: DOSTA Series D,GS01SUMO-RII11-02-DOSTAD032,CGINS-DOSTAD-00377,377,2,#37,2019-08-15 01:05:04.518,CGINS-DOSTAD-00377__20140525.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00377__20140525.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Coastal Pioneer,CP01CNSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP01CNSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00377,377,8,,2019-08-15 01:05:08.726,CGINS-DOSTAD-00377__20180522.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00377__20180522.csv,No errors found,2017-10-29 14:15:00,2018-03-29 19:37:00,
2,Coastal Pioneer,CP03ISSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP03ISSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00377,377,10,,2019-08-15 01:05:08.726,CGINS-DOSTAD-00377__20180522.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00377__20180522.csv,No errors found,2019-04-07 14:42:00,,
0,Coastal Pioneer,CP03ISSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP03ISSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00378,378,9,,2019-08-15 01:06:40.513,CGINS-DOSTAD-00378__20171213.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00378__20171213.csv,No errors found,2018-10-29 03:43:00,2019-04-06 18:51:00,
1,Coastal Pioneer,CP03ISSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP03ISSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00378,378,6,,2019-08-15 01:07:51.394,CGINS-DOSTAD-00378__20170220.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00378__20170220.csv,No errors found,2017-06-15 13:43:00,2017-11-01 14:17:00,
2,Coastal Pioneer,CP01CNSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP01CNSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00378,378,5,#37,2019-08-15 01:05:19.689,CGINS-DOSTAD-00378__20140525.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00378__20140525.csv,File renamed with correct date Calibration coefficients were modified,2016-05-13 13:50:00,2016-10-13 19:34:00,
