,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
2,Global Southern Ocean,GS01SUMO,RID16,pCO2 Water: PCO2W Series B,GS01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0099,C0099,4,,2019-08-23 21:04:33.424,CGINS-PCO2WB-C0099__20171227.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0099__20171227.csv,No errors found,2018-12-04 17:10:40,,
0,Global Irminger Sea,GI01SUMO,RID16,pCO2 Water: PCO2W Series B,GI01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0100,C0100,2,,2019-08-23 21:06:03.537,CGINS-PCO2WB-C0100__20161020.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0100__20161020.csv,No errors found,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Coastal Pioneer,CP04OSSM,MFD35,pCO2 Water: PCO2W Series B,CP04OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0100,C0100,6,,2019-08-23 21:06:03.537,CGINS-PCO2WB-C0100__20161020.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0100__20161020.csv,No errors found,2017-06-06 14:51:00,2017-11-02 14:15:00,
2,Coastal Pioneer,CP04OSSM,MFD35,pCO2 Water: PCO2W Series B,CP04OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0100,C0100,9,,2019-08-23 21:04:29.792,CGINS-PCO2WB-C0100__20180326.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0100__20180326.csv,No errors found,2018-10-25 15:31:00,2019-04-08 11:39:00,
0,Global Argentine Basin,GA01SUMO,RID16,pCO2 Water: PCO2W Series B,GA01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0112,C0112,2,,2019-08-23 21:06:01.361,CGINS-PCO2WB-C0112__20170523.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0112__20170523.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
1,Coastal Pioneer,CP04OSSM,MFD35,pCO2 Water: PCO2W Series B,CP04OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0112,C0112,8,659,2019-08-23 21:04:39.313,CGINS-PCO2WB-C0112__20190129.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0112__20190129.csv,Missing file added,2018-03-24 14:37:00,2018-10-30 14:30:00,
0,Global Southern Ocean,GS01SUMO,RID16,pCO2 Water: PCO2W Series B,GS01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0113,C0113,2,659,2019-08-23 21:06:12.963,CGINS-PCO2WB-C0113__20170522.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0113__20170522.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RID16,pCO2 Water: PCO2W Series B,GI01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0113,C0113,4,659,2019-08-23 21:06:12.963,CGINS-PCO2WB-C0113__20170522.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0113__20170522.csv,File renamed with correct date ,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Argentine Basin,GA01SUMO,RID16,pCO2 Water: PCO2W Series B,GA01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0127,C0127,3,,2019-08-23 21:05:02.253,CGINS-PCO2WB-C0127__20180424.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0127__20180424.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Coastal Pioneer,CP04OSSM,MFD35,pCO2 Water: PCO2W Series B,CP04OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0134,C0134,5,,2019-08-23 21:04:28.634,CGINS-PCO2WB-C0134__20170719.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0134__20170719.csv,No errors found,2016-10-12 14:26:00,2017-06-08 12:05:00,
1,Coastal Pioneer,CP03ISSM,MFD35,pCO2 Water: PCO2W Series B,CP03ISSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0134,C0134,7,,2019-08-23 21:04:28.634,CGINS-PCO2WB-C0134__20170719.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0134__20170719.csv,No errors found,2017-11-01 12:22:00,2018-03-28 16:56:00,
2,Coastal Pioneer,CP04OSSM,MFD35,pCO2 Water: PCO2W Series B,CP04OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0134,C0134,10,,2019-08-23 21:04:23.745,CGINS-PCO2WB-C0134__20180712.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0134__20180712.csv,No errors found,2019-04-05 14:55:00,,
0,Coastal Pioneer,CP03ISSM,MFD35,pCO2 Water: PCO2W Series B,CP03ISSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0135,C0135,6,659,2019-08-23 21:05:43.998,CGINS-PCO2WB-C0135__20151207.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0135__20151207.csv,File renamed with correct date Calibration coefficients were modified,2017-06-15 13:43:00,2017-11-01 14:17:00,
1,Coastal Pioneer,CP01CNSM,MFD35,pCO2 Water: PCO2W Series B,CP01CNSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0135,C0135,10,,2019-08-23 21:04:40.554,CGINS-PCO2WB-C0135__20180327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0135__20180327.csv,No errors found,2018-10-30 01:48:00,2019-04-07 18:08:00,
