       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
      3.029    10.7343    10.7334   3.860855   3.860991     2.2311     1.2920     0.3718    4.82014      3.000    34.8189    34.8212    1492.24    4.81986  1026.6959  1026.6979     -0.065    6.22482 0.0000e+00
      4.039    10.7345    10.7334   3.860985   3.861120     2.2318     1.3463     0.3718    4.82278      4.000    34.8196    34.8220    1492.25    4.82251  1026.7010  1026.7031      0.380    6.22477 0.0000e+00
      5.048    10.7342    10.7332   3.861006   3.861151     2.2310     1.3159     0.3721    4.82095      5.000    34.8197    34.8220    1492.27    4.82068  1026.7057  1026.7076      0.758    6.22480 0.0000e+00
      6.058    10.7357    10.7343   3.861188   3.861301     2.2310     1.2907     0.3758    4.82145      6.000    34.8196    34.8221    1492.29    4.82118  1026.7100  1026.7120      0.533    6.22461 0.0000e+00
      7.068    10.7366    10.7352   3.861327   3.861444     2.2309     1.2651     0.3717    4.82169      7.000    34.8197    34.8222    1492.31    4.82141  1026.7144  1026.7166      0.460    6.22448 0.0000e+00
      8.077    10.7354    10.7328   3.861273   3.861260     2.2309     1.2688     0.3723    4.82250      8.000    34.8198    34.8222    1492.32    4.82223  1026.7192  1026.7216      0.481    6.22464 0.0000e+00
      9.087    10.7310    10.7298   3.860926   3.861072     2.2309     1.2690     0.3691    4.82368      9.000    34.8201    34.8227    1492.32    4.82341  1026.7247  1026.7271      0.641    6.22522 0.0000e+00
     10.097    10.7308    10.7302   3.860975   3.861134     2.2308     1.2684     0.3668    4.82398     10.000    34.8202    34.8225    1492.34    4.82371  1026.7295  1026.7313      0.706    6.22523 0.0000e+00
     11.107    10.7296    10.7282   3.860891   3.861010     2.2304     1.2976     0.3667    4.82361     11.000    34.8201    34.8227    1492.35    4.82334  1026.7341  1026.7365      0.543    6.22540 0.0000e+00
     12.116    10.7288    10.7281   3.860856   3.861024     2.2300     1.2692     0.3645    4.82307     12.000    34.8201    34.8224    1492.37    4.82280  1026.7389  1026.7408      0.480    6.22552 0.0000e+00
     13.126    10.7240    10.7231   3.860468   3.860665     2.2296     1.2820     0.3661    4.82324     13.000    34.8203    34.8232    1492.37    4.82297  1026.7444  1026.7468      0.691    6.22615 0.0000e+00
     14.136    10.7228    10.7224   3.860390   3.860575     2.2296     1.2815     0.3615    4.82388     14.000    34.8202    34.8225    1492.38    4.82361  1026.7491  1026.7510      0.618    6.22632 0.0000e+00
     15.146    10.7207    10.7192   3.860227   3.860338     2.2289     1.2908     0.3615    4.82270     15.000    34.8201    34.8227    1492.39    4.82243  1026.7540  1026.7562      0.429    6.22661 0.0000e+00
     16.155    10.7187    10.7171   3.860090   3.860181     2.2280     1.2921     0.3582    4.82102     16.000    34.8202    34.8226    1492.40    4.82075  1026.7589  1026.7611      0.629    6.22688 0.0000e+00
     17.165    10.7216    10.7190   3.860393   3.860388     2.2272     1.3089     0.3544    4.81921     17.000    34.8200    34.8225    1492.42    4.81894  1026.7628  1026.7653      0.640    6.22650 0.0000e+00
