       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
      4.038     9.2218     9.2207   3.713779   3.713932     2.2101     1.7412     0.3924    4.92773      4.000    34.7712    34.7739    1486.75    4.92748  1026.9215  1026.9237      0.074    6.43735 0.0000e+00
      5.048     9.2221     9.2218   3.713845   3.714070     2.2101     1.7346     0.3907    4.92811      5.000    34.7712    34.7738    1486.76    4.92786  1026.9260  1026.9281      0.233    6.43732 0.0000e+00
      6.057     9.2190     9.2175   3.713636   3.713748     2.2093     1.7974     0.3912    4.92683      6.000    34.7715    34.7742    1486.77    4.92658  1026.9314  1026.9337      0.481    6.43774 0.0000e+00
      7.067     9.2178     9.2175   3.713586   3.713831     2.2100     1.7201     0.3904    4.92959      7.000    34.7717    34.7746    1486.78    4.92934  1026.9363  1026.9386      0.895    6.43791 0.0000e+00
      8.076     9.2106     9.2101   3.713000   3.713221     2.2100     1.6878     0.3912    4.93105      8.000    34.7722    34.7749    1486.77    4.93080  1026.9424  1026.9446      0.718    6.43893 0.0000e+00
      9.086     9.2115     9.2086   3.713090   3.713081     2.2098     1.7242     0.3905    4.93104      9.000    34.7718    34.7744    1486.79    4.93079  1026.9465  1026.9491      0.281    6.43882 0.0000e+00
     10.095     9.2118     9.2102   3.713154   3.713324     2.2096     1.7601     0.3907    4.93099     10.000    34.7716    34.7750    1486.81    4.93074  1026.9509  1026.9539      0.625    6.43877 0.0000e+00
     11.105     9.2107     9.2102   3.713131   3.713308     2.2095     1.7005     0.3908    4.93144     11.000    34.7720    34.7743    1486.82    4.93119  1026.9559  1026.9579      0.546    6.43892 0.0000e+00
     12.115     9.2136     9.2120   3.713410   3.713561     2.2090     1.7013     0.3907    4.93040     12.000    34.7716    34.7748    1486.85    4.93015  1026.9598  1026.9625      0.685    6.43853 0.0000e+00
     13.124     9.2077     9.2054   3.712967   3.712988     2.2085     1.6788     0.3914    4.93039     13.000    34.7722    34.7747    1486.84    4.93014  1026.9658  1026.9681      0.640    6.43934 0.0000e+00
     14.134     9.2131     9.2126   3.713454   3.713645     2.2085     1.7384     0.3902    4.93042     14.000    34.7716    34.7740    1486.88    4.93017  1026.9691  1026.9711      0.268    6.43860 0.0000e+00
     15.143     9.2195     9.2189   3.714072   3.714264     2.2081     1.7286     0.3913    4.92917     15.000    34.7713    34.7739    1486.92    4.92893  1026.9723  1026.9745      0.635    6.43768 0.0000e+00
     16.153     9.2214     9.2197   3.714283   3.714385     2.2077     1.7448     0.3912    4.92830     16.000    34.7712    34.7739    1486.94    4.92805  1026.9766  1026.9790      0.450    6.43742 0.0000e+00
     17.162     9.2266     9.2230   3.714803   3.714682     2.2083     1.7251     0.3917    4.93005     17.000    34.7710    34.7733    1486.98    4.92980  1026.9801  1026.9825      0.676    6.43667 0.0000e+00
     18.172     9.2258     9.2246   3.714783   3.714916     2.2083     1.7231     0.3910    4.93097     18.000    34.7711    34.7737    1486.99    4.93072  1026.9850  1026.9872      0.460    6.43679 0.0000e+00
     19.182     9.2268     9.2261   3.714902   3.715085     2.2081     1.8003     0.3919    4.93074     19.000    34.7709    34.7735    1487.01    4.93049  1026.9893  1026.9913      0.404    6.43665 0.0000e+00
     20.191     9.2249     9.2226   3.714799   3.714839     2.2083     1.7731     0.3912    4.93237     20.000    34.7712    34.7739    1487.02    4.93212  1026.9943  1026.9968      0.561    6.43691 0.0000e+00
     21.201     9.2270     9.2260   3.715046   3.715184     2.2076     1.7646     0.3907    4.93053     21.000    34.7713    34.7737    1487.04    4.93028  1026.9985  1027.0007      0.856    6.43661 0.0000e+00
     22.210     9.2275     9.2271   3.715125   3.715329     2.2076     1.7234     0.3956    4.93123     22.000    34.7712    34.7737    1487.06    4.93098  1027.0031  1027.0050      0.623    6.43654 0.0000e+00
     23.220     9.2236     9.2232   3.714823   3.715047     2.2078     1.8222     0.3904    4.93274     23.000    34.7713    34.7741    1487.06    4.93249  1027.0083  1027.0106      0.283    6.43709 0.0000e+00
     24.230     9.2127     9.2136   3.713903   3.714250     2.2070     1.8092     0.3914    4.93229     24.000    34.7719    34.7747    1487.04    4.93204  1027.0153  1027.0172      0.518    6.43864 0.0000e+00
     25.239     9.2211     9.2191   3.714686   3.714704     2.2062     1.8486     0.3901    4.92994     25.000    34.7714    34.7735    1487.09    4.92969  1027.0181  1027.0200      0.476    6.43746 0.0000e+00
     26.249     9.2181     9.2149   3.714480   3.714576     2.2053     1.8139     0.3914    4.92819     26.000    34.7717    34.7758    1487.09    4.92794  1027.0233  1027.0271      0.685    6.43787 0.0000e+00
     27.259     9.1539     9.1583   3.708932   3.709606     2.2046     1.7751     0.3878    4.93381     27.000    34.7759    34.7787    1486.88    4.93357  1027.0416  1027.0431      0.460    6.44692 0.0000e+00
     28.268     9.0634     9.0690   3.700852   3.701945     2.2008     1.6805     0.3782    4.93359     28.000    34.7795    34.7854    1486.57    4.93335  1027.0637  1027.0675      0.458    6.45983 0.0000e+00
     29.278     8.8648     8.8784   3.682406   3.688735     2.2004     1.6690     0.3750    4.95579     29.000    34.7799    34.8333    1485.85    4.95555  1027.1003  1027.1400      1.023    6.48876 0.0000e+00
     30.288     8.0450     8.0547   3.611969   3.615451     2.1911     1.4375     0.3550    5.02235     30.000    34.8414    34.8690    1482.87    5.02212  1027.2805  1027.3008      0.862    6.60755 0.0000e+00
     31.297     7.6769     7.6961   3.579855   3.583439     2.1723     0.9878     0.2817    5.01012     31.000    34.8624    34.8820    1481.52    5.00990  1027.3567  1027.3694      0.566    6.66243 0.0000e+00
     32.307     6.6491     6.7962   3.491617   3.504155     2.1351     0.7170     0.2052    5.02062     32.000    34.9338    34.9230    1477.67    5.02042  1027.5641  1027.5350      0.216    6.81925 0.0000e+00
     33.317     6.3210     6.3123   3.461927   3.462865     2.1206     0.4591     0.1816    5.01717     33.000    34.9374    34.9568    1476.39    5.01698  1027.6147  1027.6313      0.752    6.87226 0.0000e+00
     34.326     6.0525     6.0596   3.438362   3.440288     2.1092     0.3504     0.1568    5.01552     34.000    34.9481    34.9625    1475.36    5.01534  1027.6631  1027.6735      0.760    6.91544 0.0000e+00
     35.336     5.9085     5.9059   3.425841   3.425953     2.0989     0.3333     0.1449    5.00209     35.000    34.9547    34.9587    1474.81    5.00191  1027.6915  1027.6949      0.715    6.93873 0.0000e+00
