,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Cruise ID,Start Time,Cast #,Bottle Salinity [psu],Bottle Oxy [mL/L]
210,2,Jun 18 2018 20:50:04,1774.1960000000001,1750.0439999999999,59.92856,-41.312,2.8527,2.853,3.2233330000000002,3.223405,34.9128,34.9133,6.0718,7.45517,55.262,-0.9685 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9166,-9999999
211,3,Jun 18 2018 20:56:11,1520.131,1500.336,59.92811,-41.31125,3.2058,3.2061,3.243824,3.243898,34.9096,34.9102,6.0865,7.39078,55.262,-0.9112 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9144,-9999999
212,4,Jun 18 2018 21:02:06,1266.187,1250.451,59.9275,-41.310359999999996,3.4501,3.4493,3.25449,3.2545029999999997,34.9055,34.9065,6.1212,7.3469,55.262,-0.9787 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9118,-9999999
213,5,Jun 18 2018 21:08:10,1012.727,1000.7439999999999,59.92696,-41.30963,3.6007,3.601,3.2565419999999996,3.256662,34.8995,34.9007,6.2119,7.320239999999999,55.262,-0.9840 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.905,-9999999
214,6,Jun 18 2018 21:14:19,760.29,751.747,59.92652,-41.30894,3.799,3.7996,3.263688,3.2638529999999997,34.9049,34.9063,6.2013,7.28475,55.262,-1.0866 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9109,-9999999
215,7,Jun 18 2018 21:20:27,504.61,499.246,59.926,-41.30818,4.1391,4.1387,3.283303,3.283384,34.9111,34.9125,6.1525,7.22474,55.262,-1.0488 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9187,-9999999
216,8,Jun 18 2018 21:28:04,204.667,202.638,59.92528000000001,-41.307140000000004,5.3891,5.3883,3.384553,3.3845970000000003,34.9348,34.9361,6.2783,7.01145,55.262,-0.7911 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.939,-9999999
217,9,Jun 18 2018 21:32:18,104.235,103.227,59.92481,-41.30644,4.9039,4.9024,3.326916,3.3269629999999997,34.8289,34.831,6.4288,7.0975,55.262,-1.0173 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.8365,-9999999
218,10,Jun 18 2018 21:35:20,54.075,53.559,59.924380000000006,-41.305859999999996,5.8469,5.8467,3.4167099999999997,3.4168629999999998,34.9051,34.907,6.5105,6.937880000000001,55.262,-0.9721 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.9103,-9999999
219,11,Jun 18 2018 21:38:04,3.998,3.96,59.92405,-41.30537,6.5584,6.5581,3.474884,3.4749809999999997,34.8542,34.8556,7.279,6.82648,55.262,-0.8822 (avg),D:\Data\ar30-03019.hex,59 55.88 N,041 18.96 W,ar30-03,2018-06-18T20:06:05Z,019,34.8587,-9999999
220,1,Jun 19 2018 12:38:35,2581.715,2541.794,59.805640000000004,-40.282379999999996,1.3971,1.3977,3.125742,3.1258060000000003,34.8861,34.8863,6.4854,7.733439999999999,55.262,-0.7746 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8896,-9999999
221,2,Jun 19 2018 12:42:20,2520.51,2481.888,59.805659999999996,-40.28236,1.8964,1.8971,3.167807,3.1678479999999998,34.8974,34.8972,6.3311,7.635860000000001,55.262,-0.9465 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.9004,-9999999
222,3,Jun 19 2018 12:48:41,2275.933,2242.335,59.80563000000001,-40.28242,2.732,2.7322,3.233073,3.233083,34.9153,34.9152,6.0607,7.47733,55.262,-0.9208 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.9185,-9999999
223,4,Jun 19 2018 12:54:40,2029.28,2000.476,59.805640000000004,-40.2824,3.1005,3.1009,3.256738,3.2567939999999997,34.9263,34.9266,5.9473,7.40908,55.262,-0.9796 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.9303,-9999999
224,5,Jun 19 2018 13:05:09,1520.465,1500.68,59.805659999999996,-40.282340000000005,3.526,3.5263,3.272348,3.272457,34.9105,34.9114,6.0397,7.33305,55.262,-0.9655 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.9136,-9999999
225,6,Jun 19 2018 13:15:27,1011.5830000000001,999.627,59.80565,-40.282379999999996,3.4123,3.4123,3.2372360000000002,3.237341,34.8696,34.8709,6.4693,7.35548,55.262,-1.0123 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8731,-9999999
226,7,Jun 19 2018 13:22:48,760.8389999999999,752.296,59.805640000000004,-40.282379999999996,3.4888,3.4889,3.233863,3.2340150000000003,34.8786,34.8803,6.4787,7.3413,55.262,-0.9729 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8833,-9999999
227,8,Jun 19 2018 13:28:30,508.26,502.858,59.805659999999996,-40.28235,3.6248,3.6244,3.235847,3.235964,34.8914,34.8931,6.4417,7.31635,55.262,-1.0151 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8949,-9999999
228,9,Jun 19 2018 13:35:50,203.19299999999998,201.18099999999998,59.805659999999996,-40.28237,4.0365,4.0386,3.25921,3.259547,34.8957,34.8975,6.4565,7.2434199999999995,55.262,-1.0121 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8993,-9999999
229,10,Jun 19 2018 13:39:30,101.639,100.65799999999999,59.805659999999996,-40.282379999999996,4.4406,4.439,3.290345,3.290342,34.8902,34.8918,6.6309,7.173539999999999,55.262,-0.9305 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.8936,-9999999
230,11,Jun 19 2018 13:41:30,75.995,75.266,59.805659999999996,-40.28235,4.6657,4.6643,3.3104440000000004,3.310475,34.9022,34.904,6.487,7.134410000000001,55.262,-0.9338 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,-9999999,-9999999
231,12,Jun 19 2018 13:43:59,50.24100000000001,49.763000000000005,59.805640000000004,-40.28239,4.8824,4.8882,3.3266440000000004,3.327258,34.8771,34.8781,6.6845,7.098839999999999,55.262,-0.9605 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.88,-9999999
232,13,Jun 19 2018 13:46:05,30.083000000000002,29.796999999999997,59.805659999999996,-40.28236,5.053,5.0551,3.340615,3.340975,34.8712,34.8732,6.7938,7.0704,55.262,-1.0228 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,-9999999,-9999999
233,14,Jun 19 2018 13:47:37,14.617,14.479000000000001,59.80568,-40.282340000000005,5.9553,5.9527,3.4201989999999998,3.420089,34.8532,34.8546,7.0659,6.92272,55.262,-1.0397 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,-9999999,-9999999
234,15,Jun 19 2018 13:49:16,4.854,4.808,59.805659999999996,-40.28236,5.995,5.9973,3.423374,3.4237610000000003,34.8533,34.8553,7.0972,6.91631,55.262,-1.0328 (avg),D:\Data\ar30-03020.hex,59 48.34 N,040 16.94 W,ar30-03,2018-06-19T11:50:34Z,020,34.858,-9999999
235,1,Jun 19 2018 18:43:15,1014.4960000000001,1002.4939999999999,59.856640000000006,-39.221940000000004,3.3018,3.3019,3.226479,3.226591,34.8567,34.8579,6.48,7.37605,55.262,-0.7787 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
236,2,Jun 19 2018 18:46:28,912.689,902.11,59.85658000000001,-39.22164,3.3106,3.3105,3.222914,3.223007,34.8575,34.8587,6.4993,7.37442,55.262,-0.8209 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
237,3,Jun 19 2018 18:49:30,811.68,802.466,59.856519999999996,-39.22142,3.3323,3.3324,3.2206349999999997,3.2207529999999998,34.8599,34.8612,6.5041,7.37038,55.262,-0.8455 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
238,4,Jun 19 2018 18:52:21,710.622,702.725,59.856480000000005,-39.2212,3.362,3.362,3.219127,3.219247,34.8635,34.8649,6.5018,7.36485,55.262,-0.8585 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
239,5,Jun 19 2018 18:55:18,609.2330000000001,602.61,59.85644,-39.22096,3.4371,3.437,3.222077,3.222188,34.8726,34.874,6.4995,7.35087,55.262,-0.7360 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
240,6,Jun 19 2018 18:58:17,507.96,502.559,59.85638,-39.220659999999995,3.4961,3.4959,3.223332,3.223437,34.8789,34.8804,6.4957,7.339980000000001,55.262,-0.8361 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
241,7,Jun 19 2018 19:01:12,406.44599999999997,402.224,59.8563,-39.22038,3.5939,3.5937,3.228067,3.228177,34.8859,34.8874,6.473,7.322139999999999,55.262,-0.8728 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
242,8,Jun 19 2018 19:04:23,306.348,303.23900000000003,59.85624,-39.220040000000004,3.6535,3.6525,3.228523,3.22856,34.8818,34.8833,6.4924,7.311710000000001,55.262,-0.9170 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
243,9,Jun 19 2018 19:07:44,205.437,203.40099999999998,59.85618,-39.21978,3.8692,3.8685,3.2437,3.24377,34.8879,34.8895,6.4542,7.27319,55.262,-0.9067 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
244,10,Jun 19 2018 19:10:02,151.433,149.952,59.85614,-39.21966,4.0524,4.0523,3.2567939999999997,3.256895,34.8782,34.8795,6.7065,7.24149,55.262,-0.9241 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
245,11,Jun 19 2018 19:12:02,121.439,120.26,59.85614,-39.219559999999994,4.0838,4.0838,3.257478,3.257635,34.8692,34.871,6.7126,7.236439999999999,55.262,-0.9216 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
246,12,Jun 19 2018 19:13:55,101.626,100.645,59.8561,-39.219429999999996,4.2339,4.2309,3.2709639999999998,3.270828,34.8805,34.882,6.6775,7.20975,55.262,-0.9319 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
247,13,Jun 19 2018 19:15:23,91.694,90.81,59.8561,-39.219390000000004,4.2784,4.2789,3.274597,3.27478,34.8816,34.8833,6.687,7.201960000000001,55.262,-0.9299 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
248,14,Jun 19 2018 19:16:42,81.515,80.73100000000001,59.8561,-39.21938,4.3223,4.3223,3.278259,3.2784190000000004,34.8838,34.8857,6.6753,7.19425,55.262,-0.9216 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
249,15,Jun 19 2018 19:18:30,61.163000000000004,60.578,59.85609,-39.21934,4.3987,4.4009,3.284481,3.2848339999999996,34.8874,34.8892,6.6564,7.18089,55.262,-0.9241 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
250,16,Jun 19 2018 19:20:05,51.398,50.908,59.856080000000006,-39.21931,4.4305,4.4314,3.2866089999999994,3.2868190000000004,34.884,34.8855,6.6612,7.175560000000001,55.262,-0.8924 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
251,17,Jun 19 2018 19:22:03,30.878,30.584,59.856080000000006,-39.21931,4.8961,4.8951,3.326968,3.327034,34.8768,34.8786,6.7064,7.096539999999999,55.262,-1.0135 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
252,18,Jun 19 2018 19:25:06,15.888,15.738,59.856080000000006,-39.21937,5.7488,5.7464,3.4017589999999998,3.401885,34.8565,34.8605,7.299,6.956060000000001,55.262,-1.0132 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
253,19,Jun 19 2018 19:26:51,4.266,4.225,59.8561,-39.21942,6.594,6.5884,3.4782379999999997,3.477841,34.8551,34.8564,7.431,6.82084,55.262,-0.9214 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
254,20,Jun 19 2018 19:27:01,4.2669999999999995,4.226,59.8561,-39.21942,6.5794,6.5788,3.476974,3.4770190000000003,34.8559,34.857,7.4387,6.8231,55.262,-0.9335 (avg),D:\Data\ar30-03021.hex,59 51.42 N,039 13.43 W,ar30-03,2018-06-19T18:21:51Z,021,-9999999,-9999999
255,1,Jun 22 2018 13:54:47,155.351,153.808,61.656240000000004,-33.98323,4.7631,4.7632,3.32151,3.3217239999999997,34.8865,34.8889,6.3055,7.118589999999999,17.0994, 1.3919 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
256,2,Jun 22 2018 13:58:02,101.603,100.60700000000001,61.65625,-33.9832,5.1587,5.1572,3.3565129999999996,3.3565379999999996,34.9066,34.9084,6.4931,7.05105,19.5374, 0.7566 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
257,3,Jun 22 2018 14:01:16,41.218,40.82,61.656240000000004,-33.98322,5.5512,5.5555,3.3870980000000004,3.387545,34.8809,34.8816,6.7136,6.987260000000001,24.165, 0.2386 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
258,4,Jun 22 2018 14:03:12,25.596,25.349,61.656259999999996,-33.98324,6.7144,6.7149,3.4902620000000004,3.490368,34.8552,34.8559,6.8532,6.801939999999999,55.262,-0.0398 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
259,5,Jun 22 2018 14:05:05,15.877,15.725,61.656240000000004,-33.98319,6.748,6.7494,3.492968,3.493182,34.8559,34.8569,6.8619,6.79665,55.262,-0.2348 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
260,6,Jun 22 2018 14:06:38,4.061,4.022,61.65622,-33.98323,6.7653,6.7643,3.494011,3.4940379999999998,34.8559,34.8572,6.8767,6.79395,55.262,-0.4110 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
261,7,Jun 22 2018 14:06:52,4.752,4.707,61.65623000000001,-33.98325,6.7647,6.7644,3.49399,3.494075,34.8559,34.8572,6.8712,6.79404,55.262,-0.4030 (avg),D:\Data\ar30-03022.hex,61 39.37 N,033 58.99 W,ar30-03,2018-06-22T13:48:11Z,022,-9999999,-9999999
262,1,Jun 22 2018 20:15:22,154.275,152.738,62.058569999999996,-32.23057,5.159,5.1572,3.359006,3.359001,34.9072,34.9091,6.1666,7.05095,24.5949, 0.2146 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
263,2,Jun 22 2018 20:17:53,103.62899999999999,102.61,62.05862,-32.23032,5.189,5.1874,3.3572940000000004,3.3573,34.8828,34.8846,6.5501,7.0471,55.262,-0.1631 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
264,3,Jun 22 2018 20:20:58,43.075,42.657,62.0586,-32.23016,6.9097,6.9319,3.511655,3.513982,34.8847,34.8878,6.7519,6.7701899999999995,22.9705, 0.3219 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
265,4,Jun 22 2018 20:22:42,25.871,25.621,62.058609999999994,-32.23018,7.2552,7.2505,3.543044,3.542667,34.8885,34.8891,6.7507,6.716760000000001,18.9658, 0.8727 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
266,5,Jun 22 2018 20:24:17,17.712,17.542,62.05862,-32.230259999999994,7.2777,7.2778,3.544142,3.5442190000000005,34.8819,34.8826,6.8086,6.713610000000001,18.9499, 0.8783 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
267,6,Jun 22 2018 20:26:11,2.963,2.9339999999999997,62.0586,-32.23042,7.2822,7.2818,3.5425709999999997,3.5426879999999996,34.8676,34.8692,6.8793,6.71357,21.1395, 0.5070 (avg),D:\Data\ar30-03023.hex,62 03.51 N,032 13.91 W,ar30-03,2018-06-22T20:07:00Z,023,-9999999,-9999999
268,1,Jun 09 2018 14:28:43,2688.276,2646.0209999999997,59.95693000000001,-39.51517,1.5141,1.5142,3.140052,3.140002,34.8864,34.8857,6.51,7.71051,55.262,-0.9332 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.938
269,2,Jun 09 2018 14:34:25,2540.522,2501.446,59.956030000000005,-39.5142,1.7484,1.7494,3.1550759999999998,3.155106,34.8902,34.8895,6.4528,7.66476,55.262,-0.9710 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.857
270,3,Jun 09 2018 14:59:25,2130.881,2100.112,59.951240000000006,-39.51344,3.0554,3.0559,3.2553349999999996,3.255354,34.9086,34.9083,6.1348,7.4182,55.262,-0.9980 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.486
271,4,Jun 09 2018 15:06:01,1823.95,1798.9070000000002,59.949780000000004,-39.514379999999996,3.525,3.5251,3.2857879999999997,3.285794,34.9226,34.9226,6.0195,7.33263,55.262,-0.8850 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.365
272,5,Jun 09 2018 15:13:41,1526.731,1506.8239999999998,59.94823,-39.514359999999996,3.4806,3.4805,3.2660259999999997,3.266053,34.8802,34.8806,6.3531,7.342689999999999,55.262,-0.9346 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.725
273,6,Jun 09 2018 15:21:15,1217.368,1202.376,59.94684,-39.514109999999995,3.5609,3.5608,3.2604580000000003,3.2605020000000002,34.8839,34.8846,6.4425,7.328130000000001,55.262,-0.9062 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.786
274,7,Jun 09 2018 15:27:03,1010.7489999999999,998.793,59.94554,-39.51386,3.6663,3.6662,3.26183,3.2618840000000002,34.894,34.8947,6.4423,7.308839999999999,55.262,-0.8419 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.772
275,8,Jun 09 2018 15:32:10,811.1310000000001,801.919,59.94466,-39.51305,3.7358,3.7354,3.2595400000000003,3.259575,34.8962,34.897,6.4709,7.29638,55.262,-0.8516 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.78
276,9,Jun 09 2018 15:37:43,606.455,599.861,59.94339,-39.51247,4.0464,4.0456,3.2790230000000005,3.279029,34.9051,34.9061,6.357,7.241219999999999,55.262,-0.9975 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.659
277,10,Jun 09 2018 15:43:28,405.189,400.977,59.94209,-39.51185,4.5523,4.5517,3.316192,3.316225,34.9139,34.915,6.2913,7.1532100000000005,55.262,-0.9953 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.597
278,11,Jun 09 2018 15:47:08,306.836,303.719,59.941219999999994,-39.512170000000005,4.6322,4.6324,3.316934,3.317051,34.8904,34.8915,6.2436,7.140680000000001,55.262,-0.8905 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.526
279,12,Jun 09 2018 15:50:35,203.84599999999998,201.825,59.94025,-39.51272,4.7702,4.7707,3.324114,3.324265,34.8837,34.8849,6.3075,7.11753,55.262,-0.9729 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.596
280,13,Jun 09 2018 15:50:52,203.203,201.18900000000002,59.940180000000005,-39.51275,4.769,4.7683,3.323947,3.3239870000000002,34.8832,34.8845,6.3091,7.1177399999999995,55.262,-0.9625 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
281,14,Jun 09 2018 15:53:07,176.58900000000003,174.85,59.9396,-39.51298,4.8257,4.8253,3.328355,3.3284230000000004,34.8892,34.8904,6.3135,7.10785,55.262,-0.9945 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
282,15,Jun 09 2018 15:55:19,151.844,150.358,59.93911,-39.51308,5.0695,5.0698,3.351008,3.351144,34.9097,34.9109,6.3488,7.065810000000001,55.262,-0.8913 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,6.649
283,16,Jun 09 2018 15:55:33,151.418,149.936,59.93906,-39.5131,5.0708,5.0706,3.351116,3.351198,34.9098,34.911,6.3468,7.065589999999999,55.262,-0.8604 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
284,17,Jun 09 2018 15:58:05,101.40299999999999,100.42299999999999,59.938340000000004,-39.51356,5.3186,5.3182,3.371782,3.3718510000000004,34.9157,34.9169,6.5722,7.0240100000000005,55.262,-0.8817 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
285,18,Jun 09 2018 15:58:12,101.855,100.87,59.938309999999994,-39.51358,5.3191,5.3191,3.371843,3.3719370000000004,34.9156,34.9167,6.5709,7.02393,55.262,-0.8938 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
286,19,Jun 09 2018 16:01:05,51.07,50.583,59.937580000000004,-39.513659999999994,5.6348,5.6347,3.3964879999999997,3.396603,34.8962,34.8976,6.7802,6.97284,55.262,-0.9429 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
287,20,Jun 09 2018 16:01:13,51.51,51.018,59.937540000000006,-39.51367,5.6351,5.6348,3.396469,3.3966279999999998,34.8955,34.8976,6.769,6.97283,55.262,-0.9426 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
288,21,Jun 09 2018 16:03:22,20.52,20.325,59.93702,-39.51352,5.7917,5.7913,3.410053,3.410111,34.9041,34.9052,6.9568,6.94689,55.262,-0.6736 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
289,22,Jun 09 2018 16:03:31,20.749000000000002,20.553,59.937,-39.513490000000004,5.7943,5.7939,3.4102919999999997,3.410372,34.904,34.9053,6.9576,6.946460000000001,55.262,-0.6659 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
290,23,Jun 09 2018 16:05:03,10.245999999999999,10.15,59.9367,-39.51314,5.9275,5.9271,3.4195620000000004,3.4196089999999995,34.877,34.8779,7.2143,6.926130000000001,55.262,-1.0193 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
291,24,Jun 09 2018 16:06:11,5.295,5.245,59.93651,-39.51285,5.9276,5.9274,3.4194120000000003,3.4195029999999997,34.8777,34.879,7.2106,6.926069999999999,55.262,-0.9754 (avg),D:\Data\ar30-03006.hex,59 57.97 N,039 30.98 W,ar30-03,2018-06-09T13:38:40Z,006,-9999999,-9999999
