,.CAL FILES,.XML FILES,.QCT FILES
CGINS-CTDBPE-50004,"['CTDBP-E_SBE_16PlusV2_SN_16-50004_Calibration_Files_2017-07-24.zip', 'CTDBP-E_SBE_16PlusV2_SN_16-50004_Calibration_Files_2014-03-10.zip']",(),()
CGINS-CTDBPE-50067,"['CTDBP-E_SBE_16PlusV2_SN_16-50067_Calibration_Files_2014-09-28.zip', 'CTDBP-E_SBE_16PlusV2_SN_16-50067_Calibration_Files_2017-03-22.zip']",(),()
CGINS-CTDBPE-50111,['CTDBP-E_SBE_16PlusV2_SN_16-50111_Calibration_Files_2017-12-02.zip'],(),()
