,.CAL FILES,.XML FILES,.QCT FILES
CGINS-CTDBPF-50001,['CTDBP-F_SBE_16PlusV2_SN_16-50001_Calibration_Files_2017-09-29.zip'],['CTDBP-F_SBE_16PlusV2_SN_16-50001_Calibration_Files.zip'],[]
CGINS-CTDBPF-50060,['CTDBP-F_SBE_16PlusV2_SN_16-50060_Calibration_Files_2016-05-02.zip'],[],[]
CGINS-CTDBPF-50061,['CTDBP-F_SBE_16plusV2_SN_16-50061_Calibration_Files_2016-10-21.zip'],[],[]
CGINS-CTDBPF-50062,[],[],[]
CGINS-CTDBPF-50065,['CTDBP-F_SBE_16plusV2_SN_16-50065_Calibration_File_2015-10-28.xmlcon'],['CTDBP-F_SBE_16PlusV2_SN_16-50065_Calibration_Files_2015-12-08.zip'],[]
CGINS-CTDBPF-50116,"['CTDBP-F_SBE_16PlusV2_SN_16-50116_Calibration_Files_2015-05-18.pdf', 'CTDBP-F_SBE_16PlusV2_SN_16-50116_Calibration_Files_2017-03-12.zip']",['CTDBP-F_SBE_16PlusV2_SN_16-50116_Calibration_Files_2015-05-18.pdf'],['3305-00102-00060']
CGINS-CTDBPF-50142,"['CTDBP-F_SBE_16PlusV2_SN_16-50142_Calibration_Files_2015-07-01.zip', 'CTDBP-F_SBE_16PlusV2_SN_16-50142_Calibration_Files_2017-03-12.zip']",[],['3305-00102-00061']
CGINS-CTDBPF-50143,"['CTDBP-F_SBE_16PlusV2_SN_16-50143_Calibration_Files_2015-07-01.zip', 'CTDBP-F_SBE_16PlusV2_SN_16-50143_Calibration_Files_2018-05-02.zip']",[],['3305-00102-00062']
