,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Start Time,Cast #,Bottle Salinity [psu],Bottle Oxy [mL/L],Bottle Nitrate + Nitrite [µmol/L],Bottle Ammonium [µmol/L],Bottle Phosphate [µmol/L],Bottle Silicate [µmol/L],Bottle Nitrite [µmol/L],Bottle Nitrate [µmol/L]
79,11,Aug 07 2017 18:06:13,65.86399999999999,65.234,59.7162,-39.33818,5.1313,5.1649,3.355153,3.357995,34.9385,34.9361,5.4569,7.054119999999999,0.1466,96.4011 (avg),D:\Data\AR21_010.hex,59 42.97 N,039 20.29 W,2017-08-07T16:14:21Z,010,35.0237,6.682,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
80,12,Aug 07 2017 18:07:52,36.246,35.902,59.71621999999999,-39.33818,6.2518,6.2414,3.455019,3.453643,34.9295,34.9246,5.586,6.87166,0.2231,94.5747 (avg),D:\Data\AR21_010.hex,59 42.97 N,039 20.29 W,2017-08-07T16:14:21Z,010,34.9777,6.843,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
81,1,Aug 08 2017 16:45:00,2694.099,2651.756,59.7696,-39.86104,1.6383,1.638,3.151352,3.151159,34.8896,34.8876,5.5188,7.68613,0.1408,96.5396 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.9281,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
82,2,Aug 08 2017 16:57:52,2030.655,2001.832,59.769580000000005,-39.86104,3.0931,3.0948,3.256316,3.256259,34.9285,34.926,5.0712,7.41032,0.1265,96.8852 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.8731,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
83,3,Aug 08 2017 17:02:18,1832.684,1807.51,59.7696,-39.86104,3.2668,3.2686,3.2637009999999997,3.263656,34.9285,34.9261,5.069,7.37878,0.1273,96.8675 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.8958,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
84,4,Aug 08 2017 17:08:42,1527.886,1507.9820000000002,59.7696,-39.86104,3.5608,3.5625,3.276953,3.276885,34.9247,34.9221,5.0784,7.326110000000001,0.1293,96.8187 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.8954,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
85,5,Aug 08 2017 17:24:47,762.3789999999999,753.818,59.769580000000005,-39.861059999999995,3.4064,3.4079,3.22585,3.2257580000000003,34.8695,34.8668,5.6132,7.35655,0.1317,96.7625 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.9111,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
86,6,Aug 08 2017 17:32:38,357.91900000000004,354.244,59.769580000000005,-39.86105,3.738,3.7394,3.2401470000000003,3.240008,34.9028,34.8997,5.5459,7.295660000000001,0.1329,96.7318 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.9291,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
87,7,Aug 08 2017 17:36:41,186.69299999999998,184.85299999999998,59.76959,-39.86104,4.1454,4.1468,3.270206,3.270064,34.9193,34.9162,5.4571,7.22324,0.1365,96.6441 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.9704,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
88,8,Aug 08 2017 17:38:50,136.24200000000002,134.916,59.769580000000005,-39.86104,4.3132,4.3135,3.28301,3.2828230000000005,34.92,34.9174,5.4631,7.1940800000000005,0.1397,96.5677 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.9531,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
89,9,Aug 08 2017 17:40:36,96.20700000000001,95.279,59.769580000000005,-39.86104,4.4758,4.476,3.2948980000000003,3.294636,34.9095,34.9062,5.4469,7.1665600000000005,0.1405,96.5484 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.8012,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
90,10,Aug 08 2017 17:42:23,65.899,65.26899999999999,59.7696,-39.86104,4.8529,4.8312,3.32778,3.3253489999999997,34.9129,34.9074,5.4726,7.102119999999999,0.1581,96.1244 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.7959,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
91,11,Aug 08 2017 17:44:00,35.87,35.529,59.7696,-39.86104,7.1207,7.1176,3.5276919999999996,3.5268949999999997,34.851,34.8455,5.7009,6.73906,0.2495,93.9516 (avg),D:\Data\AR21_011.hex,59 46.18 N,039 51.66 W,2017-08-08T15:55:08Z,011,34.7963,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
92,1,Aug 09 2017 13:22:30,1013.023,1001.041,59.85358000000001,-39.12815,3.3917,3.3937,3.2352830000000004,3.235214,34.8674,34.8645,5.5406,7.3593,0.1591,96.1004 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8684,6.849,5.59415551414535,1.519,0.520621313409359,3.52326362687231,<0.04,5.55415551414535
93,2,Aug 09 2017 13:22:38,1012.9630000000001,1000.9830000000001,59.85358000000001,-39.12816,3.3913,3.3931,3.235246,3.2351490000000003,34.8674,34.8644,5.5428,7.359369999999999,0.1575,96.1382 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8708,6.869,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
94,3,Aug 09 2017 13:27:22,810.035,800.8430000000001,59.85358000000001,-39.12814,3.5219,3.5237,3.239404,3.239302,34.8839,34.8807,5.5284,7.33511,0.1542,96.2168 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8853,6.874,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
95,4,Aug 09 2017 13:27:30,810.288,801.0930000000001,59.85358000000001,-39.12814,3.5211,3.5229,3.239341,3.239244,34.8838,34.8807,5.5278,7.33525,0.1541,96.2190 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8857,6.818,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
96,5,Aug 09 2017 13:35:58,405.967,401.75,59.85358000000001,-39.12814,3.7697,3.7712,3.245311,3.245172,34.9049,34.9016,5.5267,7.28995,0.1525,96.2596 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.9054,6.779,7.29029307131967,1.25,0.628674793550924,4.28073889537829,0.0453333333333333,7.24495973798634
97,6,Aug 09 2017 13:36:06,405.88599999999997,401.66900000000004,59.85358000000001,-39.12814,3.7706,3.772,3.245392,3.2452520000000002,34.9049,34.9017,5.527,7.28978,0.1519,96.2739 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.9206,6.799,7.54616296798238,1.3875,0.570227683837987,4.15660591901922,<0.04,7.50616296798238
98,7,Aug 09 2017 13:44:07,54.053000000000004,53.536,59.85358000000001,-39.12814,6.1175,6.08,3.4400190000000004,3.4363660000000005,34.8896,34.8871,5.5969,6.89496,0.1933,95.2834 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8968,6.826,15.8789259698458,1.004,0.831029492725128,6.87960801744901,0.151333333333333,15.7275926365125
99,8,Aug 09 2017 13:44:15,53.282,52.773999999999994,59.85358000000001,-39.12814,6.0092,5.9721,3.430706,3.4273870000000004,34.8965,34.8972,5.5652,6.91206,0.2008,95.1049 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.92,6.818,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
100,9,Aug 09 2017 13:45:47,33.099000000000004,32.785,59.85358000000001,-39.12814,7.2738,7.2486,3.539824,3.537462,34.8309,34.8305,5.6561,6.716480000000001,0.2503,93.9348 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8186,6.883,4.12490259190242,1.659,0.312372788045615,1.20541043426126,0.0723333333333333,4.05256925856909
101,10,Aug 09 2017 13:45:54,33.308,32.992,59.85358000000001,-39.12814,7.3477,7.2948,3.5464879999999996,3.541621,34.8292,34.8293,5.6594,6.705260000000001,0.2507,93.9254 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.8257,6.889,2.85554802642724,1.712,0.277009830908376,0.835652632340628,<0.04,2.81554802642724
102,11,Aug 09 2017 13:47:50,5.928999999999999,5.872999999999999,59.85358000000001,-39.12814,8.7644,8.7612,3.6668580000000004,3.6664449999999995,34.7259,34.7247,5.4974,6.499630000000001,0.275,93.3555 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.741,6.715,2.81356937150601,1.946,0.24262917813606,0.627531812402444,<0.04,2.77356937150601
103,12,Aug 09 2017 13:47:57,5.632999999999999,5.579,59.85358000000001,-39.12814,8.7511,8.7555,3.666036,3.666116,34.7305,34.727,5.5008,6.50136,0.277,93.3103 (avg),D:\Data\AR21_012.hex,59 51.21 N,039 07.69 W,2017-08-09T13:01:16Z,012,34.7392,6.721,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
