       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2541.000     2.9097     2.9112   3.260352   3.260363     1.7662    -0.3721     0.3559    34.9298 7.7802e+02   2501.779    34.9299    34.9285     5.9830    1504.19    27.8557    27.8545
   2540.000     2.9103     2.9116   3.260363   3.260369     1.7664    -0.3742     0.3528    34.9298 7.9032e+02   2500.800    34.9298    34.9286     5.9832    1504.18    27.8556    27.8545
   2539.000     2.9103     2.9116   3.260325   3.260325     1.7664    -0.3872     0.3518    34.9299 7.9594e+02   2499.821    34.9298    34.9285     5.9820    1504.16    27.8556    27.8545
   2538.000     2.9103     2.9115   3.260294   3.260280     1.7668    -0.3903     0.3444    34.9299 7.9950e+02   2498.843    34.9299    34.9286     5.9832    1504.15    27.8557    27.8545
   2537.000     2.9103     2.9113   3.260240   3.260235     1.7668    -0.3774     0.3462    34.9298 8.0012e+02   2497.864    34.9298    34.9286     5.9825    1504.13    27.8556    27.8546
   2536.000     2.9101     2.9111   3.260217   3.260202     1.7669    -0.3705     0.3515    34.9302 7.9547e+02   2496.885    34.9302    34.9290     5.9823    1504.11    27.8559    27.8548
   2535.000     2.9104     2.9116   3.260173   3.260167     1.7675    -0.3885     0.3503    34.9298 7.9774e+02   2495.906    34.9298    34.9284     5.9842    1504.09    27.8555    27.8543
   2534.000     2.9104     2.9116   3.260134   3.260145     1.7679    -0.3693     0.3544    34.9298 7.9963e+02   2494.927    34.9298    34.9287     5.9856    1504.08    27.8556    27.8545
   2533.000     2.9105     2.9118   3.260114   3.260126     1.7680    -0.3665     0.3557    34.9299 7.9971e+02   2493.948    34.9299    34.9287     5.9853    1504.06    27.8556    27.8546
   2532.000     2.9124     2.9132   3.260260   3.260217     1.7680    -0.3883     0.3506    34.9299 7.9591e+02   2492.970    34.9301    34.9288     5.9841    1504.05    27.8556    27.8545
   2531.000     2.9105     2.9114   3.260034   3.260024     1.7682    -0.3697     0.3512    34.9300 7.7056e+02   2491.991    34.9299    34.9288     5.9843    1504.03    27.8556    27.8546
   2530.000     2.9110     2.9125   3.260043   3.260048     1.7682    -0.3765     0.3531    34.9297 7.7032e+02   2491.012    34.9299    34.9284     5.9835    1504.01    27.8555    27.8542
   2529.000     2.9130     2.9159   3.260221   3.260325     1.7682    -0.3874     0.3505    34.9299 7.7668e+02   2490.033    34.9304    34.9286     5.9823    1504.01    27.8557    27.8540
   2528.000     2.9170     2.9196   3.260548   3.260620     1.7683    -0.3877     0.3495    34.9300 7.8279e+02   2489.054    34.9306    34.9287     5.9816    1504.01    27.8555    27.8538
   2527.000     2.9204     2.9231   3.260802   3.260911     1.7690    -0.3889     0.3518    34.9298 7.8831e+02   2488.076    34.9304    34.9289     5.9835    1504.00    27.8551    27.8536
   2526.000     2.9232     2.9263   3.260988   3.261156     1.7690    -0.3873     0.3542    34.9299 7.9312e+02   2487.097    34.9302    34.9289     5.9820    1504.00    27.8547    27.8534
   2525.000     2.9238     2.9277   3.260990   3.261234     1.7694    -0.3857     0.3501    34.9297 7.9551e+02   2486.118    34.9300    34.9288     5.9834    1503.98    27.8545    27.8532
   2524.000     2.9255     2.9305   3.261111   3.261455     1.7695    -0.3682     0.3505    34.9295 7.9350e+02   2485.139    34.9302    34.9290     5.9826    1503.97    27.8544    27.8531
   2523.000     2.9291     2.9318   3.261385   3.261532     1.7697    -0.3649     0.3551    34.9296 7.8654e+02   2484.160    34.9301    34.9290     5.9820    1503.97    27.8541    27.8529
   2522.000     2.9288     2.9318   3.261320   3.261485     1.7702    -0.3748     0.3478    34.9299 7.7482e+02   2483.182    34.9301    34.9289     5.9836    1503.95    27.8540    27.8528
   2521.000     2.9295     2.9331   3.261386   3.261574     1.7706    -0.3920     0.3486    34.9300 7.6945e+02   2482.203    34.9306    34.9291     5.9847    1503.94    27.8544    27.8529
   2520.000     2.9331     2.9345   3.261632   3.261646     1.7707    -0.3901     0.3501    34.9299 7.7548e+02   2481.224    34.9302    34.9289     5.9841    1503.94    27.8538    27.8526
   2519.000     2.9336     2.9351   3.261651   3.261678     1.7707    -0.3845     0.3498    34.9300 7.8232e+02   2480.245    34.9304    34.9291     5.9832    1503.92    27.8539    27.8527
   2518.000     2.9344     2.9359   3.261685   3.261720     1.7708    -0.3679     0.3495    34.9300 7.8724e+02   2479.266    34.9304    34.9292     5.9823    1503.91    27.8537    27.8527
   2517.000     2.9346     2.9362   3.261674   3.261703     1.7710    -0.3793     0.3521    34.9302 7.9081e+02   2478.287    34.9305    34.9292     5.9827    1503.89    27.8539    27.8527
   2516.000     2.9350     2.9364   3.261667   3.261686     1.7709    -0.3777     0.3537    34.9302 7.9111e+02   2477.308    34.9305    34.9292     5.9812    1503.88    27.8538    27.8526
   2515.000     2.9350     2.9358   3.261619   3.261598     1.7708    -0.3740     0.3490    34.9302 7.7982e+02   2476.330    34.9304    34.9292     5.9799    1503.86    27.8537    27.8527
   2514.000     2.9352     2.9363   3.261602   3.261580     1.7708    -0.3906     0.3518    34.9302 7.7569e+02   2475.351    34.9304    34.9290     5.9792    1503.85    27.8537    27.8524
   2513.000     2.9366     2.9380   3.261688   3.261687     1.7708    -0.3925     0.3553    34.9300 7.7823e+02   2474.372    34.9304    34.9289     5.9782    1503.83    27.8536    27.8522
   2512.000     2.9382     2.9403   3.261814   3.261861     1.7709    -0.3734     0.3548    34.9302 7.8152e+02   2473.393    34.9307    34.9290     5.9776    1503.83    27.8536    27.8521
