       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2542.000     1.8816     1.8821   3.166275   3.166273     1.8249    -0.3764     0.3774    34.8842 2.0478e+02   2502.896    34.8842    34.8837     6.4531    1499.71    27.9024    27.9020
   2541.000     1.8816     1.8824   3.166244   3.166273     1.8249    -0.3660     0.3770    34.8843 2.0497e+02   2501.917    34.8843    34.8838     6.4522    1499.69    27.9025    27.9020
   2540.000     1.8814     1.8823   3.166201   3.166229     1.8249    -0.3703     0.3757    34.8844 2.0469e+02   2500.939    34.8844    34.8838     6.4515    1499.68    27.9026    27.9021
   2539.000     1.8816     1.8824   3.166151   3.166194     1.8249    -0.3664     0.3783    34.8842 2.0663e+02   2499.960    34.8841    34.8837     6.4508    1499.66    27.9024    27.9020
   2538.000     1.8816     1.8823   3.166124   3.166145     1.8249    -0.3638     0.3775    34.8843 2.0675e+02   2498.981    34.8842    34.8837     6.4500    1499.64    27.9024    27.9020
   2537.000     1.8814     1.8822   3.166076   3.166111     1.8250    -0.3640     0.3760    34.8843 2.0639e+02   2498.002    34.8843    34.8839     6.4495    1499.63    27.9025    27.9021
   2536.000     1.8813     1.8820   3.166034   3.166059     1.8251    -0.3641     0.3822    34.8845 2.0479e+02   2497.023    34.8845    34.8840     6.4489    1499.61    27.9026    27.9022
   2535.000     1.8812     1.8820   3.165980   3.166004     1.8256    -0.3787     0.3788    34.8843 2.0250e+02   2496.044    34.8843    34.8837     6.4509    1499.59    27.9025    27.9020
   2534.000     1.8813     1.8821   3.165935   3.165972     1.8258    -0.3694     0.3885    34.8842 2.0236e+02   2495.066    34.8841    34.8837     6.4508    1499.57    27.9023    27.9020
   2533.000     1.8815     1.8823   3.165922   3.165956     1.8259    -0.3710     0.3836    34.8842 2.0397e+02   2494.087    34.8843    34.8838     6.4504    1499.56    27.9024    27.9020
   2532.000     1.8814     1.8822   3.165886   3.165917     1.8262    -0.3878     0.3732    34.8844 2.0549e+02   2493.108    34.8843    34.8839     6.4513    1499.54    27.9025    27.9021
   2531.000     1.8813     1.8820   3.165823   3.165849     1.8262    -0.3631     0.3781    34.8843 2.0682e+02   2492.129    34.8842    34.8838     6.4505    1499.52    27.9024    27.9020
   2530.000     1.8811     1.8818   3.165764   3.165796     1.8263    -0.3619     0.3775    34.8843 2.0694e+02   2491.150    34.8842    34.8838     6.4498    1499.51    27.9024    27.9020
   2529.000     1.8811     1.8817   3.165735   3.165750     1.8263    -0.3696     0.3745    34.8843 2.0705e+02   2490.171    34.8843    34.8838     6.4490    1499.49    27.9025    27.9020
   2528.000     1.8810     1.8817   3.165684   3.165702     1.8263    -0.3794     0.3729    34.8843 2.0635e+02   2489.193    34.8842    34.8837     6.4482    1499.47    27.9024    27.9019
   2527.000     1.8811     1.8818   3.165655   3.165674     1.8271    -0.3778     0.3757    34.8843 2.0441e+02   2488.214    34.8843    34.8838     6.4512    1499.45    27.9025    27.9020
   2526.000     1.8810     1.8818   3.165613   3.165639     1.8272    -0.3655     0.3826    34.8844 2.0450e+02   2487.235    34.8843    34.8838     6.4510    1499.44    27.9025    27.9020
   2525.000     1.8812     1.8819   3.165583   3.165609     1.8275    -0.3660     0.3743    34.8843 2.0459e+02   2486.256    34.8842    34.8838     6.4516    1499.42    27.9024    27.9020
   2524.000     1.8813     1.8821   3.165557   3.165589     1.8276    -0.3624     0.3840    34.8844 2.0450e+02   2485.277    34.8843    34.8839     6.4510    1499.40    27.9024    27.9020
   2523.000     1.8812     1.8819   3.165513   3.165543     1.8276    -0.3674     0.3785    34.8844 2.0459e+02   2484.298    34.8843    34.8839     6.4502    1499.39    27.9025    27.9020
   2522.000     1.8809     1.8817   3.165444   3.165480     1.8279    -0.3841     0.3775    34.8843 2.0458e+02   2483.319    34.8842    34.8838     6.4509    1499.37    27.9024    27.9020
   2521.000     1.8804     1.8812   3.165356   3.165395     1.8285    -0.3888     0.3775    34.8843 2.0500e+02   2482.340    34.8842    34.8839     6.4534    1499.35    27.9024    27.9020
   2520.000     1.8801     1.8808   3.165298   3.165319     1.8288    -0.3696     0.3775    34.8843 2.0491e+02   2481.362    34.8843    34.8838     6.4541    1499.33    27.9025    27.9020
   2519.000     1.8801     1.8809   3.165256   3.165287     1.8289    -0.3681     0.3836    34.8844 2.0566e+02   2480.383    34.8843    34.8837     6.4533    1499.31    27.9025    27.9020
   2518.000     1.8800     1.8808   3.165220   3.165240     1.8289    -0.3827     0.3775    34.8844 2.0544e+02   2479.404    34.8844    34.8837     6.4529    1499.30    27.9025    27.9020
   2517.000     1.8798     1.8805   3.165159   3.165177     1.8294    -0.3901     0.3775    34.8844 2.0503e+02   2478.425    34.8843    34.8838     6.4544    1499.28    27.9025    27.9020
   2516.000     1.8797     1.8804   3.165118   3.165138     1.8291    -0.3891     0.3822    34.8844 2.0486e+02   2477.446    34.8844    34.8839     6.4522    1499.26    27.9025    27.9021
   2515.000     1.8800     1.8806   3.165093   3.165108     1.8295    -0.3639     0.3749    34.8843 2.0442e+02   2476.467    34.8842    34.8838     6.4532    1499.25    27.9024    27.9020
   2514.000     1.8800     1.8807   3.165045   3.165073     1.8301    -0.3611     0.3767    34.8842 2.0424e+02   2475.488    34.8842    34.8838     6.4551    1499.23    27.9024    27.9020
   2513.000     1.8799     1.8808   3.165008   3.165038     1.8301    -0.3632     0.3830    34.8843 2.0279e+02   2474.509    34.8842    34.8837     6.4544    1499.21    27.9024    27.9019
   2512.000     1.8799     1.8808   3.164967   3.164995     1.8301    -0.3640     0.3759    34.8843 2.0206e+02   2473.530    34.8843    34.8837     6.4533    1499.20    27.9024    27.9019
   2511.000     1.8801     1.8809   3.164944   3.164986     1.8302    -0.3641     0.3764    34.8843 2.0225e+02   2472.551    34.8843    34.8839     6.4530    1499.18    27.9024    27.9020
   2510.000     1.8801     1.8809   3.164907   3.164944     1.8304    -0.3804     0.3775    34.8843 2.0234e+02   2471.572    34.8842    34.8838     6.4532    1499.16    27.9023    27.9020
   2509.000     1.8805     1.8813   3.164903   3.164928     1.8304    -0.3672     0.3744    34.8842 2.0286e+02   2470.593    34.8843    34.8837     6.4524    1499.15    27.9023    27.9019
   2508.000     1.8812     1.8819   3.164933   3.164955     1.8307    -0.3756     0.3795    34.8843 2.0406e+02   2469.614    34.8844    34.8839     6.4527    1499.13    27.9024    27.9019
   2507.000     1.8827     1.8835   3.165038   3.165053     1.8309    -0.3864     0.3844    34.8844 2.0438e+02   2468.635    34.8845    34.8838     6.4527    1499.12    27.9024    27.9017
   2506.000     1.8842     1.8850   3.165130   3.165132     1.8313    -0.3896     0.3830    34.8843 2.0489e+02   2467.656    34.8845    34.8837     6.4535    1499.11    27.9023    27.9016
   2505.000     1.8847     1.8855   3.165137   3.165161     1.8313    -0.3695     0.3796    34.8844 2.0475e+02   2466.677    34.8846    34.8839     6.4527    1499.10    27.9022    27.9017
   2504.000     1.8861     1.8874   3.165240   3.165284     1.8317    -0.3614     0.3776    34.8845 2.0425e+02   2465.698    34.8848    34.8840     6.4534    1499.09    27.9023    27.9016
   2503.000     1.8849     1.8863   3.165059   3.165152     1.8318    -0.3779     0.3775    34.8844 1.9882e+02   2464.719    34.8843    34.8840     6.4535    1499.06    27.9020    27.9017
   2502.000     1.8874     1.8904   3.165237   3.165444     1.8321    -0.3653     0.3749    34.8841 2.0018e+02   2463.740    34.8843    34.8836     6.4533    1499.06    27.9018    27.9010
   2501.000     1.8881     1.8918   3.165306   3.165530     1.8320    -0.3653     0.3725    34.8843 2.0126e+02   2462.761    34.8848    34.8837     6.4519    1499.05    27.9022    27.9010
   2500.000     1.8911     1.8931   3.165515   3.165620     1.8325    -0.4013     0.3817    34.8842 2.0173e+02   2461.782    34.8847    34.8838     6.4528    1499.04    27.9018    27.9010
   2499.000     1.8927     1.8936   3.165601   3.165635     1.8324    -0.4131     0.3856    34.8842 2.0242e+02   2460.803    34.8845    34.8840     6.4511    1499.03    27.9015    27.9011
   2498.000     1.8933     1.8942   3.165603   3.165644     1.8327    -0.3939     0.3794    34.8841 2.0242e+02   2459.825    34.8843    34.8839     6.4517    1499.02    27.9014    27.9010
   2497.000     1.8934     1.8944   3.165579   3.165635     1.8329    -0.3867     0.3776    34.8842 2.0280e+02   2458.846    34.8844    34.8841     6.4517    1499.00    27.9014    27.9011
   2496.000     1.8939     1.8943   3.165581   3.165589     1.8327    -0.3641     0.3775    34.8842 2.0260e+02   2457.867    34.8844    34.8841     6.4499    1498.99    27.9014    27.9011
   2495.000     1.8935     1.8942   3.165523   3.165544     1.8330    -0.3708     0.3754    34.8845 2.0040e+02   2456.887    34.8846    34.8841     6.4508    1498.97    27.9015    27.9011
   2494.000     1.8937     1.8948   3.165460   3.165525     1.8331    -0.3655     0.3824    34.8840 1.9792e+02   2455.908    34.8841    34.8837     6.4505    1498.95    27.9011    27.9007
   2493.000     1.8941     1.8952   3.165473   3.165536     1.8335    -0.3628     0.3832    34.8842 1.9870e+02   2454.929    34.8844    34.8839     6.4511    1498.94    27.9013    27.9008
   2492.000     1.8947     1.8962   3.165501   3.165582     1.8338    -0.3869     0.3775    34.8843 1.9960e+02   2453.950    34.8845    34.8839     6.4516    1498.92    27.9013    27.9008
   2491.000     1.8957     1.8969   3.165547   3.165601     1.8339    -0.3873     0.3775    34.8842 2.0001e+02   2452.971    34.8845    34.8838     6.4512    1498.91    27.9013    27.9006
   2490.000     1.8966     1.8976   3.165588   3.165632     1.8341    -0.3597     0.3775    34.8842 2.0056e+02   2451.992    34.8845    34.8839     6.4512    1498.90    27.9012    27.9007
