       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      4.000     5.1700     5.1699   3.349204   3.349418     2.6556     0.1965     0.4726    34.8620 7.7578e+02      3.962    34.8620    34.8646     6.9037    1471.31    27.5460    27.5480
      5.000     5.1651     5.1660   3.348768   3.349046     2.6543     0.0693     0.4766    34.8617 7.7392e+02      4.953    34.8616    34.8639     6.9014    1471.31    27.5463    27.5480
      6.000     5.1652     5.1657   3.348837   3.349082     2.6545     0.1928     0.4680    34.8617 7.8228e+02      5.943    34.8618    34.8641     6.9027    1471.33    27.5464    27.5481
      7.000     5.1704     5.1698   3.349334   3.349510     2.6551     0.2488     0.4852    34.8616 7.9309e+02      6.934    34.8616    34.8642     6.9047    1471.36    27.5456    27.5478
      8.000     5.1673     5.1662   3.349098   3.349215     2.6549     0.2182     0.4709    34.8616 7.8277e+02      7.925    34.8615    34.8641     6.9054    1471.37    27.5459    27.5481
      9.000     5.1586     5.1597   3.348309   3.348656     2.6535     0.2554     0.4881    34.8617 7.8300e+02      8.915    34.8609    34.8638     6.9033    1471.35    27.5465    27.5486
     10.000     5.1453     5.1444   3.347169   3.347310     2.6524     0.3542     0.4988    34.8620 7.8869e+02      9.906    34.8611    34.8637     6.9030    1471.31    27.5483    27.5504
     11.000     5.1436     5.1436   3.347111   3.347294     2.6507     0.3995     0.4826    34.8620 7.8628e+02     10.896    34.8617    34.8638     6.8990    1471.32    27.5489    27.5506
     12.000     5.1485     5.1473   3.347593   3.347677     2.6510     0.4282     0.4818    34.8617 7.8333e+02     11.887    34.8617    34.8639     6.8999    1471.36    27.5483    27.5502
     13.000     5.1505     5.1489   3.347736   3.347852     2.6507     0.4693     0.4725    34.8614 7.9236e+02     12.877    34.8607    34.8637     6.8994    1471.38    27.5473    27.5499
     14.000     5.1320     5.1316   3.346145   3.346331     2.6495     0.4765     0.4782    34.8619 7.9217e+02     13.868    34.8611    34.8636     6.8999    1471.32    27.5498    27.5519
     15.000     5.1316     5.1317   3.346169   3.346384     2.6489     0.5731     0.4800    34.8618 7.8899e+02     14.858    34.8613    34.8636     6.8989    1471.34    27.5500    27.5519
     16.000     5.1361     5.1335   3.346630   3.346604     2.6489     0.6161     0.4801    34.8616 7.8708e+02     15.849    34.8614    34.8638     6.8990    1471.37    27.5496    27.5518
     17.000     5.1306     5.1305   3.346185   3.346364     2.6483     0.6507     0.4769    34.8618 7.8652e+02     16.839    34.8614    34.8636     6.8989    1471.37    27.5503    27.5520
     18.000     5.1299     5.1299   3.346153   3.346351     2.6484     0.6782     0.4776    34.8616 7.8881e+02     17.830    34.8613    34.8635     6.9001    1471.38    27.5503    27.5521
     19.000     5.1292     5.1298   3.346140   3.346383     2.6474     0.6734     0.4775    34.8615 7.9409e+02     18.820    34.8613    34.8635     6.8979    1471.39    27.5504    27.5520
     20.000     5.1288     5.1287   3.346164   3.346349     2.6472     0.6692     0.4752    34.8616 7.9364e+02     19.811    34.8614    34.8637     6.8983    1471.41    27.5505    27.5523
     21.000     5.1286     5.1286   3.346187   3.346374     2.6471     0.6875     0.4752    34.8616 7.8868e+02     20.801    34.8614    34.8636     6.8991    1471.42    27.5506    27.5523
     22.000     5.1276     5.1277   3.346141   3.346341     2.6464     0.6987     0.4791    34.8615 7.8872e+02     21.792    34.8614    34.8637     6.8979    1471.44    27.5506    27.5524
     23.000     5.1266     5.1272   3.346105   3.346336     2.6461     0.7006     0.4828    34.8615 7.9250e+02     22.782    34.8615    34.8636     6.8978    1471.45    27.5508    27.5524
     24.000     5.1279     5.1273   3.346239   3.346387     2.6465     0.6894     0.4830    34.8615 7.9795e+02     23.773    34.8611    34.8635     6.8999    1471.47    27.5504    27.5524
     25.000     5.1241     5.1240   3.345969   3.346158     2.6453     0.6962     0.4786    34.8617 7.9711e+02     24.763    34.8615    34.8637     6.8976    1471.47    27.5512    27.5530
     26.000     5.1231     5.1231   3.345918   3.346103     2.6437     0.6625     0.4849    34.8616 7.9210e+02     25.754    34.8614    34.8635     6.8935    1471.48    27.5513    27.5529
     27.000     5.1245     5.1248   3.346090   3.346309     2.6431     0.6694     0.4671    34.8614 7.8981e+02     26.744    34.8613    34.8636     6.8922    1471.50    27.5510    27.5528
     28.000     5.1197     5.1196   3.345735   3.345906     2.6432     0.7123     0.4718    34.8619 7.9889e+02     27.735    34.8617    34.8639     6.8942    1471.50    27.5519    27.5536
     29.000     5.1192     5.1190   3.345705   3.345893     2.6425     0.6134     0.4792    34.8618 7.9863e+02     28.725    34.8614    34.8638     6.8928    1471.52    27.5517    27.5536
