       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    765.000     4.4863     4.4854   3.327940   3.327808     2.1411    -0.3938     0.3652    34.9336 7.6883e+02    756.244    34.9340    34.9334     5.8983    1481.12    27.6880    27.6876
    764.000     4.4875     4.4887   3.328012   3.328064     2.1416    -0.4095     0.3667    34.9336 7.7019e+02    755.257    34.9341    34.9334     5.8990    1481.11    27.6879    27.6872
    763.000     4.4880     4.4882   3.327950   3.327919     2.1421    -0.3771     0.3678    34.9333 7.7646e+02    754.271    34.9333    34.9328     5.9002    1481.10    27.6872    27.6868
    762.000     4.4851     4.4850   3.327523   3.327471     2.1421    -0.3893     0.3678    34.9322 7.8211e+02    753.284    34.9319    34.9314     5.8998    1481.07    27.6864    27.6860
    761.000     4.4836     4.4841   3.327309   3.327310     2.1427    -0.3997     0.3661    34.9316 7.8620e+02    752.297    34.9315    34.9310     5.9014    1481.04    27.6862    27.6858
    760.000     4.4825     4.4828   3.327106   3.327106     2.1437    -0.4137     0.3628    34.9309 7.8898e+02    751.310    34.9308    34.9304     5.9046    1481.02    27.6858    27.6855
    759.000     4.4819     4.4824   3.326994   3.327011     2.1447    -0.3956     0.3673    34.9307 7.9093e+02    750.324    34.9307    34.9303     5.9073    1481.00    27.6857    27.6854
    758.000     4.4816     4.4819   3.326887   3.326894     2.1455    -0.3802     0.3677    34.9303 7.9200e+02    749.337    34.9302    34.9299     5.9095    1480.98    27.6854    27.6851
    757.000     4.4816     4.4821   3.326822   3.326834     2.1465    -0.3744     0.3708    34.9300 7.9324e+02    748.350    34.9300    34.9296     5.9124    1480.97    27.6852    27.6849
    756.000     4.4824     4.4834   3.326856   3.326884     2.1476    -0.3743     0.3702    34.9298 7.9348e+02    747.363    34.9300    34.9293     5.9156    1480.95    27.6851    27.6845
    755.000     4.4855     4.4875   3.327103   3.327223     2.1486    -0.3797     0.3677    34.9297 7.9314e+02    746.376    34.9302    34.9295     5.9180    1480.95    27.6849    27.6842
    754.000     4.4903     4.4923   3.327522   3.327616     2.1495    -0.3939     0.3678    34.9297 7.9327e+02    745.390    34.9306    34.9296     5.9196    1480.95    27.6847    27.6837
    753.000     4.4932     4.4943   3.327695   3.327752     2.1496    -0.4091     0.3678    34.9298 7.9352e+02    744.403    34.9300    34.9296     5.9187    1480.95    27.6839    27.6835
    752.000     4.4916     4.4928   3.327475   3.327542     2.1496    -0.4024     0.3678    34.9296 7.9529e+02    743.416    34.9297    34.9292     5.9182    1480.92    27.6838    27.6833
    751.000     4.4915     4.4919   3.327433   3.327442     2.1508    -0.3842     0.3678    34.9297 7.9440e+02    742.429    34.9298    34.9295     5.9218    1480.91    27.6840    27.6836
    750.000     4.4926     4.4947   3.327466   3.327586     2.1518    -0.3737     0.3678    34.9293 7.8779e+02    741.442    34.9295    34.9288     5.9246    1480.90    27.6836    27.6828
    749.000     4.4931     4.4960   3.327496   3.327684     2.1520    -0.3743     0.3678    34.9293 7.9073e+02    740.456    34.9298    34.9290     5.9243    1480.88    27.6838    27.6828
    748.000     4.4985     4.5026   3.327977   3.328217     2.1529    -0.3922     0.3678    34.9292 7.9530e+02    739.469    34.9303    34.9288     5.9260    1480.89    27.6835    27.6819
    747.000     4.5041     4.5062   3.328431   3.328534     2.1533    -0.3938     0.3678    34.9290 8.0005e+02    738.482    34.9302    34.9292     5.9257    1480.89    27.6828    27.6818
    746.000     4.5084     4.5111   3.328813   3.328949     2.1539    -0.3938     0.3678    34.9291 8.0505e+02    737.495    34.9307    34.9295     5.9266    1480.90    27.6828    27.6815
    745.000     4.5137     4.5153   3.329229   3.329331     2.1543    -0.3938     0.3678    34.9294 8.0993e+02    736.508    34.9305    34.9301     5.9264    1480.90    27.6820    27.6815
    744.000     4.5168     4.5183   3.329513   3.329585     2.1545    -0.3938     0.3678    34.9297 8.1504e+02    735.521    34.9311    34.9303     5.9259    1480.90    27.6821    27.6814
    743.000     4.5197     4.5214   3.329712   3.329835     2.1542    -0.3938     0.3678    34.9300 8.1946e+02    734.535    34.9308    34.9306     5.9235    1480.89    27.6816    27.6812
    742.000     4.5209     4.5229   3.329803   3.329941     2.1536    -0.3938     0.3678    34.9303 8.2316e+02    733.548    34.9312    34.9308     5.9202    1480.88    27.6817    27.6812
    741.000     4.5186     4.5174   3.329516   3.329393     2.1529    -0.3853     0.3683    34.9305 8.2202e+02    732.561    34.9308    34.9306     5.9174    1480.86    27.6817    27.6816
