       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2961.000     1.9049     1.9196   3.160270   3.186666     1.5505    -0.3642     0.3699    34.5847 1.0212e+03   2912.690    34.5905    34.8973     5.4077    1506.55    27.6680    27.9131
   2960.000     1.9154     1.9304   3.162695   3.187582     1.5499    -0.3609     0.3721    34.6048 1.0244e+03   2911.713    34.6095    34.8975     5.4012    1506.60    27.6824    27.9125
   2959.000     1.9228     1.9351   3.163683   3.187977     1.5493    -0.3939     0.3677    34.6105 1.0219e+03   2910.736    34.6141    34.8977     5.3963    1506.62    27.6856    27.9123
   2958.000     1.9287     1.9388   3.163856   3.188268     1.5491    -0.3930     0.3647    34.6082 1.0157e+03   2909.759    34.6105    34.8978     5.3939    1506.62    27.6822    27.9121
   2957.000     1.9337     1.9390   3.162080   3.188273     1.5491    -0.3728     0.3647    34.5832 1.0096e+03   2908.782    34.5839    34.8982     5.3933    1506.59    27.6606    27.9123
   2956.000     1.9200     1.9473   3.159866   3.188928     1.5485    -0.3736     0.3654    34.5716 1.0101e+03   2907.805    34.5719    34.8977     5.3919    1506.50    27.6519    27.9113
   2955.000     1.9148     1.9585   3.159069   3.189880     1.5470    -0.3819     0.3652    34.5669 1.0142e+03   2906.828    34.5680    34.8978     5.3842    1506.46    27.6492    27.9106
   2954.000     1.9394     1.9675   3.159379   3.190658     1.5448    -0.3938     0.3636    34.5438 1.0181e+03   2905.851    34.5463    34.8981     5.3695    1506.52    27.6299    27.9102
   2953.000     1.9607     1.9766   3.160315   3.191433     1.5422    -0.3928     0.3583    34.5319 1.0191e+03   2904.874    34.5356    34.8984     5.3521    1506.58    27.6198    27.9097
   2952.000     1.9721     1.9850   3.162603   3.192130     1.5392    -0.3736     0.3656    34.5471 1.0170e+03   2903.897    34.5519    34.8983     5.3334    1506.63    27.6320    27.9090
   2951.000     1.9788     1.9868   3.164425   3.192269     1.5364    -0.3743     0.3588    34.5638 1.0152e+03   2902.920    34.5676    34.8986     5.3167    1506.67    27.6440    27.9091
   2950.000     1.9819     1.9896   3.166082   3.192461     1.5343    -0.3734     0.3624    34.5806 1.0144e+03   2901.943    34.5849    34.8984     5.3043    1506.69    27.6577    27.9087
   2949.000     1.9853     1.9962   3.168097   3.193004     1.5330    -0.3589     0.3644    34.6035 1.0157e+03   2900.966    34.6063    34.8985     5.2958    1506.71    27.6747    27.9083
   2948.000     1.9927     2.0044   3.167731   3.193679     1.5328    -0.3677     0.3598    34.5931 1.0156e+03   2899.989    34.5945    34.8984     5.2933    1506.71    27.6646    27.9076
   2947.000     1.9990     2.0187   3.166394   3.194912     1.5329    -0.3721     0.3580    34.5716 1.0137e+03   2899.012    34.5719    34.8986     5.2927    1506.69    27.6460    27.9067
   2946.000     2.0121     2.0337   3.165559   3.196220     1.5328    -0.3925     0.3580    34.5463 1.0129e+03   2898.035    34.5484    34.8990     5.2906    1506.70    27.6262    27.9058
   2945.000     2.0264     2.0471   3.168200   3.197369     1.5324    -0.3724     0.3675    34.5596 1.0130e+03   2897.058    34.5660    34.8993     5.2847    1506.77    27.6392    27.9050
   2944.000     2.0409     2.0580   3.172588   3.198327     1.5317    -0.3743     0.3653    34.5976 1.0133e+03   2896.081    34.6044    34.8997     5.2770    1506.87    27.6689    27.9045
   2943.000     2.0532     2.0627   3.176121   3.198714     1.5317    -0.3724     0.3666    34.6298 1.0135e+03   2895.104    34.6349    34.8999     5.2733    1506.94    27.6924    27.9043
   2942.000     2.0617     2.0700   3.177456   3.199335     1.5329    -0.3735     0.3596    34.6401 1.0123e+03   2894.127    34.6427    34.9002     5.2772    1506.97    27.6980    27.9040
   2941.000     2.0702     2.0758   3.177083   3.199808     1.5351    -0.3743     0.3570    34.6277 1.0139e+03   2893.150    34.6296    34.9002     5.2868    1506.98    27.6869    27.9035
   2940.000     2.0766     2.0850   3.177238   3.200563     1.5373    -0.3909     0.3580    34.6219 1.0181e+03   2892.173    34.6251    34.9000     5.2964    1506.98    27.6828    27.9027
   2939.000     2.0806     2.0983   3.180154   3.201707     1.5400    -0.3797     0.3547    34.6499 1.0204e+03   2891.196    34.6568    34.9003     5.3080    1507.02    27.7079    27.9018
   2938.000     2.0937     2.1106   3.184228   3.202791     1.5425    -0.3743     0.3550    34.6864 1.0204e+03   2890.219    34.6929    34.9007     5.3168    1507.11    27.7359    27.9013
   2937.000     2.1077     2.1191   3.186912   3.203507     1.5453    -0.3734     0.3575    34.7074 1.0171e+03   2889.241    34.7112    34.9009     5.3275    1507.18    27.7495    27.9008
   2936.000     2.1136     2.1178   3.186543   3.203357     1.5516    -0.3734     0.3561    34.6988 1.0105e+03   2888.264    34.7009    34.9009     5.3584    1507.17    27.7408    27.9008
