       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      3.000     6.5131     6.5149   3.470498   3.470723     2.8553     6.2677     0.5786    34.8517 1.6708e+03      2.972    34.8520    34.8527     7.2919    1476.63    27.3687    27.3690
      4.000     6.5588     6.5559   3.474138   3.474287     2.8727     4.1410     0.6383    34.8447 1.5958e+03      3.962    34.8455    34.8500     7.3389    1476.81    27.3574    27.3614
      5.000     6.5881     6.5802   3.477114   3.476461     2.8923     2.0675     0.5652    34.8476 2.1999e+03      4.953    34.8482    34.8490     7.3951    1476.95    27.3557    27.3573
      6.000     6.5795     6.5798   3.476307   3.476460     2.8913     2.8379     0.7888    34.8475 2.0897e+03      5.943    34.8475    34.8488     7.3944    1476.93    27.3563    27.3573
      7.000     6.5730     6.5740   3.475843   3.475920     2.8894     3.4128     0.6388    34.8482 2.1000e+03      6.934    34.8484    34.8482     7.3906    1476.92    27.3579    27.3576
      8.000     6.5691     6.5725   3.475503   3.475941     2.8842     4.0089     0.5567    34.8482 2.0542e+03      7.924    34.8481    34.8496     7.3764    1476.92    27.3582    27.3589
      9.000     6.5738     6.5769   3.475900   3.476304     2.8841     5.2392     0.5947    34.8477 1.9859e+03      8.915    34.8472    34.8485     7.3761    1476.96    27.3569    27.3575
     10.000     6.5666     6.5617   3.475257   3.474859     2.8812     8.8778     0.7289    34.8487 1.9654e+03      9.906    34.8469    34.8475     7.3696    1476.95    27.3576    27.3587
     11.000     6.4859     6.4821   3.468113   3.468232     2.8702     7.4668     0.6260    34.8550 1.8755e+03     10.896    34.8491    34.8543     7.3508    1476.65    27.3701    27.3747
     12.000     6.4199     6.4199   3.462799   3.462998     2.8433     7.2308     0.6021    34.8614 1.7538e+03     11.887    34.8567    34.8589     7.2799    1476.42    27.3850    27.3867
     13.000     6.3969     6.3908   3.461020   3.460554     2.8152     9.8889     0.7091    34.8625 1.8816e+03     12.877    34.8598    34.8608     7.1972    1476.35    27.3904    27.3920
     14.000     6.3820     6.3813   3.459753   3.459808     2.8063     8.0683     0.6452    34.8631 1.9993e+03     13.868    34.8604    34.8618     7.1732    1476.31    27.3929    27.3940
     15.000     6.3677     6.3675   3.458260   3.458521     2.8013     7.0825     0.5951    34.8633 1.9573e+03     14.858    34.8578    34.8610     7.1611    1476.26    27.3927    27.3953
     16.000     6.3349     6.3355   3.455720   3.455835     2.7939     6.5916     0.6105    34.8660 1.9263e+03     15.849    34.8624    34.8631     7.1446    1476.16    27.4007    27.4011
     17.000     6.3072     6.3086   3.453314   3.453582     2.7786     7.4297     0.6547    34.8668 1.9454e+03     16.839    34.8633    34.8649     7.1027    1476.06    27.4051    27.4062
     18.000     6.2724     6.2730   3.450216   3.450433     2.7644     6.9332     0.6087    34.8678 1.9769e+03     17.830    34.8637    34.8656     7.0654    1475.94    27.4100    27.4114
     19.000     6.2175     6.2168   3.444815   3.445256     2.7548     7.1511     0.6219    34.8669 1.9389e+03     18.820    34.8588    34.8646     7.0460    1475.74    27.4133    27.4180
     20.000     6.1781     6.1777   3.442981   3.442969     2.7423     6.8405     0.6378    34.8821 1.8891e+03     19.811    34.8782    34.8785     7.0141    1475.62    27.4337    27.4340
     21.000     6.1618     6.1621   3.442617   3.442713     2.7083     4.2496     0.5870    34.8940 1.6819e+03     20.801    34.8904    34.8912     6.9104    1475.59    27.4455    27.4461
     22.000     6.1525     6.1528   3.442125   3.442225     2.6757     4.2610     0.5887    34.8965 1.2639e+03     21.792    34.8939    34.8947     6.8107    1475.57    27.4494    27.4500
     23.000     6.1437     6.1446   3.441329   3.441550     2.6700     2.3709     0.5323    34.8966 1.1899e+03     22.782    34.8935    34.8950     6.7950    1475.56    27.4503    27.4514
     24.000     6.1351     6.1350   3.440710   3.440837     2.6655     2.0665     0.5166    34.8977 1.1703e+03     23.772    34.8948    34.8963     6.7832    1475.54    27.4524    27.4536
     25.000     6.1237     6.1291   3.439939   3.440468     2.6544     2.1332     0.5098    34.8992 1.3241e+03     24.763    34.8974    34.8977     6.7510    1475.51    27.4560    27.4555
     26.000     6.1164     6.1205   3.439322   3.439742     2.6458     2.2102     0.5216    34.8996 1.4072e+03     25.753    34.8974    34.8979     6.7263    1475.50    27.4570    27.4568
     27.000     6.0992     6.0986   3.437670   3.437947     2.6432     1.8301     0.5117    34.8997 1.4605e+03     26.744    34.8960    34.8997     6.7220    1475.45    27.4580    27.4611
     28.000     6.0815     6.0811   3.436572   3.436649     2.6398     1.5117     0.5002    34.9034 1.5118e+03     27.734    34.9013    34.9026     6.7147    1475.40    27.4645    27.4656
     29.000     6.0840     6.0875   3.436877   3.437267     2.6306     1.1711     0.4737    34.9028 1.6067e+03     28.725    34.9016    34.9024     6.6865    1475.43    27.4645    27.4647
     30.000     6.0744     6.0763   3.435847   3.436174     2.6237     1.3209     0.4913    34.9017 1.8025e+03     29.715    34.8994    34.9011     6.6673    1475.40    27.4640    27.4651
     31.000     6.0630     6.0629   3.434979   3.435140     2.6223     1.3088     0.4854    34.9027 1.9308e+03     30.706    34.9007    34.9027     6.6654    1475.38    27.4665    27.4681
     32.000     6.0547     6.0542   3.434296   3.434373     2.6202     0.9737     0.4698    34.9029 1.9844e+03     31.696    34.9011    34.9025     6.6610    1475.36    27.4679    27.4691
     33.000     6.0433     6.0435   3.433343   3.433471     2.6158     1.0822     0.4760    34.9029 1.8233e+03     32.686    34.9016    34.9028     6.6501    1475.33    27.4698    27.4707
     34.000     6.0298     6.0311   3.432075   3.432310     2.6110     1.0128     0.4854    34.9025 1.6395e+03     33.677    34.9006    34.9020     6.6379    1475.29    27.4708    27.4717
     35.000     6.0187     6.0197   3.431146   3.431345     2.6098     0.9741     0.4822    34.9028 1.8341e+03     34.667    34.9011    34.9023     6.6369    1475.27    27.4726    27.4734
     36.000     6.0147     6.0136   3.430888   3.430886     2.6082     0.8963     0.4744    34.9029 1.7275e+03     35.658    34.9018    34.9029     6.6336    1475.27    27.4736    27.4747
     37.000     5.9987     5.9968   3.429330   3.429315     2.6047     0.8732     0.4573    34.9021 1.5776e+03     36.648    34.9002    34.9019     6.6258    1475.22    27.4744    27.4760
     38.000     5.9892     5.9902   3.428532   3.428761     2.6028     0.8265     0.4527    34.9022 1.8416e+03     37.638    34.9004    34.9020     6.6224    1475.20    27.4758    27.4770
     39.000     5.9749     5.9749   3.427296   3.427407     2.5999     0.7874     0.4581    34.9023 1.9409e+03     38.629    34.9007    34.9019     6.6164    1475.16    27.4779    27.4789
     40.000     5.9714     5.9717   3.427049   3.427142     2.5968     0.7337     0.4562    34.9023 1.9340e+03     39.619    34.9010    34.9017     6.6080    1475.16    27.4786    27.4791
     41.000     5.9561     5.9564   3.425548   3.425721     2.5934     0.9362     0.4578    34.9014 1.9054e+03     40.610    34.8992    34.9009     6.6007    1475.12    27.4791    27.4804
     42.000     5.9236     5.9235   3.422631   3.422762     2.5879     0.6041     0.4461    34.9018 1.9418e+03     41.600    34.8993    34.9008     6.5899    1475.00    27.4833    27.4845
     43.000     5.8991     5.9000   3.420278   3.420514     2.5840     0.8928     0.4522    34.9011 1.9457e+03     42.590    34.8974    34.8991     6.5823    1474.92    27.4850    27.4862
     44.000     5.8732     5.8734   3.418088   3.418227     2.5780     0.8448     0.4541    34.9018 1.9606e+03     43.581    34.8987    34.9002     6.5685    1474.83    27.4893    27.4904
     45.000     5.8244     5.8262   3.413464   3.413811     2.5704     0.4804     0.4484    34.9021 1.9649e+03     44.571    34.8962    34.8983     6.5535    1474.65    27.4935    27.4949
     46.000     5.7819     5.7818   3.410078   3.410189     2.5608     0.4202     0.4393    34.9056 1.9792e+03     45.561    34.9012    34.9026     6.5308    1474.51    27.5028    27.5039
     47.000     5.7672     5.7665   3.408848   3.408902     2.5504     0.2417     0.4289    34.9049 1.9570e+03     46.552    34.9019    34.9033     6.5010    1474.47    27.5052    27.5064
     48.000     5.7458     5.7480   3.407078   3.407337     2.5449     0.2950     0.4341    34.9060 1.9920e+03     47.542    34.9034    34.9041     6.4876    1474.40    27.5091    27.5093
     49.000     5.7452     5.7460   3.407252   3.407451     2.5424     0.2866     0.4302    34.9081 1.9364e+03     48.533    34.9055    34.9069     6.4805    1474.42    27.5109    27.5119
     50.000     5.7382     5.7386   3.406762   3.406919     2.5397     0.1889     0.4266    34.9092 1.8669e+03     49.523    34.9066    34.9081     6.4740    1474.41    27.5126    27.5137
     51.000     5.7367     5.7326   3.406686   3.406448     2.5322     0.1329     0.4172    34.9081 1.9209e+03     50.513    34.9069    34.9084     6.4512    1474.42    27.5130    27.5147
     52.000     5.7240     5.7242   3.405482   3.405689     2.5292     0.0687     0.4329    34.9082 1.9874e+03     51.504    34.9058    34.9079     6.4446    1474.38    27.5137    27.5154
     53.000     5.7100     5.7102   3.404408   3.404538     2.5284     0.0559     0.4291    34.9091 1.9562e+03     52.494    34.9075    34.9088     6.4451    1474.34    27.5168    27.5179
