       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
     48.000     5.5211     5.5219   3.384647   3.384927     2.6010     0.4840     0.4606    34.8874 6.7216e+02     47.536    34.8805    34.8829     6.7055    1473.47    27.5188    27.5205
     49.000     5.5165     5.5162   3.384514   3.384656     2.5991     0.3522     0.4565    34.8887 6.7193e+02     48.526    34.8833    34.8852     6.7009    1473.47    27.5216    27.5231
     50.000     5.5262     5.5298   3.385496   3.385927     2.5955     0.3037     0.4498    34.8874 6.7645e+02     49.516    34.8839    34.8851     6.6884    1473.53    27.5209    27.5213
     51.000     5.5253     5.5232   3.385293   3.385524     2.5928     0.4445     0.4508    34.8858 6.8086e+02     50.506    34.8820    34.8868     6.6809    1473.54    27.5195    27.5236
     52.000     5.4981     5.5046   3.383069   3.383858     2.5892     0.3608     0.4628    34.8879 6.8042e+02     51.497    34.8842    34.8865     6.6749    1473.45    27.5246    27.5256
     53.000     5.4796     5.4791   3.381400   3.381577     2.5836     0.3062     0.4539    34.8875 6.8128e+02     52.487    34.8839    34.8864     6.6610    1473.39    27.5265    27.5286
     54.000     5.4587     5.4597   3.379472   3.379767     2.5743     0.3422     0.4396    34.8856 6.8133e+02     53.477    34.8830    34.8853     6.6355    1473.32    27.5284    27.5301
     55.000     5.4601     5.4595   3.379776   3.379883     2.5703     0.2769     0.4507    34.8861 6.7746e+02     54.467    34.8845    34.8863     6.6232    1473.35    27.5294    27.5310
     56.000     5.4538     5.4579   3.379206   3.379805     2.5694     0.2438     0.4371    34.8858 6.8696e+02     55.457    34.8840    34.8866     6.6223    1473.34    27.5298    27.5313
     57.000     5.4462     5.4463   3.378550   3.378765     2.5680     0.2501     0.4505    34.8851 6.8785e+02     56.447    34.8838    34.8862     6.6200    1473.32    27.5306    27.5325
     58.000     5.4448     5.4447   3.378435   3.378638     2.5673     0.1769     0.4508    34.8848 6.8131e+02     57.438    34.8834    34.8859     6.6188    1473.33    27.5305    27.5324
