       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2074.000     2.1751     2.1757   3.173800   3.173886     1.8994    -0.3603     0.3725    34.8879 1.4985e+03   2044.336    34.8879    34.8883     6.3579    1493.09    27.8796    27.8799
   2073.000     2.1751     2.1758   3.173770   3.173843     1.8994    -0.3612     0.3726    34.8880 1.4956e+03   2043.355    34.8880    34.8881     6.3571    1493.07    27.8797    27.8797
   2072.000     2.1749     2.1756   3.173712   3.173799     1.8995    -0.3679     0.3726    34.8881 1.4918e+03   2042.374    34.8880    34.8883     6.3563    1493.05    27.8797    27.8799
   2071.000     2.1747     2.1752   3.173652   3.173739     1.8995    -0.3752     0.3714    34.8881 1.4880e+03   2041.393    34.8880    34.8884     6.3556    1493.04    27.8797    27.8800
   2070.000     2.1750     2.1757   3.173660   3.173743     1.9000    -0.3879     0.3739    34.8883 1.5264e+03   2040.412    34.8882    34.8885     6.3572    1493.02    27.8799    27.8800
   2069.000     2.1758     2.1765   3.173679   3.173751     1.9012    -0.3672     0.3726    34.8881 1.5829e+03   2039.431    34.8881    34.8882     6.3615    1493.01    27.8796    27.8797
   2068.000     2.1755     2.1761   3.173611   3.173671     1.9012    -0.3828     0.3726    34.8881 1.5862e+03   2038.450    34.8880    34.8882     6.3607    1492.99    27.8796    27.8797
   2067.000     2.1753     2.1758   3.173543   3.173614     1.9016    -0.3815     0.3726    34.8880 1.5849e+03   2037.469    34.8880    34.8883     6.3620    1492.97    27.8796    27.8798
   2066.000     2.1752     2.1757   3.173501   3.173563     1.9016    -0.3801     0.3751    34.8881 1.5736e+03   2036.488    34.8880    34.8883     6.3613    1492.95    27.8797    27.8798
   2065.000     2.1751     2.1756   3.173443   3.173514     1.9019    -0.3557     0.3789    34.8879 1.5439e+03   2035.507    34.8879    34.8883     6.3617    1492.94    27.8795    27.8798
   2064.000     2.1748     2.1754   3.173379   3.173446     1.9019    -0.3706     0.3801    34.8881 1.5190e+03   2034.526    34.8880    34.8882     6.3608    1492.92    27.8796    27.8797
   2063.000     2.1748     2.1751   3.173337   3.173379     1.9024    -0.3893     0.3735    34.8880 1.4989e+03   2033.545    34.8879    34.8881     6.3621    1492.90    27.8795    27.8797
   2062.000     2.1743     2.1747   3.173255   3.173316     1.9030    -0.3905     0.3787    34.8880 1.4809e+03   2032.564    34.8879    34.8882     6.3641    1492.88    27.8796    27.8798
   2061.000     2.1742     2.1746   3.173203   3.173265     1.9029    -0.3689     0.3809    34.8880 1.4680e+03   2031.583    34.8879    34.8882     6.3632    1492.87    27.8796    27.8798
   2060.000     2.1741     2.1745   3.173156   3.173210     1.9029    -0.3677     0.3715    34.8879 1.4607e+03   2030.602    34.8879    34.8881     6.3624    1492.85    27.8796    27.8797
   2059.000     2.1739     2.1745   3.173100   3.173164     1.9030    -0.3668     0.3676    34.8880 1.4545e+03   2029.621    34.8879    34.8881     6.3616    1492.83    27.8796    27.8797
   2058.000     2.1738     2.1744   3.173044   3.173122     1.9032    -0.3888     0.3722    34.8880 1.4505e+03   2028.641    34.8879    34.8882     6.3618    1492.81    27.8796    27.8798
   2057.000     2.1736     2.1740   3.172995   3.173054     1.9039    -0.3773     0.3726    34.8881 1.4472e+03   2027.660    34.8880    34.8882     6.3643    1492.80    27.8797    27.8798
   2056.000     2.1733     2.1739   3.172940   3.173007     1.9040    -0.3848     0.3731    34.8881 1.4465e+03   2026.679    34.8881    34.8883     6.3638    1492.78    27.8797    27.8799
   2055.000     2.1734     2.1739   3.172890   3.172949     1.9042    -0.3686     0.3722    34.8879 1.4521e+03   2025.698    34.8878    34.8880     6.3642    1492.76    27.8796    27.8797
   2054.000     2.1733     2.1737   3.172827   3.172894     1.9042    -0.3697     0.3726    34.8879 1.4558e+03   2024.717    34.8877    34.8881     6.3635    1492.74    27.8795    27.8797
   2053.000     2.1728     2.1732   3.172750   3.172809     1.9043    -0.3701     0.3784    34.8879 1.4588e+03   2023.735    34.8877    34.8881     6.3628    1492.72    27.8795    27.8797
   2052.000     2.1725     2.1730   3.172698   3.172757     1.9043    -0.3687     0.3834    34.8881 1.4615e+03   2022.755    34.8879    34.8881     6.3620    1492.71    27.8797    27.8798
   2051.000     2.1727     2.1732   3.172672   3.172733     1.9043    -0.3729     0.3751    34.8880 1.4649e+03   2021.774    34.8879    34.8882     6.3615    1492.69    27.8797    27.8798
   2050.000     2.1726     2.1731   3.172623   3.172688     1.9045    -0.3767     0.3728    34.8880 1.4689e+03   2020.792    34.8879    34.8882     6.3614    1492.67    27.8796    27.8798
   2049.000     2.1725     2.1730   3.172570   3.172635     1.9048    -0.3904     0.3726    34.8880 1.4753e+03   2019.812    34.8879    34.8881     6.3619    1492.66    27.8796    27.8798
   2048.000     2.1721     2.1726   3.172498   3.172572     1.9053    -0.3736     0.3769    34.8880 1.4853e+03   2018.830    34.8879    34.8883     6.3636    1492.64    27.8797    27.8800
   2047.000     2.1719     2.1724   3.172449   3.172512     1.9054    -0.3762     0.3809    34.8881 1.5261e+03   2017.849    34.8880    34.8883     6.3630    1492.62    27.8798    27.8799
   2046.000     2.1722     2.1727   3.172407   3.172468     1.9056    -0.3683     0.3722    34.8878 1.5751e+03   2016.868    34.8877    34.8879     6.3630    1492.60    27.8795    27.8796
   2045.000     2.1720     2.1726   3.172352   3.172427     1.9056    -0.3687     0.3775    34.8878 1.5844e+03   2015.887    34.8877    34.8880     6.3626    1492.59    27.8795    27.8797
   2044.000     2.1718     2.1724   3.172300   3.172374     1.9065    -0.3661     0.3775    34.8879 1.5910e+03   2014.906    34.8878    34.8881     6.3657    1492.57    27.8795    27.8797
   2043.000     2.1717     2.1722   3.172254   3.172333     1.9067    -0.3694     0.3775    34.8880 1.5950e+03   2013.925    34.8879    34.8882     6.3658    1492.55    27.8796    27.8799
   2042.000     2.1717     2.1723   3.172225   3.172303     1.9067    -0.3727     0.3775    34.8880 1.5969e+03   2012.944    34.8880    34.8882     6.3650    1492.53    27.8797    27.8799
   2041.000     2.1717     2.1722   3.172181   3.172255     1.9068    -0.3890     0.3775    34.8880 1.5970e+03   2011.963    34.8879    34.8883     6.3646    1492.52    27.8796    27.8799
   2040.000     2.1716     2.1721   3.172133   3.172204     1.9068    -0.3768     0.3749    34.8880 1.5948e+03   2010.982    34.8880    34.8883     6.3638    1492.50    27.8797    27.8799
   2039.000     2.1712     2.1717   3.172071   3.172141     1.9069    -0.3807     0.3763    34.8881 1.5824e+03   2010.001    34.8880    34.8884     6.3636    1492.48    27.8798    27.8800
   2038.000     2.1715     2.1720   3.172034   3.172105     1.9070    -0.3821     0.3727    34.8879 1.5693e+03   2009.020    34.8879    34.8882     6.3632    1492.47    27.8796    27.8798
