       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      3.000     6.1427     6.1426   3.438216   3.438434     2.8846     2.8762     0.5510    34.8698 2.9036e+02      2.972    34.8698    34.8723     7.4506    1475.19    27.4315    27.4335
      4.000     6.1424     6.1425   3.438326   3.438507     2.8865     3.0486     0.5639    34.8706 2.9126e+02      3.962    34.8708    34.8727     7.4575    1475.21    27.4323    27.4338
      5.000     6.1436     6.1406   3.438374   3.438360     2.8864     3.2912     0.5533    34.8703 2.8956e+02      4.953    34.8696    34.8725     7.4582    1475.23    27.4312    27.4339
      6.000     6.1391     6.1403   3.438169   3.438434     2.8865     3.2696     0.5534    34.8710 2.8875e+02      5.943    34.8713    34.8731     7.4601    1475.23    27.4332    27.4345
      7.000     6.1200     6.1185   3.436216   3.436389     2.8864     3.3479     0.5534    34.8703 2.8826e+02      6.934    34.8684    34.8719     7.4644    1475.17    27.4334    27.4364
      8.000     6.1034     6.0992   3.434963   3.434490     2.8815     3.8105     0.5349    34.8716 2.9543e+02      7.925    34.8709    34.8699     7.4530    1475.12    27.4375    27.4373
      9.000     6.0715     6.1055   3.430980   3.435214     2.8746     3.7973     0.5632    34.8691 2.9155e+02      8.915    34.8583    34.8710     7.4389    1475.00    27.4317    27.4374
     10.000     5.9309     5.9380   3.418850   3.419730     2.8720     4.1305     0.5600    34.8738 2.8820e+02      9.906    34.8655    34.8682     7.4578    1474.46    27.4554    27.4566
     11.000     5.9045     5.9042   3.416751   3.416927     2.8727     4.8498     0.5701    34.8743 2.8552e+02     10.896    34.8685    34.8708     7.4658    1474.38    27.4611    27.4629
     12.000     5.8969     5.8969   3.416099   3.416295     2.8721     5.0846     0.6002    34.8732 2.8786e+02     11.887    34.8684    34.8707     7.4662    1474.37    27.4620    27.4638
     13.000     5.8920     5.8917   3.415800   3.415949     2.8659     6.0134     0.5949    34.8723 2.9368e+02     12.877    34.8695    34.8716     7.4486    1474.36    27.4635    27.4652
     14.000     5.8876     5.8876   3.415491   3.415678     2.8594     5.8525     0.5791    34.8723 2.9252e+02     13.868    34.8701    34.8722     7.4299    1474.36    27.4645    27.4662
     15.000     5.8857     5.8856   3.415370   3.415565     2.8565     6.0180     0.5963    34.8722 2.9214e+02     14.858    34.8702    34.8724     7.4218    1474.37    27.4648    27.4667
     16.000     5.8847     5.8848   3.415361   3.415547     2.8539     6.4865     0.5983    34.8723 2.9086e+02     15.849    34.8706    34.8726     7.4149    1474.39    27.4653    27.4669
     17.000     5.8827     5.8819   3.415240   3.415345     2.8451     6.4629     0.5880    34.8720 2.9148e+02     16.839    34.8707    34.8727     7.3885    1474.39    27.4657    27.4674
     18.000     5.8794     5.8790   3.415008   3.415183     2.8381     6.3724     0.5941    34.8719 2.9373e+02     17.830    34.8710    34.8733     7.3680    1474.40    27.4663    27.4682
     19.000     5.8777     5.8777   3.414906   3.415083     2.8359     6.3637     0.5851    34.8720 2.9270e+02     18.820    34.8711    34.8730     7.3622    1474.41    27.4666    27.4682
     20.000     5.8768     5.8767   3.414883   3.415036     2.8334     6.3449     0.5821    34.8719 2.9219e+02     19.811    34.8712    34.8731     7.3555    1474.42    27.4668    27.4683
     21.000     5.8757     5.8755   3.414847   3.414993     2.8273     6.4894     0.5908    34.8719 2.9329e+02     20.801    34.8714    34.8733     7.3374    1474.43    27.4671    27.4687
     22.000     5.8745     5.8743   3.414773   3.414928     2.8248     6.8855     0.5870    34.8717 2.9255e+02     21.792    34.8712    34.8733     7.3304    1474.44    27.4672    27.4688
     23.000     5.8732     5.8729   3.414712   3.414859     2.8228     7.2023     0.6079    34.8718 2.9156e+02     22.782    34.8714    34.8734     7.3255    1474.46    27.4675    27.4691
     24.000     5.8713     5.8712   3.414582   3.414741     2.8207     6.8037     0.5892    34.8717 2.9168e+02     23.773    34.8714    34.8733     7.3201    1474.46    27.4677    27.4693
     25.000     5.8707     5.8705   3.414570   3.414726     2.8171     6.6665     0.5965    34.8716 2.9405e+02     24.763    34.8713    34.8734     7.3096    1474.48    27.4678    27.4694
     26.000     5.8697     5.8693   3.414532   3.414681     2.8111     6.6048     0.6102    34.8717 2.9565e+02     25.754    34.8714    34.8735     7.2918    1474.49    27.4680    27.4697
     27.000     5.8681     5.8676   3.414439   3.414575     2.8094     6.3001     0.6019    34.8718 2.9335e+02     26.744    34.8715    34.8735     7.2877    1474.50    27.4682    27.4699
     28.000     5.8666     5.8663   3.414349   3.414517     2.8071     6.1035     0.5799    34.8718 2.9133e+02     27.734    34.8715    34.8737     7.2817    1474.51    27.4685    27.4702
     29.000     5.8656     5.8654   3.414322   3.414484     2.8026     5.9418     0.5740    34.8719 2.9250e+02     28.725    34.8717    34.8738     7.2686    1474.52    27.4688    27.4704
     30.000     5.8637     5.8632   3.414189   3.414347     2.7979     5.9998     0.5797    34.8720 2.9692e+02     29.715    34.8716    34.8740     7.2551    1474.53    27.4689    27.4709
     31.000     5.8600     5.8598   3.413932   3.414092     2.7952     5.4722     0.5591    34.8724 2.9564e+02     30.706    34.8720    34.8741     7.2482    1474.54    27.4697    27.4714
     32.000     5.8563     5.8562   3.413662   3.413841     2.7905     5.9246     0.5700    34.8727 2.9295e+02     31.696    34.8723    34.8744     7.2348    1474.54    27.4704    27.4721
     33.000     5.8516     5.8512   3.413327   3.413484     2.7825     5.7194     0.5868    34.8733 2.9186e+02     32.687    34.8728    34.8751     7.2111    1474.54    27.4714    27.4733
     34.000     5.8414     5.8419   3.412478   3.412749     2.7751     6.0627     0.5768    34.8742 2.9335e+02     33.677    34.8731    34.8758     7.1907    1474.51    27.4730    27.4750
     35.000     5.8227     5.8219   3.410914   3.411107     2.7676     4.8358     0.5706    34.8760 2.9466e+02     34.668    34.8743    34.8772     7.1712    1474.46    27.4763    27.4787
     36.000     5.8141     5.8137   3.410271   3.410454     2.7601     4.5695     0.5617    34.8768 2.9439e+02     35.658    34.8753    34.8778     7.1499    1474.44    27.4782    27.4802
     37.000     5.8012     5.8002   3.409199   3.409331     2.7474     4.7054     0.5782    34.8774 2.9383e+02     36.648    34.8760    34.8785     7.1129    1474.40    27.4803    27.4824
     38.000     5.7902     5.7902   3.408309   3.408522     2.7371     4.9503     0.5832    34.8781 2.9436e+02     37.639    34.8766    34.8791     7.0828    1474.38    27.4822    27.4842
     39.000     5.7757     5.7729   3.407053   3.407061     2.7317     5.5946     0.6096    34.8789 2.9340e+02     38.629    34.8768    34.8799     7.0692    1474.34    27.4842    27.4870
     40.000     5.7619     5.7608   3.405943   3.406058     2.7245     5.9704     0.6503    34.8798 2.9407e+02     39.620    34.8780    34.8804     7.0498    1474.30    27.4869    27.4890
     41.000     5.7551     5.7538   3.405330   3.405482     2.7143     6.8429     0.6394    34.8797 2.9575e+02     40.610    34.8776    34.8806     7.0195    1474.29    27.4874    27.4900
     42.000     5.7215     5.7210   3.402423   3.402654     2.7024     4.9181     0.6006    34.8815 2.9277e+02     41.600    34.8787    34.8819     6.9886    1474.17    27.4925    27.4951
     43.000     5.6867     5.6849   3.399367   3.399535     2.6865     4.2422     0.5907    34.8832 2.9302e+02     42.591    34.8795    34.8832     6.9451    1474.05    27.4975    27.5006
     44.000     5.6593     5.6595   3.397024   3.397312     2.6699     3.5207     0.5602    34.8840 2.9618e+02     43.581    34.8807    34.8837     6.8977    1473.96    27.5018    27.5042
     45.000     5.6187     5.6166   3.393281   3.393538     2.6551     2.6533     0.5379    34.8851 2.9552e+02     44.571    34.8795    34.8846     6.8587    1473.81    27.5060    27.5102
     46.000     5.5922     5.5917   3.391219   3.391395     2.6413     2.0435     0.5066    34.8866 2.9454e+02     45.562    34.8829    34.8855     6.8199    1473.73    27.5119    27.5140
     47.000     5.5866     5.5866   3.390838   3.390996     2.6252     1.5852     0.5095    34.8863 2.9438e+02     46.552    34.8839    34.8857     6.7705    1473.72    27.5134    27.5148
     48.000     5.5915     5.5910   3.391587   3.391662     2.6159     1.4403     0.4704    34.8879 2.9525e+02     47.543    34.8868    34.8881     6.7404    1473.76    27.5151    27.5162
     49.000     5.5950     5.5954   3.392013   3.392193     2.6127     1.4069     0.4804    34.8884 2.9652e+02     48.533    34.8875    34.8892     6.7305    1473.79    27.5152    27.5165
     50.000     5.5969     5.5963   3.392229   3.392331     2.6119     1.0974     0.4753    34.8884 2.9616e+02     49.523    34.8875    34.8893     6.7285    1473.82    27.5150    27.5165
     51.000     5.5980     5.5975   3.392416   3.392540     2.6097     1.3166     0.4984    34.8886 2.9562e+02     50.514    34.8879    34.8899     6.7223    1473.84    27.5152    27.5168
     52.000     5.5985     5.5987   3.392520   3.392727     2.6073     0.9613     0.4663    34.8884 2.9516e+02     51.504    34.8881    34.8902     6.7153    1473.86    27.5153    27.5170
     53.000     5.5988     5.5986   3.392621   3.392777     2.6069     0.6100     0.4641    34.8888 2.9672e+02     52.494    34.8884    34.8904     6.7150    1473.87    27.5156    27.5171
