       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      3.000     7.2824     7.2825   3.542630   3.542747     2.7636     3.5937     0.6020    34.8680 1.5829e+02      2.971    34.8680    34.8691     6.8753    1479.63    27.2751    27.2760
      4.000     7.2851     7.2850   3.542837   3.542973     2.7664     3.4280     0.5930    34.8670 1.4327e+02      3.962    34.8670    34.8686     6.8845    1479.66    27.2740    27.2753
      5.000     7.2886     7.2874   3.543163   3.543235     2.7663     3.5587     0.6274    34.8665 1.4144e+02      4.952    34.8665    34.8685     6.8842    1479.69    27.2731    27.2749
      6.000     7.2868     7.2867   3.542959   3.543224     2.7661     3.5111     0.6175    34.8657 1.3956e+02      5.942    34.8657    34.8687     6.8851    1479.69    27.2727    27.2751
      7.000     7.2925     7.2904   3.543596   3.543538     2.7658     3.6913     0.6392    34.8658 1.4200e+02      6.933    34.8663    34.8679     6.8841    1479.73    27.2724    27.2740
      8.000     7.2875     7.2879   3.543076   3.543315     2.7656     3.7304     0.6197    34.8657 1.4172e+02      7.923    34.8652    34.8674     6.8850    1479.73    27.2723    27.2740
      9.000     7.2827     7.2862   3.542735   3.543179     2.7656     3.7283     0.6045    34.8663 1.3955e+02      8.914    34.8658    34.8671     6.8867    1479.73    27.2735    27.2740
     10.000     7.2810     7.2811   3.542714   3.542860     2.7651     3.5856     0.5876    34.8670 1.3882e+02      9.904    34.8668    34.8683     6.8865    1479.74    27.2745    27.2757
     11.000     7.2822     7.2820   3.542736   3.542942     2.7640     3.7344     0.6426    34.8650 1.3962e+02     10.894    34.8653    34.8678     6.8838    1479.76    27.2732    27.2752
     12.000     7.2808     7.2808   3.542639   3.542964     2.7644     3.9925     0.6364    34.8652 1.3974e+02     11.885    34.8651    34.8688     6.8860    1479.77    27.2732    27.2761
     13.000     7.2807     7.2806   3.542917   3.543045     2.7639     3.6135     0.5896    34.8679 1.3923e+02     12.875    34.8678    34.8694     6.8855    1479.79    27.2754    27.2766
     14.000     7.2810     7.2809   3.542959   3.543082     2.7626     3.5044     0.5894    34.8675 1.3788e+02     13.865    34.8675    34.8689     6.8823    1479.80    27.2751    27.2762
     15.000     7.2814     7.2810   3.543434   3.543373     2.7606     3.4761     0.5933    34.8715 1.3733e+02     14.856    34.8718    34.8715     6.8767    1479.83    27.2784    27.2783
     16.000     7.2812     7.2812   3.543445   3.543640     2.7574     3.6075     0.5828    34.8717 1.3872e+02     15.846    34.8716    34.8737     6.8679    1479.84    27.2783    27.2800
     17.000     7.2812     7.2810   3.543406   3.543489     2.7577     3.6496     0.6074    34.8704 1.3914e+02     16.836    34.8706    34.8718     6.8697    1479.86    27.2776    27.2785
     18.000     7.2816     7.2815   3.543490   3.543603     2.7569     3.6502     0.5987    34.8708 1.3785e+02     17.827    34.8707    34.8720     6.8682    1479.88    27.2776    27.2786
     19.000     7.2804     7.2811   3.543489   3.543570     2.7564     3.6891     0.6074    34.8715 1.3722e+02     18.817    34.8714    34.8715     6.8676    1479.89    27.2783    27.2783
     20.000     7.2805     7.2805   3.543502   3.543620     2.7563     3.7282     0.6116    34.8708 1.3655e+02     19.807    34.8709    34.8723     6.8682    1479.91    27.2779    27.2790
     21.000     7.2811     7.2813   3.543552   3.543713     2.7563     3.6185     0.5961    34.8704 1.3754e+02     20.798    34.8703    34.8719     6.8691    1479.92    27.2774    27.2786
     22.000     7.2811     7.2811   3.543739   3.543806     2.7563     3.8121     0.6066    34.8716 1.3732e+02     21.788    34.8720    34.8727     6.8700    1479.94    27.2787    27.2793
     23.000     7.2830     7.2826   3.544775   3.544719     2.7549     3.7314     0.5987    34.8801 1.3699e+02     22.778    34.8808    34.8806     6.8658    1479.98    27.2854    27.2853
     24.000     7.2860     7.2867   3.545613   3.545945     2.7509     3.7659     0.5959    34.8858 1.3612e+02     23.769    34.8865    34.8894     6.8538    1480.01    27.2894    27.2917
     25.000     7.2884     7.2882   3.546206   3.546265     2.7460     3.7426     0.6225    34.8894 1.3579e+02     24.759    34.8900    34.8909     6.8391    1480.04    27.2919    27.2926
     26.000     7.2882     7.2879   3.546093   3.546161     2.7356     3.6753     0.5966    34.8887 1.3676e+02     25.749    34.8885    34.8896     6.8084    1480.06    27.2907    27.2916
     27.000     7.2675     7.2667   3.544074   3.544299     2.7322     3.8376     0.5922    34.8890 1.3740e+02     26.739    34.8868    34.8901     6.8023    1479.99    27.2924    27.2951
     28.000     7.2534     7.2535   3.542865   3.543088     2.7287     3.5888     0.5924    34.8890 1.3699e+02     27.730    34.8873    34.8897     6.7949    1479.95    27.2948    27.2967
     29.000     7.2443     7.2442   3.542124   3.542258     2.7234     3.7016     0.6330    34.8890 1.3576e+02     28.720    34.8878    34.8895     6.7811    1479.94    27.2965    27.2978
     30.000     7.2412     7.2412   3.541896   3.542028     2.7172     3.5889     0.6387    34.8888 1.3545e+02     29.710    34.8880    34.8895     6.7635    1479.94    27.2971    27.2983
     31.000     7.2386     7.2385   3.541696   3.541826     2.7133     3.9435     0.6666    34.8885 1.3708e+02     30.700    34.8880    34.8895     6.7527    1479.95    27.2975    27.2987
     32.000     7.2367     7.2364   3.541524   3.541657     2.7124     3.4312     0.6263    34.8882 1.3699e+02     31.691    34.8875    34.8892     6.7512    1479.95    27.2973    27.2988
     33.000     7.2348     7.2347   3.541407   3.541525     2.7120     3.3502     0.5971    34.8881 1.3660e+02     32.681    34.8876    34.8891     6.7511    1479.96    27.2977    27.2989
     34.000     7.2335     7.2334   3.541310   3.541442     2.7091     3.3372     0.5979    34.8878 1.3551e+02     33.671    34.8874    34.8889     6.7435    1479.98    27.2978    27.2990
     35.000     7.2314     7.2313   3.541156   3.541287     2.7069     3.4115     0.6481    34.8877 1.3566e+02     34.661    34.8873    34.8888     6.7378    1479.98    27.2980    27.2992
     36.000     7.2294     7.2291   3.540997   3.541119     2.7070     3.2056     0.6043    34.8875 1.3629e+02     35.652    34.8871    34.8887     6.7393    1479.99    27.2982    27.2995
     37.000     7.2252     7.2250   3.540684   3.540809     2.7065     3.1498     0.6287    34.8879 1.3612e+02     36.642    34.8874    34.8890     6.7395    1479.99    27.2990    27.3003
     38.000     7.2242     7.2235   3.540697   3.540771     2.7049     3.2507     0.5966    34.8884 1.3572e+02     37.632    34.8881    34.8896     6.7355    1480.01    27.2997    27.3010
     39.000     7.2189     7.2183   3.540245   3.540344     2.7041     3.3681     0.5960    34.8885 1.3723e+02     38.622    34.8880    34.8897     6.7350    1480.00    27.3004    27.3018
