       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      4.000     5.8624     5.8632   3.412118   3.412274     2.7035     0.0369     0.4720    34.8620 1.2031e+03      3.962    34.8631    34.8640     6.9338    1474.09    27.4621    27.4627
      5.000     5.8629     5.8609   3.412157   3.412069     2.7038    -0.0490     0.4728    34.8624 1.1650e+03      4.953    34.8625    34.8635     6.9355    1474.11    27.4615    27.4626
      6.000     5.7864     5.8169   3.404823   3.408080     2.7013    -0.0718     0.4723    34.8621 1.2476e+03      5.943    34.8577    34.8631     6.9422    1473.81    27.4674    27.4679
      7.000     5.7355     5.7354   3.400545   3.400651     2.7018     0.1268     0.5154    34.8641 1.2640e+03      6.934    34.8611    34.8625     6.9535    1473.63    27.4765    27.4776
      8.000     5.7282     5.7288   3.399911   3.400118     2.7020     0.2841     0.5541    34.8639 1.2924e+03      7.924    34.8610    34.8627     6.9564    1473.62    27.4773    27.4786
      9.000     5.7170     5.7194   3.398991   3.399316     2.7020     0.2808     0.5369    34.8639 1.2630e+03      8.914    34.8616    34.8628     6.9590    1473.59    27.4792    27.4799
     10.000     5.7128     5.7187   3.398634   3.399316     2.7005     0.4014     0.5118    34.8634 1.2802e+03      9.905    34.8614    34.8630     6.9560    1473.59    27.4796    27.4801
     11.000     5.7000     5.7004   3.397503   3.397729     2.6995     0.2953     0.5028    34.8638 1.2924e+03     10.895    34.8612    34.8633     6.9562    1473.56    27.4810    27.4826
     12.000     5.6926     5.6938   3.396945   3.397169     2.6986     0.2163     0.4977    34.8639 1.2661e+03     11.886    34.8619    34.8633     6.9553    1473.54    27.4825    27.4835
     13.000     5.6878     5.6943   3.396571   3.397261     2.6979     0.3018     0.4856    34.8636 1.2315e+03     12.876    34.8622    34.8633     6.9548    1473.54    27.4833    27.4834
     14.000     5.6789     5.6818   3.395823   3.396186     2.6965     0.3805     0.4783    34.8636 1.2176e+03     13.867    34.8623    34.8635     6.9528    1473.52    27.4845    27.4851
     15.000     5.6737     5.6741   3.395431   3.395576     2.6964     0.4598     0.4835    34.8637 1.2192e+03     14.857    34.8627    34.8639     6.9544    1473.52    27.4855    27.4865
     16.000     5.6723     5.6728   3.395378   3.395517     2.6947     0.5349     0.4820    34.8638 1.2415e+03     15.848    34.8630    34.8641     6.9502    1473.53    27.4860    27.4868
     17.000     5.6711     5.6715   3.395321   3.395449     2.6926     0.6630     0.4884    34.8638 1.2142e+03     16.838    34.8630    34.8642     6.9447    1473.54    27.4861    27.4870
     18.000     5.6698     5.6702   3.395270   3.395403     2.6929     0.7657     0.4909    34.8639 1.1772e+03     17.829    34.8633    34.8645     6.9467    1473.55    27.4865    27.4874
     19.000     5.6733     5.6725   3.395626   3.395661     2.6926     0.8594     0.4841    34.8636 1.1625e+03     18.819    34.8632    34.8645     6.9459    1473.58    27.4860    27.4872
     20.000     5.6549     5.6563   3.394084   3.394343     2.6890     0.9583     0.4849    34.8653 1.1821e+03     19.809    34.8643    34.8657     6.9385    1473.53    27.4891    27.4901
     21.000     5.6473     5.6487   3.393347   3.393711     2.6876     1.0755     0.4971    34.8655 1.1927e+03     20.800    34.8631    34.8658     6.9365    1473.51    27.4892    27.4911
     22.000     5.6340     5.6351   3.392325   3.392562     2.6867     1.1617     0.4996    34.8665 1.1808e+03     21.790    34.8647    34.8664     6.9367    1473.48    27.4921    27.4933
     23.000     5.6373     5.6390   3.392695   3.392941     2.6843     1.2518     0.4911    34.8656 1.1422e+03     22.781    34.8651    34.8661     6.9296    1473.51    27.4920    27.4926
