       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   1957.000     2.3722     2.3727   3.187003   3.187083     1.9052    -0.3670     0.3816    34.8954 1.8920e+03   1929.530    34.8954    34.8958     6.2515    1491.99    27.8689    27.8693
   1956.000     2.3722     2.3727   3.186976   3.187055     1.9052    -0.3661     0.3761    34.8956 1.9055e+03   1928.549    34.8956    34.8960     6.2507    1491.97    27.8691    27.8694
   1955.000     2.3617     2.3623   3.185986   3.186070     1.9064    -0.3564     0.3776    34.8952 1.7831e+03   1927.567    34.8952    34.8956     6.2571    1491.91    27.8696    27.8699
   1954.000     2.3619     2.3625   3.185966   3.186038     1.9066    -0.3654     0.3746    34.8953 1.7843e+03   1926.586    34.8952    34.8955     6.2572    1491.89    27.8696    27.8698
   1953.000     2.3626     2.3637   3.186002   3.186101     1.9066    -0.3606     0.3741    34.8953 1.7871e+03   1925.604    34.8955    34.8955     6.2562    1491.88    27.8698    27.8697
   1952.000     2.3630     2.3634   3.185981   3.186046     1.9067    -0.3427     0.3775    34.8954 1.7940e+03   1924.623    34.8952    34.8956     6.2557    1491.86    27.8695    27.8698
   1951.000     2.3622     2.3628   3.185881   3.185943     1.9067    -0.3450     0.3738    34.8955 1.8022e+03   1923.641    34.8954    34.8955     6.2550    1491.84    27.8697    27.8698
   1950.000     2.3627     2.3632   3.185888   3.185958     1.9072    -0.3584     0.3755    34.8954 1.8129e+03   1922.660    34.8954    34.8958     6.2562    1491.83    27.8697    27.8699
   1949.000     2.3633     2.3635   3.185890   3.185951     1.9072    -0.3543     0.3785    34.8954 1.8131e+03   1921.678    34.8953    34.8959     6.2555    1491.81    27.8696    27.8700
   1948.000     2.3630     2.3632   3.185825   3.185891     1.9073    -0.3615     0.3831    34.8953 1.7910e+03   1920.697    34.8953    34.8959     6.2552    1491.79    27.8696    27.8700
   1947.000     2.3637     2.3644   3.185833   3.185946     1.9071    -0.3572     0.3727    34.8952 1.7572e+03   1919.715    34.8952    34.8958     6.2531    1491.78    27.8694    27.8698
   1946.000     2.3636     2.3649   3.185797   3.185941     1.9077    -0.3518     0.3726    34.8952 1.7512e+03   1918.734    34.8953    34.8957     6.2550    1491.76    27.8695    27.8697
   1945.000     2.3650     2.3663   3.185892   3.186019     1.9080    -0.3594     0.3758    34.8953 1.7643e+03   1917.752    34.8955    34.8956     6.2555    1491.75    27.8695    27.8695
   1944.000     2.3660     2.3668   3.185937   3.186036     1.9080    -0.3633     0.3769    34.8954 1.7847e+03   1916.771    34.8955    34.8958     6.2544    1491.74    27.8694    27.8696
   1943.000     2.3661     2.3669   3.185916   3.185985     1.9080    -0.3694     0.3727    34.8955 1.8048e+03   1915.789    34.8955    34.8956     6.2536    1491.72    27.8694    27.8695
   1942.000     2.3664     2.3671   3.185890   3.185981     1.9080    -0.3689     0.3809    34.8954 1.8143e+03   1914.808    34.8954    34.8958     6.2528    1491.71    27.8693    27.8696
   1941.000     2.3658     2.3664   3.185816   3.185895     1.9080    -0.3654     0.3838    34.8957 1.8080e+03   1913.826    34.8957    34.8960     6.2521    1491.69    27.8696    27.8698
   1940.000     2.3656     2.3662   3.185740   3.185833     1.9082    -0.3614     0.3722    34.8954 1.7535e+03   1912.845    34.8954    34.8960     6.2518    1491.67    27.8694    27.8698
   1939.000     2.3657     2.3656   3.185680   3.185705     1.9084    -0.3651     0.3834    34.8953 1.7367e+03   1911.863    34.8951    34.8955     6.2522    1491.65    27.8691    27.8694
   1938.000     2.3648     2.3650   3.185580   3.185612     1.9088    -0.3669     0.3799    34.8955 1.7431e+03   1910.882    34.8954    34.8955     6.2530    1491.63    27.8694    27.8695
