       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    974.600     3.8037     3.8019   3.271875   3.271946     1.8191     0.0353     0.0859    4.92756    963.000    34.8863    34.8891    1481.38    4.92744  1032.2126  1032.2151     -1.096    7.30439 0.0000e+00
    973.586     3.8023     3.8011   3.271685   3.271805     1.8195     0.0348     0.0847    4.92856    962.000    34.8860    34.8887    1481.35    4.92844  1032.2080  1032.2102     -0.950    7.30465 0.0000e+00
    972.571     3.8013     3.8003   3.271535   3.271680     1.8201     0.0358     0.0852    4.93007    961.000    34.8858    34.8886    1481.33    4.92995  1032.2032  1032.2056     -0.979    7.30484 0.0000e+00
    971.557     3.8012     3.8004   3.271477   3.271617     1.8203     0.0402     0.0849    4.93011    960.000    34.8858    34.8883    1481.32    4.92999  1032.1986  1032.2008     -1.003    7.30487 0.0000e+00
    970.543     3.8012     3.8009   3.271448   3.271615     1.8210     0.0371     0.0847    4.93216    959.000    34.8859    34.8883    1481.30    4.93204  1032.1941  1032.1960     -0.841    7.30485 0.0000e+00
    969.528     3.8019     3.8015   3.271431   3.271619     1.8217     0.0224     0.0847    4.93428    958.000    34.8856    34.8882    1481.29    4.93416  1032.1891  1032.1913     -0.828    7.30476 0.0000e+00
    968.514     3.8025     3.8018   3.271422   3.271586     1.8222     0.0226     0.0849    4.93534    957.000    34.8853    34.8880    1481.27    4.93522  1032.1842  1032.1864     -1.168    7.30466 0.0000e+00
    967.500     3.8026     3.8022   3.271410   3.271590     1.8227     0.0344     0.0847    4.93660    956.000    34.8855    34.8881    1481.26    4.93648  1032.1798  1032.1819     -1.386    7.30462 0.0000e+00
    966.485     3.8032     3.8027   3.271412   3.271590     1.8236     0.0477     0.0847    4.93894    955.000    34.8855    34.8881    1481.24    4.93882  1032.1750  1032.1771     -1.425    7.30452 0.0000e+00
    965.471     3.8037     3.8032   3.271422   3.271590     1.8236     0.0364     0.0847    4.93823    954.000    34.8856    34.8882    1481.23    4.93811  1032.1704  1032.1725     -1.274    7.30443 0.0000e+00
