       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     13.126    10.5657    10.5647   3.846314   3.846506     2.2070     1.3066     0.3219    4.77665     13.000    34.8289    34.8317    1491.82    4.77638  1026.7793  1026.7816      0.066    6.24727 0.0000e+00
     14.136    10.5670    10.5663   3.846490   3.846694     2.2098     1.3600     0.3217    4.78488     14.000    34.8289    34.8316    1491.84    4.78461  1026.7836  1026.7859      0.368    6.24709 0.0000e+00
     15.145    10.5677    10.5668   3.846592   3.846785     2.2096     1.3302     0.3235    4.78490     15.000    34.8288    34.8317    1491.86    4.78463  1026.7880  1026.7904      0.474    6.24700 0.0000e+00
     16.155    10.5679    10.5671   3.846672   3.846885     2.2100     1.3017     0.3222    4.78659     16.000    34.8290    34.8319    1491.87    4.78632  1026.7926  1026.7950      0.513    6.24697 0.0000e+00
     17.165    10.5677    10.5666   3.846698   3.846870     2.2096     1.3175     0.3200    4.78598     17.000    34.8290    34.8317    1491.89    4.78571  1026.7972  1026.7996      0.497    6.24700 0.0000e+00
     18.174    10.5668    10.5657   3.846674   3.846856     2.2098     1.3016     0.3222    4.78746     18.000    34.8291    34.8320    1491.90    4.78719  1026.8020  1026.8044      0.566    6.24711 0.0000e+00
     19.184    10.5638    10.5622   3.846496   3.846632     2.2100     1.3084     0.3218    4.78882     19.000    34.8297    34.8327    1491.91    4.78855  1026.8076  1026.8102      0.467    6.24749 0.0000e+00
     20.194    10.5601    10.5607   3.846245   3.846560     2.2092     1.3154     0.3187    4.78759     20.000    34.8303    34.8329    1491.91    4.78733  1026.8132  1026.8152      0.495    6.24798 0.0000e+00
     21.204    10.5619    10.5621   3.846429   3.846696     2.2079     1.2991     0.3177    4.78435     21.000    34.8299    34.8325    1491.94    4.78409  1026.8173  1026.8192      0.564    6.24775 0.0000e+00
     22.213    10.5592    10.5588   3.846277   3.846547     2.2074     1.2710     0.3165    4.78372     22.000    34.8306    34.8337    1491.94    4.78346  1026.8228  1026.8253      0.572    6.24809 0.0000e+00
     23.223    10.5526    10.5521   3.845814   3.846011     2.2064     1.2764     0.3180    4.78243     23.000    34.8317    34.8342    1491.94    4.78216  1026.8293  1026.8314      0.330    6.24894 0.0000e+00
     24.233    10.5618    10.5600   3.846565   3.846659     2.2064     1.2766     0.3159    4.78189     24.000    34.8300    34.8327    1491.98    4.78162  1026.8309  1026.8334      0.725    6.24776 0.0000e+00
     25.243    10.5656    10.5654   3.846915   3.847142     2.2063     1.2555     0.3169    4.78204     25.000    34.8295    34.8320    1492.01    4.78177  1026.8344  1026.8364      0.717    6.24726 0.0000e+00
     26.253    10.5655    10.5628   3.846950   3.847009     2.2059     1.3034     0.3185    4.78159     26.000    34.8295    34.8326    1492.03    4.78133  1026.8390  1026.8419      0.386    6.24727 0.0000e+00
     27.262    10.5619    10.5591   3.846718   3.846774     2.2062     1.3277     0.3183    4.78315     27.000    34.8301    34.8333    1492.03    4.78288  1026.8446  1026.8477      0.578    6.24774 0.0000e+00
