       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     43.421     7.6793     7.6787   3.600294   3.600430     2.0881     0.1259     0.1320    4.75877     43.000    35.0756    35.0777    1481.99    4.75856  1027.5793  1027.5812      0.538    6.65286 0.0000e+00
     44.431     7.5423     7.5425   3.587087   3.587604     2.0821     0.1313     0.1297    4.75723     44.000    35.0699    35.0754    1481.48    4.75703  1027.5997  1027.6040      0.422    6.67406 0.0000e+00
     45.440     7.6056     7.6005   3.594638   3.593927     2.0763     0.1129     0.1276    4.73288     45.000    35.0875    35.0849    1481.76    4.73268  1027.6089  1027.6077      0.378    6.66361 0.0000e+00
     46.450     7.6886     7.6867   3.604591   3.604659     2.0753     0.1069     0.1239    4.72012     46.000    35.1113    35.1139    1482.12    4.71992  1027.6200  1027.6223      0.725    6.64990 0.0000e+00
     47.460     7.6752     7.6745   3.603241   3.603614     2.0750     0.0919     0.1192    4.72148     47.000    35.1097    35.1144    1482.08    4.72128  1027.6252  1027.6290      0.892    6.65202 0.0000e+00
     48.470     7.6000     7.5993   3.595847   3.596302     2.0737     0.0798     0.1181    4.72675     48.000    35.1048    35.1104    1481.81    4.72655  1027.6371  1027.6417      0.571    6.66371 0.0000e+00
     49.480     7.5689     7.5682   3.592579   3.592666     2.0656     0.0959     0.1187    4.70688     49.000    35.1002    35.1020    1481.70    4.70667  1027.6427  1027.6442      0.290    6.66867 0.0000e+00
     50.490     7.5661     7.5649   3.592271   3.592426     2.0657     0.0955     0.1176    4.70812     50.000    35.0993    35.1021    1481.70    4.70792  1027.6471  1027.6494      0.855    6.66915 0.0000e+00
     51.500     7.5648     7.5637   3.592313   3.592398     2.0644     0.0883     0.1169    4.70480     51.000    35.1005    35.1026    1481.72    4.70459  1027.6528  1027.6545      0.782    6.66929 0.0000e+00
     52.510     7.5494     7.5452   3.590821   3.590683     2.0633     0.0931     0.1156    4.70394     52.000    35.0994    35.1021    1481.67    4.70374  1027.6588  1027.6615      0.260    6.67170 0.0000e+00
     53.520     7.4823     7.4808   3.583988   3.584286     2.0626     0.0952     0.1153    4.71027     53.000    35.0924    35.0971    1481.42    4.71006  1027.6677  1027.6716      0.688    6.68231 0.0000e+00
     54.530     7.4341     7.4331   3.579268   3.579475     2.0597     0.0659     0.1144    4.70765     54.000    35.0892    35.0925    1481.25    4.70744  1027.6769  1027.6796      0.635    6.68987 0.0000e+00
     55.540     7.4162     7.4146   3.577685   3.577756     2.0587     0.0893     0.1129    4.70727     55.000    35.0895    35.0919    1481.20    4.70707  1027.6843  1027.6864      0.621    6.69261 0.0000e+00
     56.550     7.4033     7.4014   3.576460   3.576436     2.0591     0.0671     0.1114    4.71073     56.000    35.0888    35.0904    1481.17    4.71053  1027.6903  1027.6918      0.640    6.69464 0.0000e+00
     57.560     7.4229     7.4221   3.578811   3.578851     2.0588     0.0571     0.1111    4.70793     57.000    35.0940    35.0953    1481.26    4.70773  1027.6962  1027.6973      0.370    6.69138 0.0000e+00
     58.570     7.4089     7.4069   3.577536   3.577682     2.0586     0.0800     0.1125    4.70942     58.000    35.0938    35.0975    1481.23    4.70922  1027.7026  1027.7058      0.443    6.69355 0.0000e+00
     59.579     7.3452     7.3449   3.571051   3.571385     2.0566     0.0703     0.1097    4.71139     59.000    35.0870    35.0910    1480.99    4.71119  1027.7112  1027.7142      0.904    6.70368 0.0000e+00
     60.589     7.3600     7.3582   3.572782   3.572557     2.0551     0.0690     0.1075    4.70591     60.000    35.0905    35.0898    1481.07    4.70571  1027.7163  1027.7161      0.815    6.70125 0.0000e+00
     61.599     7.3817     7.3806   3.575287   3.575304     2.0559     0.0633     0.1059    4.70615     61.000    35.0953    35.0966    1481.17    4.70595  1027.7217  1027.7228      0.342    6.69769 0.0000e+00
     62.609     7.3958     7.3949   3.577365   3.577360     2.0559     0.0712     0.1058    4.70501     62.000    35.1032    35.1041    1481.25    4.70481  1027.7303  1027.7312      0.674    6.69516 0.0000e+00
     63.619     7.3867     7.3855   3.576596   3.576665     2.0557     0.0698     0.1034    4.70615     63.000    35.1035    35.1055    1481.24    4.70595  1027.7366  1027.7383      0.893    6.69655 0.0000e+00
     64.629     7.3843     7.3831   3.576407   3.576448     2.0548     0.0491     0.1026    4.70416     64.000    35.1034    35.1050    1481.24    4.70396  1027.7415  1027.7429      0.755    6.69693 0.0000e+00
     65.639     7.3834     7.3821   3.576330   3.576351     2.0529     0.0441     0.1029    4.69919     65.000    35.1029    35.1045    1481.25    4.69899  1027.7458  1027.7472      0.192    6.69709 0.0000e+00
     66.649     7.3819     7.3808   3.576257   3.576290     2.0516     0.0460     0.1021    4.69619     66.000    35.1031    35.1047    1481.27    4.69599  1027.7509  1027.7522      0.967    6.69731 0.0000e+00
