       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
   1004.859     3.6975     3.6969   3.263653   3.263819     1.7844     0.0363     0.0766    4.83074    993.000    34.8856    34.8881    1481.43    4.83062  1032.3636  1032.3657     -0.116    7.32361 0.0000e+00
   1003.844     3.6974     3.6965   3.263600   3.263728     1.7851     0.0236     0.0765    4.83283    992.000    34.8856    34.8880    1481.41    4.83271  1032.3590  1032.3610     -0.311    7.32363 0.0000e+00
   1002.830     3.6966     3.6955   3.263468   3.263571     1.7855     0.0373     0.0766    4.83402    991.000    34.8853    34.8878    1481.39    4.83390  1032.3542  1032.3563     -0.386    7.32378 0.0000e+00
   1001.815     3.6965     3.6953   3.263389   3.263496     1.7856     0.0270     0.0764    4.83367    990.000    34.8851    34.8876    1481.37    4.83355  1032.3495  1032.3516     -0.890    7.32382 0.0000e+00
   1000.801     3.6956     3.6943   3.263251   3.263364     1.7860     0.0317     0.0763    4.83446    989.000    34.8849    34.8876    1481.35    4.83434  1032.3448  1032.3470     -1.239    7.32399 0.0000e+00
    999.787     3.6946     3.6939   3.263118   3.263285     1.7859     0.0273     0.0761    4.83358    988.000    34.8848    34.8876    1481.33    4.83346  1032.3402  1032.3425     -1.370    7.32416 0.0000e+00
    998.772     3.6940     3.6929   3.263022   3.263136     1.7861     0.0117     0.0762    4.83383    987.000    34.8849    34.8874    1481.31    4.83371  1032.3357  1032.3378     -1.250    7.32428 0.0000e+00
    997.758     3.6933     3.6926   3.262908   3.263041     1.7863     0.0333     0.0767    4.83396    986.000    34.8847    34.8872    1481.29    4.83385  1032.3311  1032.3330     -0.786    7.32440 0.0000e+00
    996.744     3.6924     3.6913   3.262749   3.262856     1.7869     0.0299     0.0768    4.83597    985.000    34.8844    34.8868    1481.27    4.83586  1032.3263  1032.3282     -0.337    7.32460 0.0000e+00
    995.729     3.6924     3.6909   3.262684   3.262781     1.7875     0.0228     0.0769    4.83732    984.000    34.8841    34.8868    1481.25    4.83720  1032.3214  1032.3237     -1.162    7.32460 0.0000e+00
    994.715     3.6910     3.6889   3.262481   3.262531     1.7873     0.0352     0.0766    4.83627    983.000    34.8838    34.8865    1481.23    4.83615  1032.3167  1032.3191     -1.475    7.32488 0.0000e+00
    993.701     3.6891     3.6884   3.262235   3.262390     1.7872     0.0348     0.0770    4.83552    982.000    34.8833    34.8860    1481.20    4.83540  1032.3119  1032.3141     -1.565    7.32524 0.0000e+00
    992.686     3.6890     3.6881   3.262173   3.262311     1.7876     0.0356     0.0770    4.83649    981.000    34.8832    34.8858    1481.19    4.83638  1032.3073  1032.3094     -1.501    7.32526 0.0000e+00
    991.672     3.6888     3.6873   3.262110   3.262176     1.7876     0.0355     0.0768    4.83586    980.000    34.8831    34.8856    1481.17    4.83574  1032.3025  1032.3047     -1.325    7.32529 0.0000e+00
    990.658     3.6882     3.6863   3.262014   3.262018     1.7880     0.0348     0.0762    4.83695    979.000    34.8833    34.8853    1481.15    4.83683  1032.2981  1032.2999     -1.137    7.32541 0.0000e+00
    989.644     3.6873     3.6866   3.261848   3.262009     1.7886     0.0278     0.0767    4.83845    978.000    34.8827    34.8853    1481.13    4.83834  1032.2931  1032.2953     -0.994    7.32559 0.0000e+00
    988.629     3.6872     3.6866   3.261791   3.261957     1.7890     0.0321     0.0765    4.83933    977.000    34.8827    34.8853    1481.11    4.83921  1032.2885  1032.2906     -0.730    7.32562 0.0000e+00
    987.615     3.6859     3.6859   3.261615   3.261854     1.7894     0.0351     0.0769    4.84031    976.000    34.8824    34.8853    1481.09    4.84020  1032.2838  1032.2860     -0.556    7.32586 0.0000e+00
    986.601     3.6836     3.6831   3.261318   3.261494     1.7901     0.0461     0.0763    4.84281    975.000    34.8819    34.8845    1481.06    4.84270  1032.2791  1032.2813     -0.900    7.32630 0.0000e+00
    985.586     3.6803     3.6790   3.260918   3.261103     1.7898     0.0354     0.0765    4.84146    974.000    34.8811    34.8848    1481.03    4.84134  1032.2742  1032.2772     -1.353    7.32694 0.0000e+00
    984.572     3.6746     3.6724   3.260287   3.260354     1.7914     0.0348     0.0764    4.84773    973.000    34.8802    34.8834    1480.99    4.84761  1032.2695  1032.2723     -1.598    7.32802 0.0000e+00
    983.558     3.6709     3.6697   3.259869   3.259997     1.7909     0.0358     0.0769    4.84570    972.000    34.8797    34.8825    1480.96    4.84559  1032.2650  1032.2673     -1.661    7.32871 0.0000e+00
    982.544     3.6710     3.6699   3.259830   3.259907     1.7919     0.0348     0.0766    4.84874    971.000    34.8796    34.8817    1480.94    4.84863  1032.2603  1032.2621     -1.542    7.32870 0.0000e+00
    981.529     3.6700     3.6699   3.259712   3.259884     1.7926     0.0348     0.0767    4.85062    970.000    34.8798    34.8820    1480.92    4.85051  1032.2559  1032.2577     -1.227    7.32887 0.0000e+00
    980.515     3.6707     3.6703   3.259690   3.259878     1.7941     0.0281     0.0768    4.85582    969.000    34.8794    34.8820    1480.91    4.85570  1032.2509  1032.2529     -0.885    7.32877 0.0000e+00
    979.501     3.6703     3.6706   3.259603   3.259852     1.7948     0.0224     0.0768    4.85759    968.000    34.8792    34.8819    1480.89    4.85748  1032.2462  1032.2482     -0.951    7.32885 0.0000e+00
    978.487     3.6714     3.6707   3.259657   3.259816     1.7949     0.0326     0.0771    4.85721    967.000    34.8792    34.8818    1480.88    4.85709  1032.2415  1032.2435     -1.039    7.32865 0.0000e+00
    977.472     3.6712     3.6706   3.259607   3.259774     1.7954     0.0354     0.0767    4.85868    966.000    34.8794    34.8820    1480.86    4.85857  1032.2369  1032.2390     -0.784    7.32868 0.0000e+00
    976.458     3.6707     3.6694   3.259508   3.259604     1.7967     0.0346     0.0763    4.86290    965.000    34.8793    34.8818    1480.84    4.86278  1032.2323  1032.2344     -0.466    7.32877 0.0000e+00
    975.444     3.6708     3.6684   3.259452   3.259479     1.7974     0.0228     0.0760    4.86485    964.000    34.8790    34.8819    1480.82    4.86474  1032.2274  1032.2300     -1.439    7.32876 0.0000e+00
    974.430     3.6657     3.6624   3.258863   3.258878     1.7974     0.0398     0.0766    4.86504    963.000    34.8779    34.8816    1480.78    4.86492  1032.2225  1032.2258     -1.770    7.32974 0.0000e+00
    973.415     3.6609     3.6595   3.258346   3.258446     1.7974     0.0473     0.0768    4.86499    962.000    34.8774    34.8801    1480.75    4.86488  1032.2181  1032.2203     -1.912    7.33064 0.0000e+00
    972.401     3.6596     3.6586   3.258165   3.258321     1.7977     0.0385     0.0767    4.86564    961.000    34.8771    34.8800    1480.72    4.86552  1032.2134  1032.2158     -1.869    7.33089 0.0000e+00
    971.387     3.6595     3.6582   3.258109   3.258198     1.7979     0.0349     0.0767    4.86582    960.000    34.8771    34.8796    1480.71    4.86570  1032.2087  1032.2109     -1.598    7.33091 0.0000e+00
    970.373     3.6584     3.6573   3.257984   3.258098     1.7987     0.0352     0.0765    4.86819    959.000    34.8773    34.8798    1480.68    4.86807  1032.2043  1032.2065     -0.950    7.33110 0.0000e+00
    969.359     3.6560     3.6554   3.257690   3.257839     1.8000     0.0296     0.0769    4.87278    958.000    34.8768    34.8793    1480.66    4.87266  1032.1997  1032.2018     -0.420    7.33155 0.0000e+00
    968.344     3.6560     3.6529   3.257604   3.257535     1.8011     0.0395     0.0771    4.87608    957.000    34.8763    34.8788    1480.64    4.87597  1032.1947  1032.1970     -1.004    7.33158 0.0000e+00
    967.330     3.6525     3.6523   3.257206   3.257434     1.8015     0.0426     0.0767    4.87759    956.000    34.8758    34.8787    1480.61    4.87747  1032.1901  1032.1924     -1.246    7.33223 0.0000e+00
    966.316     3.6472     3.6467   3.256622   3.256845     1.8024     0.0218     0.0769    4.88086    955.000    34.8750    34.8782    1480.57    4.88075  1032.1855  1032.1880     -1.340    7.33324 0.0000e+00
    965.302     3.6461     3.6449   3.256459   3.256571     1.8025     0.0336     0.0765    4.88082    954.000    34.8748    34.8774    1480.55    4.88070  1032.1808  1032.1830     -1.290    7.33345 0.0000e+00
    964.288     3.6456     3.6438   3.256371   3.256405     1.8028     0.0358     0.0765    4.88146    953.000    34.8748    34.8771    1480.53    4.88134  1032.1763  1032.1782     -1.137    7.33355 0.0000e+00
