       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
   1508.603     3.4813     3.4812   3.268788   3.269032     1.6536     0.0290     0.0761    4.66042   1489.000    34.9213    34.9243    1488.85    4.66032  1034.7087  1034.7111     -1.073    7.36119 0.0000e+00
   1507.586     3.4820     3.4815   3.268811   3.269014     1.6536     0.0386     0.0760    4.65982   1488.000    34.9213    34.9243    1488.84    4.65971  1034.7041  1034.7064     -0.994    7.36106 0.0000e+00
   1506.569     3.4821     3.4814   3.268794   3.268975     1.6537     0.0390     0.0758    4.65937   1487.000    34.9216    34.9244    1488.82    4.65926  1034.6996  1034.7020     -0.168    7.36104 0.0000e+00
   1505.553     3.4821     3.4814   3.268743   3.268933     1.6536     0.0352     0.0753    4.65841   1486.000    34.9214    34.9244    1488.81    4.65830  1034.6949  1034.6974     -0.507    7.36104 0.0000e+00
   1504.536     3.4837     3.4823   3.268829   3.268950     1.6539     0.0405     0.0756    4.65883   1485.000    34.9213    34.9242    1488.80    4.65872  1034.6899  1034.6925     -0.377    7.36075 0.0000e+00
   1503.519     3.4853     3.4849   3.268935   3.269111     1.6539     0.0536     0.0752    4.65783   1484.000    34.9213    34.9238    1488.79    4.65773  1034.6852  1034.6873     -1.007    7.36045 0.0000e+00
   1502.502     3.4875     3.4868   3.269073   3.269250     1.6539     0.0375     0.0755    4.65690   1483.000    34.9211    34.9240    1488.78    4.65679  1034.6802  1034.6825     -1.299    7.36006 0.0000e+00
   1501.486     3.4887     3.4879   3.269159   3.269315     1.6539     0.0237     0.0759    4.65634   1482.000    34.9214    34.9241    1488.77    4.65624  1034.6757  1034.6779     -1.355    7.35983 0.0000e+00
   1500.469     3.4889     3.4891   3.269139   3.269384     1.6540     0.0470     0.0760    4.65602   1481.000    34.9215    34.9242    1488.75    4.65591  1034.6711  1034.6732     -1.177    7.35980 0.0000e+00
   1499.452     3.4892     3.4890   3.269136   3.269356     1.6543     0.0366     0.0760    4.65680   1480.000    34.9217    34.9244    1488.73    4.65669  1034.6666  1034.6688     -0.774    7.35974 0.0000e+00
   1498.435     3.4905     3.4895   3.269202   3.269348     1.6546     0.0352     0.0758    4.65714   1479.000    34.9215    34.9244    1488.72    4.65703  1034.6616  1034.6641     -0.666    7.35949 0.0000e+00
   1497.419     3.4921     3.4901   3.269296   3.269353     1.6550     0.0348     0.0757    4.65785   1478.000    34.9214    34.9243    1488.71    4.65774  1034.6567  1034.6593     -0.720    7.35920 0.0000e+00
   1496.402     3.4941     3.4927   3.269432   3.269512     1.6551     0.0348     0.0758    4.65729   1477.000    34.9214    34.9239    1488.70    4.65718  1034.6519  1034.6541     -0.914    7.35884 0.0000e+00
   1495.385     3.4950     3.4936   3.269463   3.269575     1.6552     0.0348     0.0755    4.65699   1476.000    34.9213    34.9242    1488.69    4.65688  1034.6471  1034.6497     -1.313    7.35868 0.0000e+00
   1494.368     3.4965     3.4957   3.269521   3.269693     1.6551     0.0348     0.0760    4.65588   1475.000    34.9210    34.9238    1488.68    4.65577  1034.6421  1034.6444     -1.608    7.35843 0.0000e+00
   1493.352     3.4973     3.4968   3.269563   3.269738     1.6553     0.0348     0.0760    4.65577   1474.000    34.9211    34.9238    1488.67    4.65566  1034.6375  1034.6396     -1.792    7.35827 0.0000e+00
   1492.335     3.4981     3.4975   3.269581   3.269762     1.6559     0.0348     0.0760    4.65760   1473.000    34.9210    34.9238    1488.65    4.65750  1034.6327  1034.6350     -1.889    7.35814 0.0000e+00
   1491.318     3.4988     3.4980   3.269601   3.269777     1.6554     0.0348     0.0759    4.65480   1472.000    34.9210    34.9239    1488.64    4.65469  1034.6279  1034.6304     -1.879    7.35800 0.0000e+00
   1490.302     3.4995     3.4987   3.269623   3.269795     1.6557     0.0348     0.0760    4.65554   1471.000    34.9211    34.9239    1488.63    4.65543  1034.6233  1034.6256     -1.736    7.35788 0.0000e+00
   1489.285     3.4996     3.4984   3.269584   3.269746     1.6563     0.0348     0.0760    4.65710   1470.000    34.9210    34.9242    1488.61    4.65699  1034.6187  1034.6213     -1.348    7.35786 0.0000e+00
   1488.268     3.5006     3.4994   3.269653   3.269806     1.6566     0.0374     0.0760    4.65770   1469.000    34.9213    34.9243    1488.60    4.65760  1034.6141  1034.6167     -0.270    7.35767 0.0000e+00
   1487.251     3.5012     3.5003   3.269627   3.269816     1.6565     0.0468     0.0760    4.65635   1468.000    34.9209    34.9241    1488.58    4.65625  1034.6091  1034.6118     -2.119    7.35758 0.0000e+00
   1486.235     3.5016     3.5005   3.269617   3.269793     1.6566     0.0470     0.0760    4.65609   1467.000    34.9208    34.9240    1488.57    4.65598  1034.6045  1034.6071     -2.308    7.35751 0.0000e+00
   1485.218     3.5017     3.5008   3.269600   3.269754     1.6566     0.0371     0.0760    4.65547   1466.000    34.9210    34.9238    1488.55    4.65537  1034.6000  1034.6023     -2.345    7.35748 0.0000e+00
   1484.201     3.5027     3.5020   3.269628   3.269777     1.6566     0.0348     0.0760    4.65474   1465.000    34.9207    34.9232    1488.54    4.65463  1034.5950  1034.5972     -2.289    7.35730 0.0000e+00
   1483.185     3.5045     3.5036   3.269723   3.269877     1.6566     0.0414     0.0760    4.65392   1464.000    34.9205    34.9233    1488.53    4.65381  1034.5900  1034.5923     -2.131    7.35699 0.0000e+00
   1482.168     3.5044     3.5039   3.269690   3.269880     1.6568     0.0466     0.0760    4.65439   1463.000    34.9207    34.9235    1488.51    4.65428  1034.5856  1034.5879     -1.829    7.35700 0.0000e+00
   1481.151     3.5049     3.5037   3.269668   3.269838     1.6572     0.0400     0.0760    4.65507   1462.000    34.9205    34.9237    1488.50    4.65497  1034.5807  1034.5835     -1.292    7.35693 0.0000e+00
   1480.135     3.5054     3.5042   3.269668   3.269830     1.6576     0.0342     0.0760    4.65605   1461.000    34.9204    34.9235    1488.48    4.65595  1034.5760  1034.5786     -0.322    7.35683 0.0000e+00
   1479.118     3.5065     3.5049   3.269698   3.269818     1.6577     0.0370     0.0761    4.65567   1460.000    34.9201    34.9232    1488.47    4.65556  1034.5710  1034.5737     -0.846    7.35665 0.0000e+00
   1478.101     3.5070     3.5049   3.269696   3.269776     1.6577     0.0348     0.0760    4.65510   1459.000    34.9200    34.9232    1488.46    4.65499  1034.5663  1034.5691     -1.298    7.35655 0.0000e+00
