WetView ver 7.1	01-18-2019	14:31:20
ACS Meter
530000CE		; Serial number
3	; structure version number
Reserved
0.000000	0.000000		; Depth calibration
115200			; Baud rate
0.250000			; Path length (meters)
86			; output wavelengths
35			; number of temperature bins
					0.885858	1.340364	2.431739	3.463729	4.547846	5.485068	6.514286	7.533714	8.489306	9.487541	10.485714	11.516875	12.472329	13.483333	14.486557	15.492807	16.485000	17.477600	18.490213	19.507609	20.532308	21.488909	22.494545	23.502453	24.501000	25.491591	26.490000	27.488500	28.493590	29.525349	30.494902	31.484583	32.492128	33.502727	34.504884	; temperature bins
C421.7	A420.1	16	-1.070591	-0.384487		-0.032444	-0.030718	-0.027880	-0.025984	-0.024812	-0.023001	-0.021591	-0.021024	-0.019268	-0.017083	-0.016348	-0.014523	-0.013443	-0.011850	-0.010373	-0.009141	-0.007479	-0.006176	-0.006097	-0.005317	-0.004743	-0.003639	-0.002087	-0.001836	-0.001113	0.000000	0.000175	0.001213	0.001930	0.002362	0.002564	0.003590	0.003930	0.004185	0.004936		-0.055670	-0.052678	-0.048351	-0.045609	-0.043322	-0.041401	-0.039439	-0.037458	-0.035139	-0.032669	-0.030947	-0.029263	-0.026747	-0.024538	-0.022251	-0.019873	-0.017820	-0.015802	-0.013946	-0.012347	-0.010520	-0.008555	-0.006813	-0.004449	-0.001899	0.000000	0.002064	0.003760	0.005471	0.006577	0.008175	0.010142	0.011302	0.012368	0.012587		; C and A offset, and C and A temperature correction info
C426.0	A424.2	17	-0.996340	-0.358189		-0.030604	-0.029013	-0.026478	-0.025368	-0.023991	-0.022088	-0.021017	-0.019728	-0.017654	-0.016474	-0.015737	-0.014105	-0.013160	-0.011662	-0.009932	-0.008519	-0.007023	-0.006583	-0.005069	-0.005012	-0.004528	-0.003567	-0.002437	-0.001724	-0.001090	0.000000	0.000374	0.001059	0.001240	0.001730	0.003054	0.003245	0.003880	0.004355	0.004161		-0.049312	-0.046681	-0.042713	-0.040302	-0.038212	-0.036479	-0.034622	-0.032688	-0.030629	-0.028702	-0.026954	-0.025631	-0.023375	-0.021120	-0.019104	-0.017081	-0.015353	-0.013724	-0.012043	-0.010607	-0.009053	-0.007247	-0.005735	-0.003811	-0.001664	0.000000	0.001799	0.003018	0.004621	0.005600	0.006968	0.008574	0.009343	0.010325	0.010686		; C and A offset, and C and A temperature correction info
C429.9	A428.3	18	-0.928805	-0.335817		-0.028649	-0.026922	-0.024593	-0.023044	-0.021478	-0.020112	-0.018598	-0.017795	-0.016774	-0.015362	-0.014890	-0.013339	-0.012098	-0.010629	-0.009424	-0.008298	-0.006370	-0.005672	-0.005121	-0.004585	-0.003958	-0.003060	-0.002035	-0.001356	-0.000986	0.000000	0.000468	0.001341	0.001528	0.002112	0.002468	0.003298	0.003688	0.003829	0.004199		-0.044359	-0.042102	-0.038461	-0.036423	-0.034660	-0.033028	-0.031301	-0.029729	-0.027680	-0.026050	-0.024487	-0.023279	-0.021221	-0.019266	-0.017424	-0.015556	-0.013934	-0.012509	-0.010880	-0.009616	-0.008331	-0.006808	-0.005272	-0.003379	-0.001636	0.000000	0.001695	0.002770	0.004089	0.005014	0.006064	0.007548	0.008293	0.009048	0.009229		; C and A offset, and C and A temperature correction info
C433.6	A432.0	20	-0.868434	-0.314802		-0.026546	-0.025126	-0.022631	-0.021269	-0.020582	-0.019142	-0.018519	-0.017463	-0.016038	-0.014466	-0.013374	-0.012175	-0.011073	-0.009779	-0.008306	-0.007294	-0.006338	-0.005452	-0.004625	-0.003902	-0.003437	-0.002616	-0.001765	-0.001200	-0.000721	0.000000	0.000498	0.000894	0.001617	0.002160	0.002425	0.002980	0.003660	0.003596	0.003990		-0.040962	-0.038798	-0.035550	-0.033679	-0.031927	-0.030485	-0.028950	-0.027435	-0.025560	-0.023999	-0.022533	-0.021468	-0.019484	-0.017796	-0.016154	-0.014349	-0.012924	-0.011496	-0.010005	-0.008850	-0.007750	-0.006107	-0.004822	-0.003022	-0.001423	0.000000	0.001389	0.002580	0.003859	0.004543	0.005503	0.006814	0.007542	0.008252	0.008403		; C and A offset, and C and A temperature correction info
C437.1	A435.4	21	-0.809876	-0.293033		-0.024317	-0.022978	-0.020990	-0.019910	-0.018822	-0.017196	-0.016066	-0.015267	-0.014139	-0.013048	-0.012829	-0.011494	-0.010862	-0.009410	-0.008246	-0.006972	-0.005798	-0.005168	-0.004319	-0.003955	-0.003750	-0.003058	-0.001994	-0.001458	-0.001040	0.000000	0.000279	0.000827	0.001118	0.001680	0.002435	0.002756	0.003172	0.003290	0.003534		-0.037355	-0.035443	-0.032493	-0.030704	-0.029216	-0.027949	-0.026598	-0.025242	-0.023517	-0.022095	-0.020843	-0.019765	-0.018120	-0.016442	-0.014846	-0.013194	-0.011930	-0.010847	-0.009346	-0.008346	-0.007078	-0.005750	-0.004426	-0.002860	-0.001280	0.000000	0.001358	0.002362	0.003443	0.004141	0.005068	0.006117	0.006600	0.007428	0.007356		; C and A offset, and C and A temperature correction info
C441.0	A438.9	22	-0.752480	-0.270482		-0.024095	-0.022884	-0.020896	-0.019617	-0.018375	-0.017471	-0.016384	-0.015821	-0.014822	-0.013360	-0.012591	-0.011175	-0.010164	-0.008780	-0.007610	-0.006641	-0.005387	-0.004464	-0.004198	-0.003547	-0.003058	-0.002501	-0.001701	-0.001359	-0.000928	0.000000	0.000470	0.001006	0.001256	0.001566	0.002088	0.002567	0.003065	0.003234	0.003307		-0.034922	-0.033249	-0.030437	-0.028812	-0.027470	-0.026207	-0.024833	-0.023717	-0.022128	-0.020754	-0.019526	-0.018609	-0.017042	-0.015451	-0.013969	-0.012528	-0.011355	-0.010113	-0.008766	-0.007746	-0.006820	-0.005563	-0.004274	-0.002700	-0.001326	0.000000	0.001208	0.002148	0.002963	0.003638	0.004540	0.005471	0.006045	0.006616	0.006633		; C and A offset, and C and A temperature correction info
C445.3	A443.2	23	-0.699848	-0.248157		-0.023002	-0.021956	-0.019990	-0.019076	-0.018476	-0.017242	-0.016315	-0.015257	-0.013957	-0.012956	-0.011979	-0.010916	-0.009973	-0.008880	-0.007606	-0.006254	-0.005434	-0.004771	-0.003725	-0.003451	-0.002937	-0.002295	-0.001511	-0.000944	-0.000661	0.000000	0.000522	0.000741	0.001430	0.001969	0.002177	0.002898	0.002951	0.002981	0.003234		-0.032756	-0.031173	-0.028587	-0.027109	-0.025745	-0.024658	-0.023434	-0.022303	-0.020849	-0.019609	-0.018532	-0.017642	-0.016077	-0.014669	-0.013377	-0.011932	-0.010827	-0.009668	-0.008479	-0.007452	-0.006512	-0.005243	-0.003987	-0.002553	-0.001162	0.000000	0.001141	0.001960	0.002971	0.003442	0.004159	0.005189	0.005614	0.006140	0.006226		; C and A offset, and C and A temperature correction info
C449.9	A447.6	LtBlue	-0.647702	-0.223855		-0.019917	-0.019080	-0.017811	-0.017004	-0.015817	-0.014696	-0.013885	-0.013264	-0.012358	-0.011307	-0.010807	-0.009819	-0.009007	-0.007718	-0.006775	-0.005783	-0.004521	-0.004107	-0.003571	-0.003102	-0.002664	-0.002378	-0.001543	-0.000999	-0.000586	0.000000	0.000286	0.001024	0.001205	0.001518	0.002159	0.002380	0.002874	0.003082	0.003198		-0.030266	-0.028742	-0.026328	-0.025006	-0.023812	-0.022722	-0.021619	-0.020600	-0.019238	-0.018106	-0.017090	-0.016233	-0.014864	-0.013648	-0.012360	-0.011136	-0.010100	-0.009011	-0.007971	-0.006952	-0.005991	-0.004920	-0.003638	-0.002282	-0.000899	0.000000	0.001040	0.001880	0.002673	0.003149	0.003837	0.004716	0.005107	0.005591	0.005623		; C and A offset, and C and A temperature correction info
C454.3	A451.8	26	-0.598527	-0.199190		-0.021123	-0.020235	-0.018480	-0.017325	-0.016512	-0.015802	-0.014815	-0.014144	-0.013134	-0.011863	-0.011011	-0.009877	-0.008888	-0.007838	-0.006514	-0.005554	-0.004799	-0.004134	-0.003658	-0.003315	-0.002694	-0.002042	-0.001396	-0.001175	-0.000801	0.000000	0.000231	0.000699	0.001110	0.001515	0.001781	0.002329	0.002372	0.002551	0.002745		-0.028355	-0.026987	-0.024728	-0.023525	-0.022310	-0.021318	-0.020369	-0.019373	-0.018158	-0.017056	-0.016154	-0.015427	-0.014154	-0.012917	-0.011779	-0.010678	-0.009726	-0.008701	-0.007672	-0.006822	-0.005866	-0.004639	-0.003548	-0.002275	-0.001020	0.000000	0.000926	0.001644	0.002517	0.002903	0.003532	0.004342	0.004671	0.005163	0.005150		; C and A offset, and C and A temperature correction info
C458.2	A455.9	27	-0.551979	-0.173569		-0.019210	-0.018533	-0.017107	-0.016386	-0.015671	-0.014539	-0.013657	-0.012758	-0.011762	-0.010941	-0.010392	-0.009345	-0.008780	-0.007707	-0.006680	-0.005780	-0.004903	-0.004224	-0.003531	-0.003153	-0.002833	-0.002261	-0.001494	-0.000994	-0.000583	0.000000	0.000386	0.000761	0.001056	0.001524	0.002002	0.002218	0.002431	0.002516	0.002540		-0.026700	-0.025371	-0.023230	-0.022098	-0.021029	-0.020174	-0.019263	-0.018424	-0.017254	-0.016210	-0.015410	-0.014651	-0.013520	-0.012451	-0.011320	-0.010307	-0.009367	-0.008460	-0.007426	-0.006600	-0.005693	-0.004520	-0.003479	-0.002225	-0.000974	0.000000	0.000807	0.001455	0.002222	0.002618	0.003079	0.003894	0.004242	0.004572	0.004518		; C and A offset, and C and A temperature correction info
